,who,patronized,the,monks,in,italy,?
under,0.2962189018726349,0.15269993245601654,0.3348022699356079,0.14061850309371948,0.2535393238067627,0.22012680768966675,0.18233340978622437
the,0.3733934462070465,0.2224651426076889,1.0,0.21652711927890778,0.6662389636039734,0.2633645832538605,0.22068053483963013
norman,0.18241798877716064,0.12618795037269592,0.23459704220294952,0.2601599395275116,0.17613162100315094,0.20724600553512573,0.12243545055389404
abbot,0.21546725928783417,0.22350133955478668,0.1794712245464325,0.4904017150402069,0.1286536306142807,0.14396966993808746,0.109479621052742
robert,0.2748492956161499,0.10543539375066757,0.2257954627275467,0.15098412334918976,0.22155319154262543,0.16670899093151093,0.11293095350265503
de,0.18189555406570435,0.18581444025039673,0.23491892218589783,0.08223184943199158,0.24818959832191467,0.1590152382850647,0.11064168810844421
grantmesnil,0.2454831600189209,0.2768808901309967,0.3191452920436859,0.2933844029903412,0.30116593837738037,0.2386135309934616,0.2753920555114746
",",0.3365725874900818,0.2739858031272888,0.4933079481124878,0.17870470881462097,0.5201468467712402,0.2497674822807312,0.31091248989105225
several,0.30628830194473267,0.18090958893299103,0.40559855103492737,0.17978636920452118,0.39405709505081177,0.21132557094097137,0.15595775842666626
monks,0.32627013325691223,0.27001944184303284,0.21652711927890778,1.0,0.23887430131435394,0.19604729115962982,0.12877516448497772
of,0.2827862501144409,0.2345156967639923,0.733189046382904,0.2314586341381073,0.5696388483047485,0.2844046950340271,0.1826142966747284
saint-evroul,0.3084743022918701,0.40130168199539185,0.34619078040122986,0.4172104299068451,0.28636065125465393,0.27446290850639343,0.27136653661727905
fled,0.32700315117836,0.16717416048049927,0.27857163548469543,0.3475121557712555,0.28289681673049927,0.23710396885871887,0.13968057930469513
to,0.42656609416007996,0.2489188015460968,0.535392165184021,0.29168152809143066,0.45010748505592346,0.19335418939590454,0.29463258385658264
southern,0.1828710436820984,0.15517866611480713,0.3282862603664398,0.20271526277065277,0.3190481662750244,0.24130389094352722,0.11225555837154388
italy,0.17201180756092072,0.23005543649196625,0.2633645832538605,0.19604729115962982,0.3334544897079468,1.0,0.11567100137472153
",",0.3365725874900818,0.2739858031272888,0.4933079481124878,0.17870470881462097,0.5201468467712402,0.2497674822807312,0.31091248989105225
where,0.41804537177085876,0.1542961299419403,0.5003893971443176,0.28270384669303894,0.5344807505607605,0.2641044557094574,0.24793872237205505
they,0.47879111766815186,0.26306676864624023,0.49925389885902405,0.3008573055267334,0.4330179989337921,0.1823738068342209,0.2753053903579712
were,0.3188014328479767,0.26125437021255493,0.3906462490558624,0.29595303535461426,0.3815755248069763,0.21057331562042236,0.17890112102031708
patronised,0.3301723301410675,0.8201362490653992,0.22887137532234192,0.29418981075286865,0.20276597142219543,0.22105568647384644,0.14390429854393005
by,0.39727845788002014,0.21849657595157623,0.4408751428127289,0.2316741645336151,0.370934396982193,0.19219915568828583,0.17966607213020325
robert,0.2748492956161499,0.10543539375066757,0.2257954627275467,0.15098412334918976,0.22155319154262543,0.16670899093151093,0.11293095350265503
guiscard,0.26064392924308777,0.18415075540542603,0.2827313542366028,0.3077109754085541,0.23520630598068237,0.4292069375514984,0.14692836999893188
and,0.41279885172843933,0.23903048038482666,0.5171257257461548,0.24540609121322632,0.4954058527946472,0.25207585096359253,0.20544172823429108
established,0.20118318498134613,0.2988837957382202,0.33092597126960754,0.14279629290103912,0.3118882477283478,0.120309978723526,0.15917523205280304
a,0.36608949303627014,0.1956169754266739,0.5829201340675354,0.18119055032730103,0.539380669593811,0.1983879655599594,0.23916715383529663
latin,0.16089873015880585,0.17726555466651917,0.24914836883544922,0.20806539058685303,0.18954341113567352,0.1984284669160843,0.1303461492061615
monastery,0.18488609790802002,0.23615054786205292,0.22441139817237854,0.6571652293205261,0.22446364164352417,0.18339182436466217,0.11713293194770813
at,0.22096660733222961,0.16536810994148254,0.457212895154953,0.2148832082748413,0.4374977946281433,0.20430169999599457,0.21978627145290375
sant'eufemia,0.29176750779151917,0.2761182487010956,0.2763131856918335,0.2975830137729645,0.27862653136253357,0.3337157070636749,0.2667573094367981
.,0.3541337847709656,0.19367747008800507,0.5934505462646484,0.17902152240276337,0.5591574311256409,0.26594269275665283,0.4130953550338745
