,which,company,provides,train,service,in,fresno,?
passenger,0.21829505264759064,0.2251124233007431,0.23874042928218842,0.5177021622657776,0.3627767562866211,0.22410228848457336,0.16241532564163208,0.13056927919387817
rail,0.22425106167793274,0.26190054416656494,0.2819250822067261,0.5661426782608032,0.24396128952503204,0.22738659381866455,0.18568335473537445,0.1349031925201416
service,0.25458550453186035,0.265422523021698,0.4105035662651062,0.3047662675380707,0.9999998807907104,0.1740635335445404,0.21273694932460785,0.1676298975944519
is,0.4457404911518097,0.18005689978599548,0.3195696473121643,0.15831241011619568,0.15705204010009766,0.5394441485404968,0.2127077877521515,0.22961433231830597
provided,0.26667746901512146,0.22792533040046692,0.7131780982017517,0.22417756915092468,0.3661322295665741,0.19033823907375336,0.16723278164863586,0.16893617808818817
by,0.40543368458747864,0.22328482568264008,0.175614595413208,0.19524261355400085,0.20538176596164703,0.370934396982193,0.12580959498882294,0.17966607213020325
amtrak,0.2823920249938965,0.3130929470062256,0.40564393997192383,0.5205573439598083,0.3827899694442749,0.2845284342765808,0.33714771270751953,0.13865387439727783
san,0.190042182803154,0.18822428584098816,0.17229598760604858,0.14694158732891083,0.1323862373828888,0.2617562413215637,0.4697914123535156,0.10952327400445938
joaquins,0.21064089238643646,0.16179588437080383,0.2178899645805359,0.15035469830036163,0.19706329703330994,0.22984975576400757,0.38575103878974915,0.12755653262138367
.,0.45942068099975586,0.266353577375412,0.1774633228778839,0.22884486615657806,0.2115515172481537,0.5591574311256409,0.2480216920375824,0.4130953550338745
