,how,can,you,protest,against,big,companies,in,a,non,violent,way,?
the,0.33890387415885925,0.312528520822525,0.30037742853164673,0.25126034021377563,0.3090755045413971,0.308749794960022,0.26917189359664917,0.6662389636039734,0.5829201340675354,0.21640649437904358,0.24589063227176666,0.36217406392097473,0.22068053483963013
plowshares,0.22715499997138977,0.28839588165283203,0.26269716024398804,0.19163845479488373,0.21449816226959229,0.198684960603714,0.3294652998447418,0.3083036541938782,0.30877211689949036,0.21957182884216309,0.18395118415355682,0.24557499587535858,0.17814993858337402
organization,0.23259839415550232,0.133668452501297,0.15077534317970276,0.23566535115242004,0.24619664251804352,0.08585727959871292,0.3778964877128601,0.2513086795806885,0.2565373480319977,0.38031575083732605,0.22331440448760986,0.25149840116500854,0.2069297879934311
temporarily,0.19969482719898224,0.2830513119697571,0.2665623724460602,0.2248944640159607,0.19164302945137024,0.10982195287942886,0.1786484271287918,0.253314346075058,0.2777235507965088,0.28320127725601196,0.16201989352703094,0.2775912880897522,0.11896703392267227
closed,0.18286913633346558,0.2105410248041153,0.22896628081798553,0.24848505854606628,0.1438003033399582,0.1469699889421463,0.14528892934322357,0.21606552600860596,0.1631089150905609,0.15111182630062103,0.1275029331445694,0.2059408575296402,0.15595348179340363
gcsb,0.17433492839336395,0.23549038171768188,0.27429136633872986,0.13614188134670258,0.11184564232826233,0.08926016837358475,0.132052481174469,0.21543188393115997,0.1787520945072174,0.1851307600736618,0.1284881830215454,0.14575059711933136,0.3080607056617737
waihopai,0.19447103142738342,0.20886902511119843,0.21087604761123657,0.34279265999794006,0.23041538894176483,0.18880803883075714,0.2858545482158661,0.3387395739555359,0.36242854595184326,0.18118849396705627,0.3010190725326538,0.1866482049226761,0.25326791405677795
by,0.34370526671409607,0.29642900824546814,0.24346120655536652,0.20389297604560852,0.24816733598709106,0.20124688744544983,0.27434366941452026,0.370934396982193,0.32094135880470276,0.17869143187999725,0.2669840157032013,0.3228684663772583,0.17966607213020325
padlocking,0.3034442961215973,0.41501209139823914,0.4014575779438019,0.25117847323417664,0.17822356522083282,0.24560151994228363,0.18830765783786774,0.19547954201698303,0.3759286403656006,0.236208975315094,0.18956588208675385,0.33113715052604675,0.29801273345947266
the,0.33890387415885925,0.312528520822525,0.30037742853164673,0.25126034021377563,0.3090755045413971,0.308749794960022,0.26917189359664917,0.6662389636039734,0.5829201340675354,0.21640649437904358,0.24589063227176666,0.36217406392097473,0.22068053483963013
