,what,does,the,steam,generated,by,a,nuclear,power,plant,drive,?
virtually,0.2943752110004425,0.2720877230167389,0.29132160544395447,0.1827792227268219,0.30561530590057373,0.30810025334358215,0.24477672576904297,0.1679256558418274,0.21498849987983704,0.1669875681400299,0.22120758891105652,0.18244148790836334
all,0.41981086134910583,0.31124600768089294,0.4860881567001343,0.19205103814601898,0.2567328214645386,0.2944089472293854,0.2696802616119385,0.20804165303707123,0.23566703498363495,0.2260427474975586,0.1837528645992279,0.29575422406196594
nuclear,0.23862333595752716,0.1666954755783081,0.23911187052726746,0.2956201434135437,0.2969576418399811,0.1500622183084488,0.20050431787967682,1.0000001192092896,0.41085806488990784,0.45681560039520264,0.13343845307826996,0.1865687519311905
power,0.22216427326202393,0.18690091371536255,0.2647338807582855,0.35972869396209717,0.3117973208427429,0.21582826972007751,0.21580491960048676,0.41085806488990784,1.0000001192092896,0.3517554700374603,0.24093779921531677,0.15304024517536163
plants,0.25144460797309875,0.2636278569698334,0.29499560594558716,0.30078837275505066,0.30315592885017395,0.21003800630569458,0.21329157054424286,0.3942650556564331,0.3196038007736206,0.8344468474388123,0.16604243218898773,0.1473488062620163
generate,0.26186254620552063,0.281585693359375,0.264517217874527,0.2794671654701233,0.8575854897499084,0.2439229041337967,0.24484781920909882,0.32302334904670715,0.3050912320613861,0.33250197768211365,0.24886038899421692,0.28300654888153076
electricity,0.20851419866085052,0.28060615062713623,0.274786114692688,0.4412391483783722,0.39744797348976135,0.2150920331478119,0.24459154903888702,0.3968295454978943,0.5319902896881104,0.37518635392189026,0.21856580674648285,0.17856204509735107
by,0.2455483376979828,0.143477201461792,0.4408751428127289,0.18134352564811707,0.310081422328949,1.0000001192092896,0.32094135880470276,0.1500622183084488,0.21582826972007751,0.20213352143764496,0.12660659849643707,0.17966607213020325
heating,0.21489092707633972,0.2740480303764343,0.2242104858160019,0.45787307620048523,0.39485347270965576,0.2780095040798187,0.24787577986717224,0.2623711824417114,0.33096328377723694,0.3171065151691437,0.23792323470115662,0.1888689249753952
water,0.17456887662410736,0.29202038049697876,0.297396719455719,0.43059393763542175,0.2542368173599243,0.22562243044376373,0.2979097068309784,0.2238730639219284,0.2890745997428894,0.3316476047039032,0.20182593166828156,0.14731885492801666
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.22894427180290222,0.2428233027458191,0.33534231781959534,0.45503583550453186,0.21461482346057892,0.27001675963401794,0.20493197441101074,0.291306734085083,0.29463258385658264
provide,0.27049049735069275,0.3120734691619873,0.26373472809791565,0.2572251856327057,0.3669070899486542,0.2001653015613556,0.26036545634269714,0.17766998708248138,0.1839965581893921,0.2430751919746399,0.266769677400589,0.22704634070396423
steam,0.15672586858272552,0.1864793747663498,0.23105813562870026,1.0000001192092896,0.2704017460346222,0.18134352564811707,0.2141898274421692,0.2956201434135437,0.35972869396209717,0.2850067913532257,0.33172407746315,0.113324373960495
that,0.6297725439071655,0.4764937460422516,0.5473989248275757,0.24386391043663025,0.3362995386123657,0.37496164441108704,0.47537946701049805,0.19523723423480988,0.2680378556251526,0.23316219449043274,0.24714359641075134,0.32716336846351624
drives,0.23342765867710114,0.2964435815811157,0.20820994675159454,0.33622270822525024,0.293012410402298,0.18389129638671875,0.23937544226646423,0.1543004959821701,0.28598102927207947,0.22017280757427216,0.7771962285041809,0.08974530547857285
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.2141898274421692,0.24472475051879883,0.32094135880470276,1.0,0.20050431787967682,0.21580491960048676,0.2010895311832428,0.24929353594779968,0.23916715383529663
turbine,0.1404699683189392,0.15592187643051147,0.1799832284450531,0.5301763415336609,0.3744455575942993,0.22006140649318695,0.23364008963108063,0.3581116497516632,0.4459681212902069,0.3337964713573456,0.33239850401878357,0.16315746307373047
connected,0.21880124509334564,0.20881067216396332,0.31369513273239136,0.24853594601154327,0.3460131883621216,0.2168869525194168,0.24938417971134186,0.13802661001682281,0.27442747354507446,0.2163107693195343,0.2762123942375183,0.11086785048246384
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.22894427180290222,0.2428233027458191,0.33534231781959534,0.45503583550453186,0.21461482346057892,0.27001675963401794,0.20493197441101074,0.291306734085083,0.29463258385658264
an,0.2821882665157318,0.29477936029434204,0.4207492768764496,0.13589277863502502,0.21952345967292786,0.2719563841819763,0.44552403688430786,0.19693629443645477,0.1744573563337326,0.22981685400009155,0.17218853533267975,0.19793890416622162
electrical,0.19961315393447876,0.17658266425132751,0.2523402273654938,0.33923619985580444,0.3410854637622833,0.2018405646085739,0.2779098153114319,0.34418243169784546,0.39343613386154175,0.2737884223461151,0.1708661913871765,0.10923371464014053
generator,0.1740121841430664,0.198388010263443,0.25154173374176025,0.4620785117149353,0.6368618011474609,0.2376958578824997,0.27703046798706055,0.38377949595451355,0.3954654633998871,0.3329155445098877,0.22397615015506744,0.16160684823989868
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.22855372726917267,0.2922912836074829,0.3936232924461365,0.50484299659729,0.2137570083141327,0.2141435295343399,0.25658002495765686,0.21262511610984802,0.4130953550338745
