,what,was,the,name,of,westinghouse,'s,company,?
engineers,0.259060800075531,0.21913187205791473,0.25282254815101624,0.14532263576984406,0.189129039645195,0.40802448987960815,0.039584748446941376,0.3651996850967407,0.18139411509037018
working,0.2846863269805908,0.25099408626556396,0.25857484340667725,0.1413070261478424,0.19986772537231445,0.209443598985672,-0.0629357099533081,0.24794431030750275,0.17154020071029663
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.25737348198890686,0.4185989499092102,0.25690075755119324,-0.07241261005401611,0.25874319672584534,0.264628142118454
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,0.3101098835468292,-0.01540423184633255,0.26591673493385315,0.22068053483963013
westinghouse,0.16126319766044617,0.30702054500579834,0.3101098835468292,0.1881939023733139,0.28119996190071106,0.9999999403953552,-0.008012998849153519,0.35389670729637146,0.17307911813259125
electric,0.15451551973819733,0.17723047733306885,0.21345196664333344,0.06425976753234863,0.17329032719135284,0.4146316647529602,-0.0115516884252429,0.27608945965766907,0.15674720704555511
&,0.11141876131296158,0.12134000658988953,0.14992168545722961,0.0724157989025116,0.19900451600551605,0.19122982025146484,-0.02038128487765789,0.22427646815776825,0.12596383690834045
manufacturing,0.1945977807044983,0.22300750017166138,0.25165510177612305,0.12039127200841904,0.26644885540008545,0.3919288218021393,-0.030407974496483803,0.49409720301628113,0.11596895009279251
company,0.2333769053220749,0.2293137013912201,0.26591673493385315,0.21465471386909485,0.20467796921730042,0.35389670729637146,0.003266559913754463,1.0,0.12195809185504913
reported,0.16211873292922974,0.2993243634700775,0.24444028735160828,0.12228412181138992,0.23745855689048767,0.19062000513076782,-0.04995298013091087,0.14030107855796814,0.16150116920471191
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.27806994318962097,0.41548454761505127,0.22176946699619293,0.03782717138528824,0.24903783202171326,0.29463258385658264
george,0.22000353038311005,0.2601471245288849,0.2510760426521301,0.06950693577528,0.22097964584827423,0.3706516921520233,-0.019076833501458168,0.16877350211143494,0.1479024887084961
westinghouse,0.16126319766044617,0.30702054500579834,0.3101098835468292,0.1881939023733139,0.28119996190071106,0.9999999403953552,-0.008012998849153519,0.35389670729637146,0.17307911813259125
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.27224332094192505,0.41498205065727234,0.19149138033390045,0.04397977516055107,0.22723333537578583,0.32716336846351624
