,what,political,response,was,convening,in,june/july,1754,?
an,0.2821882665157318,0.20845253765583038,0.2884137034416199,0.3694365322589874,0.2037891149520874,0.2605783939361572,0.28053051233291626,0.06650049984455109,0.19793890416622162
early,0.2454567849636078,0.19994845986366272,0.16769270598888397,0.4148794412612915,0.24858975410461426,0.34672921895980835,0.31987765431404114,0.10358453541994095,0.15272949635982513
important,0.31164905428886414,0.23385806381702423,0.162221759557724,0.24924467504024506,0.2226105034351349,0.3796374499797821,0.21598075330257416,0.07558301836252213,0.17812499403953552
political,0.21846716105937958,1.0000001192092896,0.18653252720832825,0.24282537400722504,0.21193085610866547,0.22136160731315613,0.2688867747783661,0.1432078331708908,0.17130474746227264
response,0.3532308340072632,0.18653252720832825,1.0000001192092896,0.2303798496723175,0.21859623491764069,0.20744606852531433,0.19482553005218506,0.11020258814096451,0.2007838636636734
to,0.455847829580307,0.2065112292766571,0.277526319026947,0.3636345863342285,0.3723814785480499,0.45010748505592346,0.29033300280570984,0.026899486780166626,0.29463258385658264
the,0.42745697498321533,0.20477235317230225,0.28909924626350403,0.48711544275283813,0.3037053644657135,0.6662389636039734,0.3450424373149872,0.11264632642269135,0.22068053483963013
opening,0.18146683275699615,0.058477193117141724,0.22522638738155365,0.20817555487155914,0.3219054043292999,0.2907836139202118,0.2583272159099579,0.05007624253630638,0.16502447426319122
of,0.33290785551071167,0.27319738268852234,0.21864040195941925,0.4069072902202606,0.2773074507713318,0.5696388483047485,0.2774098515510559,0.1203095093369484,0.1826142966747284
hostilities,0.21486833691596985,0.3640103340148926,0.2842177450656891,0.23783548176288605,0.30470383167266846,0.22676371037960052,0.2670861482620239,0.17232820391654968,0.14715032279491425
was,0.22111038863658905,0.24282537400722504,0.2303798496723175,1.0000001192092896,0.20382912456989288,0.45514053106307983,0.492850661277771,0.09897935390472412,0.18412111699581146
the,0.42745697498321533,0.20477235317230225,0.28909924626350403,0.48711544275283813,0.3037053644657135,0.6662389636039734,0.3450424373149872,0.11264632642269135,0.22068053483963013
convening,0.23381465673446655,0.21193085610866547,0.21859623491764069,0.20382912456989288,1.0,0.2667960822582245,0.23648911714553833,0.07043729722499847,0.17496144771575928
of,0.33290785551071167,0.27319738268852234,0.21864040195941925,0.4069072902202606,0.2773074507713318,0.5696388483047485,0.2774098515510559,0.1203095093369484,0.1826142966747284
the,0.42745697498321533,0.20477235317230225,0.28909924626350403,0.48711544275283813,0.3037053644657135,0.6662389636039734,0.3450424373149872,0.11264632642269135,0.22068053483963013
albany,0.15722276270389557,0.06835717707872391,0.07372422516345978,0.1557421237230301,0.20761623978614807,0.2365015149116516,0.28245583176612854,0.13716965913772583,0.08516642451286316
congress,0.16679982841014862,0.33430761098861694,0.21062801778316498,0.23910820484161377,0.2621016800403595,0.191487118601799,0.26181668043136597,0.1802975982427597,0.2020287960767746
in,0.30808621644973755,0.22136160731315613,0.20744606852531433,0.45514053106307983,0.2667960822582245,1.0,0.35194364190101624,0.12745094299316406,0.20430970191955566
june,0.2171148657798767,0.1881042718887329,0.18605968356132507,0.42821118235588074,0.1554507464170456,0.29047903418540955,0.8367462754249573,0.14028914272785187,0.31416764855384827
and,0.31309178471565247,0.33013346791267395,0.21754570305347443,0.3740963041782379,0.3311532735824585,0.4954058527946472,0.35003942251205444,0.11317573487758636,0.20544172823429108
july,0.22688010334968567,0.21503618359565735,0.17671352624893188,0.40724116563796997,0.20438982546329498,0.26500701904296875,0.8444288969039917,0.1381237655878067,0.2897891402244568
",",0.3087472915649414,0.27072274684906006,0.24039098620414734,0.45456063747406006,0.260845810174942,0.5201468467712402,0.5095996856689453,0.16850431263446808,0.31091248989105225
1754,0.08897329121828079,0.1432078331708908,0.11020258814096451,0.09897935390472412,0.07043729722499847,0.12745094299316406,0.18763907253742218,1.0,0.1399500072002411
.,0.3567904531955719,0.24802669882774353,0.2878446877002716,0.40146201848983765,0.25623801350593567,0.5591574311256409,0.4198199212551117,0.15813910961151123,0.4130953550338745
