,who,had,the,most,receptions,out,of,all,players,for,the,year,?
veteran,0.3301067650318146,0.21137821674346924,0.2511998414993286,0.17094454169273376,0.14420856535434723,0.16721494495868683,0.22665295004844666,0.16119562089443207,0.2001180201768875,0.1840239316225052,0.2511998414993286,0.18713584542274475,0.15891358256340027
receiver,0.1811998039484024,0.14794345200061798,0.21850530803203583,0.19807840883731842,0.42157527804374695,0.2260509580373764,0.13342490792274475,0.16068542003631592,0.32144856452941895,0.2781907320022583,0.21850530803203583,0.20023705065250397,0.11587938666343689
demaryius,0.30839893221855164,0.2786882817745209,0.2600218653678894,0.15213093161582947,0.2352401614189148,0.20459428429603577,0.2528120279312134,0.18097487092018127,0.10352467000484467,0.194421648979187,0.2600218653678894,0.23104414343833923,0.24024760723114014
thomas,0.26103657484054565,0.21442335844039917,0.23505409061908722,0.15823650360107422,0.2011502981185913,0.16489705443382263,0.18699592351913452,0.1977178156375885,0.08191616088151932,0.19489257037639618,0.23505409061908722,0.1567562371492386,0.16133050620555878
led,0.2450801581144333,0.38557857275009155,0.3267505168914795,0.2947567105293274,0.18360571563243866,0.19371309876441956,0.32918456196784973,0.2386244237422943,0.15009894967079163,0.2628403306007385,0.3267505168914795,0.1989809274673462,0.09273858368396759
the,0.3733934462070465,0.3875846862792969,1.0,0.47635307908058167,0.19359152019023895,0.39404502511024475,0.733189046382904,0.4860881567001343,0.2647981345653534,0.4739971458911896,1.0,0.3609684407711029,0.22068053483963013
team,0.22248858213424683,0.11808160692453384,0.22564226388931274,0.12060809135437012,0.10043574869632721,0.17385028302669525,0.20352502167224884,0.26638156175613403,0.38141384720802307,0.25615394115448,0.22564226388931274,0.17860233783721924,0.11243411153554916
with,0.3282766342163086,0.4739086329936981,0.4223487675189972,0.336320698261261,0.2013084441423416,0.3367781639099121,0.41827285289764404,0.3876307010650635,0.2143927961587906,0.39140474796295166,0.4223487675189972,0.3220449686050415,0.2433311939239502
105,0.19679556787014008,0.10357625037431717,0.1126137226819992,0.12639707326889038,0.02965521439909935,0.10498363524675369,0.08462929725646973,0.1593744456768036,0.07622207701206207,0.10084040462970734,0.1126137226819992,0.17976218461990356,0.1772395223379135
receptions,0.11577852070331573,0.2077687829732895,0.19359152019023895,0.19825085997581482,1.0,0.21633239090442657,0.1672898828983307,0.18817013502120972,0.1282540261745453,0.25616052746772766,0.19359152019023895,0.19807042181491852,0.12913717329502106
