,who,did,the,churches,claim,had,suggested,expulsion,of,jews,from,germany,?
on,0.2340552806854248,0.2670976221561432,0.5107308030128479,0.171710804104805,0.21378369629383087,0.36692994832992554,0.231298565864563,0.1507519781589508,0.3966929316520691,0.13907738029956818,0.36926645040512085,0.23571176826953888,0.2714994251728058
17,0.05025482177734375,0.07127774506807327,0.10537172853946686,0.1883780062198639,0.13322195410728455,0.11685442179441452,0.12448658794164658,0.16176529228687286,0.12138522416353226,0.13263754546642303,0.05440361425280571,0.09152963012456894,0.17603135108947754
december,0.2259318083524704,0.2542226016521454,0.23266014456748962,0.11603458970785141,0.1589009165763855,0.2438548505306244,0.250001460313797,0.105995312333107,0.1503814309835434,0.0901043564081192,0.18902720510959625,0.18447236716747284,0.2480352818965912
1941,0.01655927486717701,0.00970092136412859,0.15564635396003723,0.15098150074481964,0.033124007284641266,0.08378806710243225,0.10472152382135391,0.13412494957447052,0.21092641353607178,0.102481909096241,0.07675541192293167,0.17851240932941437,-0.06466483324766159
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.247207909822464,0.2664267122745514,0.35487717390060425,0.3114470839500427,0.18367864191532135,0.4946078956127167,0.27184903621673584,0.39760664105415344,0.2898865044116974,0.31091248989105225
seven,0.15699508786201477,0.11491922289133072,0.28151169419288635,0.14888305962085724,0.1467207372188568,0.20230332016944885,0.14359894394874573,0.07123193144798279,0.273354172706604,0.12953230738639832,0.1701260805130005,0.15548178553581238,0.1732930988073349
protestant,0.2817428708076477,0.23091652989387512,0.2679212689399719,0.5902429819107056,0.24815207719802856,0.25031381845474243,0.1649722158908844,0.3547343313694,0.31440475583076477,0.4756074845790863,0.15122920274734497,0.30596432089805603,0.14798137545585632
regional,0.11238309741020203,0.15632236003875732,0.3125704526901245,0.18051792681217194,0.09318869560956955,0.16700899600982666,0.056896455585956573,0.17337626218795776,0.2853882610797882,0.08944650739431381,0.20332156121730804,0.19479800760746002,0.09246466308832169
church,0.19418756663799286,0.16781097650527954,0.23846197128295898,0.7955681681632996,0.2062796950340271,0.21721379458904266,0.12320760637521744,0.2990216910839081,0.3079429268836975,0.2682075798511505,0.1894836276769638,0.20452405512332916,0.18081501126289368
confederations,0.2418256402015686,0.22156284749507904,0.3340309262275696,0.32790324091911316,0.211256742477417,0.22659868001937866,0.19168508052825928,0.20102982223033905,0.2930212914943695,0.2689463496208191,0.1739492118358612,0.3400675356388092,0.17003127932548523
issued,0.13050927221775055,0.2733176648616791,0.22837360203266144,0.18300269544124603,0.1602194458246231,0.23066510260105133,0.19353634119033813,0.17078329622745514,0.2873246371746063,0.17422962188720703,0.17961321771144867,0.12204045802354813,0.169851616024971
a,0.36608949303627014,0.2552328109741211,0.5829201340675354,0.19495601952075958,0.19074557721614838,0.34897568821907043,0.2665110230445862,0.1900428980588913,0.5052502155303955,0.17522315680980682,0.322764128446579,0.2606942057609558,0.23916715383529663
statement,0.1789797991514206,0.2726841866970062,0.20954233407974243,0.21690633893013,0.46909400820732117,0.1811354011297226,0.2986031770706177,0.25279727578163147,0.1980573982000351,0.17290711402893066,0.16176478564739227,0.1534263789653778,0.28978636860847473
agreeing,0.3292076587677002,0.38421353697776794,0.24866768717765808,0.16036485135555267,0.3106984794139862,0.3199740946292877,0.412475049495697,0.3332705497741699,0.20541556179523468,0.21740223467350006,0.23465529084205627,0.15129011869430542,0.28670328855514526
with,0.3282766342163086,0.25472134351730347,0.4223487675189972,0.21990472078323364,0.16929714381694794,0.4739086329936981,0.2716723382472992,0.18317022919654846,0.41827285289764404,0.1251157820224762,0.26272761821746826,0.19588488340377808,0.2433311939239502
the,0.3733934462070465,0.34736719727516174,1.0,0.2626241147518158,0.25873351097106934,0.3875846862792969,0.28443726897239685,0.2770461440086365,0.733189046382904,0.24901628494262695,0.40150508284568787,0.3181285262107849,0.22068053483963013
policy,0.2482086420059204,0.2751549482345581,0.2358427494764328,0.19844922423362732,0.30732643604278564,0.17498552799224854,0.25237908959388733,0.25563526153564453,0.24393197894096375,0.28253963589668274,0.18396732211112976,0.21877872943878174,0.30462446808815
of,0.2827862501144409,0.2513895630836487,0.733189046382904,0.29080384969711304,0.2833690047264099,0.37755560874938965,0.29373469948768616,0.2570279836654663,1.0,0.2207300066947937,0.4249346852302551,0.2942050099372864,0.1826142966747284
forcing,0.3017413914203644,0.28997835516929626,0.31176233291625977,0.1650051474571228,0.1666988730430603,0.28691425919532776,0.251492977142334,0.3611769378185272,0.24666008353233337,0.21096226572990417,0.1992703676223755,0.17391593754291534,0.19852621853351593
jews,0.3023342192173004,0.23080717027187347,0.24901628494262695,0.35537225008010864,0.16318854689598083,0.23372827470302582,0.09549102932214737,0.42412111163139343,0.2207300066947937,1.0000001192092896,0.21353460848331451,0.317192018032074,0.16730794310569763
to,0.42656609416007996,0.4452643394470215,0.535392165184021,0.2533203363418579,0.324158638715744,0.37984350323677063,0.32327648997306824,0.3245045244693756,0.41548454761505127,0.22399327158927917,0.4069952368736267,0.24172882735729218,0.29463258385658264
wear,0.2958013117313385,0.21948394179344177,0.27011215686798096,0.18386252224445343,0.14165477454662323,0.23265698552131653,0.1672644466161728,0.20054590702056885,0.24815733730793,0.2592044770717621,0.1974351555109024,0.15871159732341766,0.1366986185312271
the,0.3733934462070465,0.34736719727516174,1.0,0.2626241147518158,0.25873351097106934,0.3875846862792969,0.28443726897239685,0.2770461440086365,0.733189046382904,0.24901628494262695,0.40150508284568787,0.3181285262107849,0.22068053483963013
yellow,0.16457633674144745,0.14123791456222534,0.2507648169994354,0.050185151398181915,0.0868685394525528,0.13636617362499237,0.16134554147720337,0.08970210701227188,0.23887859284877777,0.14088895916938782,0.18427787721157074,0.18273282051086426,0.142889603972435
badge,0.24172823131084442,0.16932028532028198,0.25786274671554565,0.061180002987384796,0.11616799235343933,0.17019948363304138,0.1604941487312317,0.0970735177397728,0.2593320608139038,0.16853858530521393,0.14546120166778564,0.14981980621814728,0.1164827048778534
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.247207909822464,0.2664267122745514,0.35487717390060425,0.3114470839500427,0.18367864191532135,0.4946078956127167,0.27184903621673584,0.39760664105415344,0.2898865044116974,0.31091248989105225
``,0.02397952415049076,-0.029888948425650597,0.029072100296616554,0.0536622554063797,0.050591085106134415,0.0518546998500824,0.05178385600447655,0.12941068410873413,0.06780257821083069,0.11970638483762741,0.02677825279533863,2.34745821217075e-05,0.0685480609536171
since,0.27765995264053345,0.27613121271133423,0.4054957628250122,0.17655505239963531,0.21890856325626373,0.4845401346683502,0.3088027238845825,0.14140819013118744,0.35513219237327576,0.2068002074956894,0.34118619561195374,0.2431345134973526,0.2876587212085724
