,what,type,of,actions,are,taken,sometimes,in,civil,disobedience,?
civil,0.15091551840305328,0.05067194625735283,0.24698495864868164,0.2958154082298279,0.12244163453578949,0.12793612480163574,0.1757841408252716,0.26466667652130127,1.0,0.5442691445350647,0.1494513899087906
disobedients,0.3241478204727173,0.20870141685009003,0.32510921359062195,0.5133518576622009,0.31535014510154724,0.23399855196475983,0.313083678483963,0.30752769112586975,0.5063242316246033,0.8955491185188293,0.18925230205059052
have,0.39808809757232666,0.242574080824852,0.3802283704280853,0.3108775317668915,0.6577680706977844,0.31696638464927673,0.3968924283981323,0.36843645572662354,0.16153892874717712,0.22560594975948334,0.32991164922714233
chosen,0.24263155460357666,0.15974712371826172,0.3265131711959839,0.1604105830192566,0.17316240072250366,0.23334670066833496,0.15947555005550385,0.22990967333316803,0.09569620341062546,0.18869134783744812,0.18667186796665192
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.22348695993423462,0.265255331993103,0.2520231008529663,0.3788676857948303,0.539380669593811,0.21693918108940125,0.25352153182029724,0.23916715383529663
variety,0.20492127537727356,0.28866416215896606,0.21034783124923706,0.1784033626317978,0.36509984731674194,0.15466326475143433,0.3578990697860718,0.21121226251125336,0.07566709071397781,0.16936980187892914,0.13376861810684204
of,0.33290785551071167,0.18112817406654358,1.0,0.27202147245407104,0.39081433415412903,0.2889742851257324,0.296434611082077,0.5696388483047485,0.24698495864868164,0.31932318210601807,0.1826142966747284
different,0.39262300729751587,0.32853832840919495,0.3747533857822418,0.2634260356426239,0.5170795917510986,0.2668071985244751,0.4310488700866699,0.29409363865852356,0.13609759509563446,0.2160884588956833,0.24476227164268494
illegal,0.21956031024456024,0.1518467217683792,0.19375135004520416,0.23227155208587646,0.2369074821472168,0.22251813113689423,0.2879631817340851,0.21311107277870178,0.17244401574134827,0.35090160369873047,0.1562941074371338
acts,0.24949195981025696,0.14897046983242035,0.26445579528808594,0.4342288672924042,0.23050709068775177,0.13095000386238098,0.2502652704715729,0.21356524527072906,0.1234428659081459,0.3582419753074646,0.07075770199298859
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2696916162967682,0.3452940285205841,0.3141690492630005,0.24956031143665314,0.5591574311256409,0.2541380822658539,0.2603943943977356,0.4130953550338745
,what,type,of,actions,are,taken,sometimes,in,civil,disobedience,?
bedau,0.1564604640007019,0.1545051783323288,0.29930275678634644,0.1468006819486618,0.16221930086612701,0.1781691461801529,0.12148189544677734,0.2605108916759491,0.20945659279823303,0.29452526569366455,0.1762317717075348
also,0.42747777700424194,0.26631516218185425,0.4924938678741455,0.28646352887153625,0.4565894305706024,0.26899775862693787,0.5747261643409729,0.5073733329772949,0.22241419553756714,0.30266615748405457,0.21848613023757935
notes,0.19507816433906555,0.08449841290712357,0.13280174136161804,0.19007061421871185,0.2348317801952362,0.2728319466114044,0.17075492441654205,0.1728639006614685,0.05380991846323013,0.11750734597444534,0.23920853435993195
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.24007150530815125,0.4062570035457611,0.28904372453689575,0.26600122451782227,0.5201468467712402,0.24795588850975037,0.2878543734550476,0.31091248989105225
though,0.4089210331439972,0.15306183695793152,0.37307101488113403,0.2982674539089203,0.39827248454093933,0.3100365400314331,0.41512879729270935,0.3193182945251465,0.18729989230632782,0.25921431183815,0.3188856542110443
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.24007150530815125,0.4062570035457611,0.28904372453689575,0.26600122451782227,0.5201468467712402,0.24795588850975037,0.2878543734550476,0.31091248989105225
