,when,did,rapid,warming,begin,and,help,vegetation,?
rapid,0.22205519676208496,0.08790485560894012,1.0000001192092896,0.24856001138687134,0.22068245708942413,0.15131959319114685,0.17521263659000397,0.22042310237884521,0.17199881374835968
warming,0.27990585565567017,0.23694315552711487,0.24856001138687134,0.9999998807907104,0.19074058532714844,0.2650649845600128,0.24283640086650848,0.4128609895706177,0.24314598739147186
and,0.4716290831565857,0.34479495882987976,0.15131959319114685,0.2650649845600128,0.2599445581436157,1.0,0.34926167130470276,0.30153927206993103,0.20544172823429108
changes,0.3188721537590027,0.18026256561279297,0.2490052580833435,0.26960089802742004,0.1913038194179535,0.27557092905044556,0.2825808525085449,0.21773624420166016,0.21264225244522095
of,0.3757161796092987,0.2513895630836487,0.18225142359733582,0.279348224401474,0.24830074608325958,0.5116966962814331,0.22745388746261597,0.2547335922718048,0.1826142966747284
vegetation,0.25737351179122925,0.10702532529830933,0.22042310237884521,0.4128609895706177,0.17667007446289062,0.30153927206993103,0.15052084624767303,1.0000001192092896,0.10736152529716492
",",0.36674630641937256,0.3015086054801941,0.16166973114013672,0.24254320561885834,0.27304404973983765,0.6633074283599854,0.2855570912361145,0.25971779227256775,0.31091248989105225
to,0.5423505902290344,0.4452643394470215,0.17502319812774658,0.3203888237476349,0.33302420377731323,0.48971283435821533,0.46191298961639404,0.2658894658088684,0.29463258385658264
open,0.21179616451263428,0.12370607256889343,0.1334868222475052,0.2189967930316925,0.27082493901252747,0.27364909648895264,0.22888270020484924,0.23881451785564423,0.20715104043483734
forest,0.15727750957012177,0.09703946113586426,0.16708214581012726,0.26692506670951843,0.10838291049003601,0.26268187165260315,0.12737604975700378,0.47535499930381775,0.1214437186717987
",",0.36674630641937256,0.3015086054801941,0.16166973114013672,0.24254320561885834,0.27304404973983765,0.6633074283599854,0.2855570912361145,0.25971779227256775,0.31091248989105225
began,0.25673019886016846,0.4415510594844818,0.2021019458770752,0.2314375936985016,0.49711355566978455,0.3021392226219177,0.1950693428516388,0.12004917114973068,0.1370266228914261
about,0.3835894465446472,0.28723078966140747,0.1310662031173706,0.3060736358165741,0.2457190752029419,0.3875081241130829,0.26514992117881775,0.2070682942867279,0.302409827709198
"13,000",-0.002502340590581298,0.13276547193527222,-0.18198715150356293,-0.10033927112817764,0.0173257514834404,-0.0023164204321801662,0.0370648130774498,-0.1401812881231308,-0.09414558857679367
bp,0.06523815542459488,0.0998370349407196,0.33365464210510254,0.25086548924446106,0.09161467105150223,0.09529614448547363,0.021996602416038513,0.14014290273189545,0.14202015101909637
.,0.475719153881073,0.35288307070732117,0.19743964076042175,0.3084770143032074,0.24827922880649567,0.588965117931366,0.32205137610435486,0.22089946269989014,0.4130953550338745
