,which,genus,is,considered,the,``,aunt,'',of,ctenophores,?
they,0.5165667533874512,0.19238696992397308,0.330102801322937,0.3129073977470398,0.49925389885902405,0.0819322019815445,0.17918382585048676,-0.006317874416708946,0.3426007330417633,0.38561221957206726,0.2753053903579712
suggested,0.26930686831474304,0.22077016532421112,0.20141924917697906,0.2824726104736328,0.28443726897239685,0.05178385600447655,0.18097026646137238,0.02092903107404709,0.29373469948768616,0.30975833535194397,0.2549840807914734
that,0.6894589066505432,0.19660550355911255,0.3995479643344879,0.37593913078308105,0.5473989248275757,0.05285148695111275,0.21908538043498993,0.007880004122853279,0.41498205065727234,0.3005664348602295,0.32716336846351624
stromatoveris,0.3720264732837677,0.47088712453842163,0.27549076080322266,0.254996120929718,0.2789496183395386,0.05242495983839035,0.23041357100009918,0.05663340166211128,0.315493643283844,0.5736593008041382,0.18349947035312653
was,0.2830964922904968,0.1270754039287567,0.5810302495956421,0.384328156709671,0.48711544275283813,-0.012679691426455975,0.20926642417907715,0.04456103965640068,0.4069072902202606,0.05756163224577904,0.18412111699581146
an,0.3611921966075897,0.09244801849126816,0.4654068350791931,0.3028697371482849,0.4207492768764496,0.03770720958709717,0.1439743936061859,0.09471100568771362,0.32280945777893066,0.20671021938323975,0.19793890416622162
evolutionary,0.30746161937713623,0.333387166261673,0.20621788501739502,0.22195667028427124,0.24718289077281952,0.14624559879302979,0.1491106152534485,-0.026050951331853867,0.2917879819869995,0.4701516330242157,0.22123169898986816
``,0.05178012326359749,0.09767097979784012,0.058766357600688934,0.06466352939605713,0.029072100296616554,1.0,0.007293718867003918,-0.09173435717821121,0.06780257821083069,0.20245838165283203,0.0685480609536171
aunt,0.12705357372760773,0.1445336490869522,0.11903408914804459,0.09046138823032379,0.12145933508872986,0.007293718867003918,0.9999999403953552,-0.0023547771852463484,0.09169402718544006,0.1269526481628418,0.23740965127944946
'',-0.03332270681858063,-0.002988808788359165,0.0793738141655922,0.15465481579303741,0.041273195296525955,-0.09173435717821121,-0.0023547771852463484,1.0,0.13035868108272552,0.021284958347678185,0.018684765323996544
of,0.5011631846427917,0.1679552048444748,0.4854315221309662,0.4190242290496826,0.733189046382904,0.06780257821083069,0.09169402718544006,0.13035868108272552,1.0,0.2626190483570099,0.1826142966747284
