,what,rate,of,unionization,do,scandinavian,nations,have,?
he,0.3114890456199646,0.12872585654258728,0.38706058263778687,0.17170217633247375,0.19599148631095886,0.14163465797901154,0.24783413112163544,0.3020331561565399,0.2089974731206894
points,0.2184005230665207,0.1860133558511734,0.20397144556045532,0.2701661288738251,0.1964488923549652,0.20532125234603882,0.19746336340904236,0.25485432147979736,0.11006313562393188
out,0.3633197546005249,0.2539963722229004,0.34176841378211975,0.21690787374973297,0.30558764934539795,0.14981135725975037,0.1914512664079666,0.3612789809703827,0.22020699083805084
that,0.6297725439071655,0.24504634737968445,0.41498205065727234,0.2728073000907898,0.44533252716064453,0.19114936888217926,0.23122698068618774,0.6182622313499451,0.32716336846351624
nations,0.19211222231388092,0.1582660675048828,0.27521562576293945,0.42694124579429626,0.16050584614276886,0.2074434757232666,0.9999998807907104,0.2699330151081085,0.20999202132225037
with,0.2464839518070221,0.12391091138124466,0.41827285289764404,0.24425917863845825,0.23744353652000427,0.22327028214931488,0.2591147720813751,0.48046383261680603,0.2433311939239502
high,0.20466077327728271,0.2929585874080658,0.2803038954734802,0.23305033147335052,0.15005089342594147,0.1643870621919632,0.19268816709518433,0.2406233847141266,0.11137914657592773
rates,0.2148645967245102,0.7312538027763367,0.2585311233997345,0.3617593050003052,0.2004864662885666,0.18954984843730927,0.2818140983581543,0.28337380290031433,0.13808594644069672
of,0.33290785551071167,0.24132871627807617,1.0,0.363132119178772,0.26150479912757874,0.22435471415519714,0.27521562576293945,0.3802283704280853,0.1826142966747284
unionization,0.281488299369812,0.337177038192749,0.363132119178772,0.9999999403953552,0.26304328441619873,0.20273737609386444,0.42694124579429626,0.2964652180671692,0.23645181953907013
",",0.3087472915649414,0.18156792223453522,0.4946078956127167,0.27644458413124084,0.3283645510673523,0.24600528180599213,0.24394330382347107,0.3541618287563324,0.31091248989105225
particularly,0.33027681708335876,0.20171338319778442,0.30258041620254517,0.3009953796863556,0.21630026400089264,0.27867892384529114,0.23882471024990082,0.39760419726371765,0.2644225060939789
in,0.30808621644973755,0.24951417744159698,0.5696388483047485,0.2997255325317383,0.23402775824069977,0.2175213098526001,0.259304404258728,0.36843645572662354,0.20430970191955566
scandinavia,0.1874845176935196,0.14489950239658356,0.21738162636756897,0.20417428016662598,0.11734265089035034,0.9210695028305054,0.22224697470664978,0.1660168319940567,0.13888707756996155
",",0.3087472915649414,0.18156792223453522,0.4946078956127167,0.27644458413124084,0.3283645510673523,0.24600528180599213,0.24394330382347107,0.3541618287563324,0.31091248989105225
have,0.39808809757232666,0.22157570719718933,0.3802283704280853,0.2964652180671692,0.49831271171569824,0.1639239490032196,0.2699330151081085,0.9999999403953552,0.32991164922714233
very,0.37053924798965454,0.2544127404689789,0.34437474608421326,0.23563534021377563,0.2859450876712799,0.21075941622257233,0.12305547297000885,0.43513578176498413,0.20864155888557434
low,0.20743566751480103,0.3824940621852875,0.27171993255615234,0.23700371384620667,0.1462601274251938,0.2123604714870453,0.1867576688528061,0.2958303987979889,0.10658930987119675
levels,0.21641245484352112,0.3403352200984955,0.23668165504932404,0.26959332823753357,0.22495627403259277,0.14244693517684937,0.24017147719860077,0.37333425879478455,0.1541307419538498
of,0.33290785551071167,0.24132871627807617,1.0,0.363132119178772,0.26150479912757874,0.22435471415519714,0.27521562576293945,0.3802283704280853,0.1826142966747284
inequality,0.30072227120399475,0.31061500310897827,0.27910974621772766,0.4639938771724701,0.2117324322462082,0.13004595041275024,0.3608638346195221,0.2617298364639282,0.23619021475315094
",",0.3087472915649414,0.18156792223453522,0.4946078956127167,0.27644458413124084,0.3283645510673523,0.24600528180599213,0.24394330382347107,0.3541618287563324,0.31091248989105225
and,0.31309178471565247,0.17405889928340912,0.5116966962814331,0.2411324828863144,0.276123583316803,0.26058000326156616,0.2505394220352173,0.4711785912513733,0.20544172823429108
concludes,0.27028560638427734,0.1729188859462738,0.3224075734615326,0.21988698840141296,0.20454096794128418,0.16890376806259155,0.24681679904460907,0.2410735934972763,0.1386803537607193
``,0.008517155423760414,0.11667460203170776,0.06780257821083069,0.09371756762266159,0.06628920882940292,0.08229431509971619,0.11216246336698532,0.1022237241268158,0.0685480609536171
the,0.42745697498321533,0.24881242215633392,0.733189046382904,0.3807361125946045,0.30239659547805786,0.25986942648887634,0.3506215214729309,0.40389683842658997,0.22068053483963013
