,what,is,the,name,of,espn,'s,streaming,service,that,is,analogous,to,watch,abc,?
similar,0.30608364939689636,0.28929588198661804,0.2963123023509979,0.2384333312511444,0.2911645472049713,0.10361923277378082,0.10983143001794815,0.26534906029701233,0.1383776217699051,0.4232555329799652,0.28929588198661804,0.39622947573661804,0.2888135313987732,0.15888962149620056,0.118557870388031,0.23309361934661865
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27806994318962097,0.41548454761505127,0.21040675044059753,0.03782717138528824,0.27191177010536194,0.24411341547966003,0.5436353087425232,0.42745086550712585,0.23161494731903076,1.0,0.2955072224140167,0.1762417107820511,0.29463258385658264
sister,0.1249556615948677,0.13919129967689514,0.1446198970079422,0.19500501453876495,0.14279574155807495,0.17075347900390625,0.019992811605334282,0.14289498329162598,0.11713264137506485,0.23520778119564056,0.13919129967689514,0.1499282270669937,0.2273593544960022,0.1103452667593956,0.17810118198394775,0.15028199553489685
network,0.16917307674884796,0.2196272611618042,0.27187061309814453,0.12428203225135803,0.21800683438777924,0.4269711971282959,0.07819218933582306,0.42074036598205566,0.30970117449760437,0.2984007000923157,0.2196272611618042,0.2155124992132187,0.25940340757369995,0.2115340530872345,0.4295894205570221,0.17853789031505585
espn,0.20291002094745636,0.17236356437206268,0.19345609843730927,0.11103328317403793,0.12878696620464325,1.0000001192092896,0.03143302723765373,0.32847169041633606,0.20077846944332123,0.20773537456989288,0.17236356437206268,0.21694111824035645,0.21040675044059753,0.25118619203567505,0.42660194635391235,0.1709517240524292
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.08507627248764038,-0.03817026689648628,0.03143302723765373,0.9999999403953552,0.03539925068616867,0.017307469621300697,0.04397977516055107,0.02396530658006668,0.05223369225859642,0.03782717138528824,0.06111160293221474,0.06670809537172318,-0.023395681753754616
watchespn,0.2674243748188019,0.23649193346500397,0.2754616141319275,0.19100193679332733,0.2005094438791275,0.6189122200012207,0.02933337725698948,0.3611946403980255,0.2627071738243103,0.2946169674396515,0.23649193346500397,0.24058108031749725,0.26416680216789246,0.693037211894989,0.41689005494117737,0.2603048086166382
service,0.16857224702835083,0.15705204010009766,0.22661015391349792,0.16454491019248962,0.18425606191158295,0.20077846944332123,0.017307469621300697,0.3720870912075043,0.9999998807907104,0.24765339493751526,0.15705204010009766,0.14268191158771515,0.24411341547966003,0.1689300537109375,0.22076331079006195,0.1676298975944519
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.2706909477710724,0.35032153129577637,0.19824522733688354,0.0012731997994706035,0.15979774296283722,0.13752473890781403,0.2264307141304016,0.35393038392066956,0.19592225551605225,0.30882009863853455,0.14697280526161194,0.183883935213089,0.40561532974243164
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.2972666025161743,0.5011631846427917,0.16519013047218323,0.03856118768453598,0.35208848118782043,0.25458550453186035,0.6894589066505432,0.4457404911518097,0.3744819164276123,0.5345056653022766,0.2638746500015259,0.1991286277770996,0.25814583897590637
originated,0.17986609041690826,0.27118435502052307,0.3238855004310608,0.3131806552410126,0.27252769470214844,0.03320625051856041,-0.016868088394403458,0.21383143961429596,0.10552673786878586,0.2922593951225281,0.27118435502052307,0.26584312319755554,0.2391701340675354,0.1293024718761444,0.15549536049365997,0.11205674707889557
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,0.19345609843730927,-0.01540423184633255,0.25890758633613586,0.22661015391349792,0.5473989248275757,0.5823672413825989,0.24907797574996948,0.535392165184021,0.24077482521533966,0.2068762183189392,0.22068053483963013
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.1001104861497879,0.06780257821083069,-0.031116101890802383,-0.03416389226913452,-0.10686158388853073,0.017600590363144875,0.05285148695111275,0.058766357600688934,0.0714481770992279,0.06720756739377975,-0.10261975973844528,-0.04806871339678764,0.0685480609536171
watch,0.2853691279888153,0.17685918509960175,0.24077482521533966,0.1358647644519806,0.19463703036308289,0.25118619203567505,0.06111160293221474,0.268684446811676,0.1689300537109375,0.3297022581100464,0.17685918509960175,0.21722696721553802,0.2955072224140167,1.0,0.20378684997558594,0.2568144202232361
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.003883055876940489,0.13035868108272552,-0.02893434837460518,-0.04859459400177002,-0.05268501117825508,-0.12121836096048355,0.007880004122853279,0.0793738141655922,0.10988343507051468,-0.009905828163027763,-0.006904433947056532,-0.05768610164523125,0.018684765323996544
