,what,organization,has,continued,to,be,a,major,disruptive,force,in,palestine,?
hamas,0.218891441822052,0.2785433232784271,0.1852215677499771,0.217611625790596,0.20350603759288788,0.20023085176944733,0.2367890626192093,0.12424074858427048,0.22190290689468384,0.22991223633289337,0.16542012989521027,0.49194228649139404,0.188774973154068
has,0.20338068902492523,0.1966867297887802,1.0,0.16564029455184937,0.3619994819164276,0.3863394856452942,0.4670248031616211,0.2243996560573578,0.22544658184051514,0.15953533351421356,0.4173259735107422,0.17360985279083252,0.15994466841220856
continued,0.17878234386444092,0.1695844680070877,0.16564029455184937,0.9999999403953552,0.33327484130859375,0.11747756600379944,0.22831276059150696,0.20974159240722656,0.2004999816417694,0.23055537045001984,0.2845509350299835,0.2510019838809967,0.10404038429260254
to,0.455847829580307,0.26166829466819763,0.3619994819164276,0.33327484130859375,1.0,0.4972836375236511,0.45503583550453186,0.19240309298038483,0.3288019001483917,0.24496492743492126,0.45010748505592346,0.21640940010547638,0.29463258385658264
be,0.3929833769798279,0.15203745663166046,0.3863394856452942,0.11747756600379944,0.4972836375236511,1.0,0.39883795380592346,0.1488431692123413,0.34165477752685547,0.16664405167102814,0.3481820821762085,0.17041248083114624,0.3324260413646698
a,0.3320399522781372,0.2565373480319977,0.4670248031616211,0.22831276059150696,0.45503583550453186,0.39883795380592346,1.0,0.22990699112415314,0.28577378392219543,0.2451154738664627,0.539380669593811,0.20835833251476288,0.23916715383529663
major,0.21026742458343506,0.1995619237422943,0.2243996560573578,0.20974159240722656,0.19240309298038483,0.1488431692123413,0.22990699112415314,0.9999998807907104,0.17870788276195526,0.14676405489444733,0.3249945342540741,0.07528902590274811,0.19788557291030884
player,0.1592520773410797,0.12604877352714539,0.2232464849948883,0.11708635836839676,0.17719191312789917,0.16268029808998108,0.2591003477573395,0.1840788722038269,0.10773379355669022,0.1387782245874405,0.1851271539926529,0.1684418022632599,0.18988972902297974
in,0.30808621644973755,0.2513086795806885,0.4173259735107422,0.2845509350299835,0.45010748505592346,0.3481820821762085,0.539380669593811,0.3249945342540741,0.21467314660549164,0.21744468808174133,1.0,0.2667962610721588,0.20430970191955566
palestine,0.20038168132305145,0.300845205783844,0.17360985279083252,0.2510019838809967,0.21640940010547638,0.17041248083114624,0.20835833251476288,0.07528902590274811,0.1469401717185974,0.2072063684463501,0.2667962610721588,1.0000001192092896,0.19504891335964203
.,0.3567904531955719,0.20656518638134003,0.4105546176433563,0.24624989926815033,0.4645031690597534,0.4383580684661865,0.50484299659729,0.3054012954235077,0.2360740303993225,0.2783275842666626,0.5591574311256409,0.2168932408094406,0.4130953550338745
,what,organization,has,continued,to,be,a,major,disruptive,force,in,palestine,?
in,0.30808621644973755,0.2513086795806885,0.4173259735107422,0.2845509350299835,0.45010748505592346,0.3481820821762085,0.539380669593811,0.3249945342540741,0.21467314660549164,0.21744468808174133,1.0,0.2667962610721588,0.20430970191955566
the,0.42745697498321533,0.311172217130661,0.4177538752555847,0.29953038692474365,0.535392165184021,0.4248143136501312,0.5829201340675354,0.31775903701782227,0.2171422839164734,0.2800885736942291,0.6662389636039734,0.2786056101322174,0.22068053483963013
january,0.19257698953151703,0.15039260685443878,0.19119103252887726,0.15980558097362518,0.20270398259162903,0.184214249253273,0.24193190038204193,0.17840826511383057,0.20613154768943787,0.1420314460992813,0.28467586636543274,0.14209897816181183,0.28608936071395874
2006,-0.0008085015579126775,0.02953280508518219,0.09697135537862778,-0.04929613322019577,0.012056082487106323,0.13312435150146484,0.09566660970449448,0.000629022135399282,0.0669146329164505,-0.012662682682275772,-0.04600946605205536,-0.13023805618286133,-0.1194092258810997
legislative,0.22232688963413239,0.22191688418388367,0.14951680600643158,0.1607823222875595,0.2195226103067398,0.1744559109210968,0.23537522554397583,0.19144760072231293,0.1686408668756485,0.19486868381500244,0.24765221774578094,0.2384738177061081,0.1654243916273117
election—its,0.23120823502540588,0.18772108852863312,0.13627475500106812,0.12376292794942856,0.19876164197921753,0.22856731712818146,0.23262359201908112,0.15768972039222717,0.20437663793563843,0.1456613391637802,0.24068893492221832,0.20215313136577606,0.28731855750083923
first,0.28086137771606445,0.2089657038450241,0.28288596868515015,0.29918307065963745,0.3792489171028137,0.29818081855773926,0.4287874400615692,0.3049021065235138,0.14353808760643005,0.1799899935722351,0.4127444326877594,0.12236841768026352,0.18701928853988647
foray,0.19243447482585907,0.10502197593450546,0.2032446414232254,0.1760060340166092,0.22967924177646637,0.16910336911678314,0.2131732553243637,0.11853769421577454,0.21783383190631866,0.12811703979969025,0.27930986881256104,0.18653634190559387,0.22872884571552277
