,which,laws,mentioned,predate,eu,law,?
it,0.616637647151947,0.24084556102752686,0.2662104368209839,0.29428303241729736,0.11940911412239075,0.18657292425632477,0.25732165575027466
is,0.4457404911518097,0.17527072131633759,0.2650628387928009,0.19648034870624542,0.12234814465045929,0.18597714602947235,0.22961433231830597
an,0.3611921966075897,0.17227743566036224,0.20717553794384003,0.24968868494033813,0.10770508646965027,0.17270056903362274,0.19793890416622162
important,0.37798872590065,0.2010982632637024,0.3225361704826355,0.18330921232700348,0.08478491753339767,0.13215887546539307,0.17812499403953552
general,0.19923317432403564,0.19723732769489288,0.18816405534744263,0.1290658414363861,0.16366180777549744,0.26049289107322693,0.1972234547138214
principle,0.33062395453453064,0.4339929223060608,0.22010554373264313,0.22761133313179016,0.18093110620975494,0.3907681703567505,0.2002675086259842
of,0.5011631846427917,0.2539142072200775,0.2778978943824768,0.1815599799156189,0.1579294353723526,0.2816956341266632,0.1826142966747284
international,0.2492714822292328,0.20744676887989044,0.10854849964380264,0.09465295821428299,0.15950915217399597,0.2131812870502472,0.15335838496685028
law,0.20205146074295044,0.6853237152099609,0.16365332901477814,0.164749413728714,0.20359504222869873,1.0000001192092896,0.1528988480567932
and,0.506277859210968,0.290377676486969,0.25729507207870483,0.20139846205711365,0.16977795958518982,0.254730761051178,0.20544172823429108
public,0.2544276714324951,0.2500910758972168,0.17976638674736023,0.1375187337398529,0.21463967859745026,0.26381510496139526,0.19872993230819702
law,0.20205146074295044,0.6853237152099609,0.16365332901477814,0.164749413728714,0.20359504222869873,1.0000001192092896,0.1528988480567932
",",0.3658004403114319,0.26751992106437683,0.3424985706806183,0.22007639706134796,0.1565755307674408,0.24953721463680267,0.31091248989105225
which,1.0,0.271426796913147,0.27391618490219116,0.2574233412742615,0.15620915591716766,0.20205146074295044,0.25814583897590637
predates,0.29657888412475586,0.2086126208305359,0.2824530303478241,0.9012517929077148,0.08568684011697769,0.16171596944332123,0.26170721650123596
european,0.2234036773443222,0.21827232837677002,0.14736945927143097,0.14447011053562164,0.46552222967147827,0.17164482176303864,0.14560863375663757
union,0.23846890032291412,0.2677162289619446,-0.0045342473313212395,0.06624773889780045,0.3292396068572998,0.19371826946735382,0.07797172665596008
law,0.20205146074295044,0.6853237152099609,0.16365332901477814,0.164749413728714,0.20359504222869873,1.0000001192092896,0.1528988480567932
.,0.45942068099975586,0.2222834676504135,0.2792564034461975,0.2637917101383209,0.1552242487668991,0.24482665956020355,0.4130953550338745
