,what,science,fiction,writer,introduced,the,doctor,who,episodes,for,a,period,of,time,?
from,0.2737620174884796,0.22525878250598907,0.20016834139823914,0.14860941469669342,0.1545238345861435,0.40150508284568787,0.15658842027187347,0.27839982509613037,0.22955967485904694,0.314039945602417,0.322764128446579,0.2558770775794983,0.4249346852302551,0.2964353561401367,0.19969791173934937
1979,0.17707666754722595,0.14651551842689514,0.13529527187347412,0.07441555708646774,0.1332806497812271,0.3323744237422943,0.13568224012851715,0.215601846575737,0.13858985900878906,0.12817136943340302,0.18405361473560333,0.09599665552377701,0.2645907700061798,0.11426625400781631,0.09159877151250839
to,0.455847829580307,0.2226530760526657,0.15569862723350525,0.12567701935768127,0.22615164518356323,0.535392165184021,0.22950075566768646,0.42656609416007996,0.21516069769859314,0.4451248347759247,0.45503583550453186,0.24346192181110382,0.41548454761505127,0.3679993152618408,0.29463258385658264
1981,-0.08909204602241516,0.03743083402514458,0.06365886330604553,0.20607100427150726,0.14133191108703613,-0.010583994910120964,0.0007903788355179131,-0.038030195981264114,0.0258832685649395,-0.060824617743492126,0.000713431159965694,-0.014268318191170692,0.01745067909359932,-0.09299156069755554,0.07968433201313019
",",0.3087472915649414,0.2623405158519745,0.23848076164722443,0.2910175621509552,0.22034090757369995,0.4933079481124878,0.20407600700855255,0.3365725874900818,0.2131132036447525,0.4464869201183319,0.427140474319458,0.25030651688575745,0.4946078956127167,0.3029961884021759,0.31091248989105225
tvo,0.1723005473613739,0.2203337699174881,0.2504681944847107,0.28479868173599243,0.1545747071504593,0.18279337882995605,0.20164626836776733,0.17353172600269318,0.21945282816886902,0.22103054821491241,0.1855187863111496,0.08772695809602737,0.1709083765745163,0.16844220459461212,0.2239391803741455
airings,0.1987674981355667,0.17788228392601013,0.24388642609119415,0.17570169270038605,0.20723800361156464,0.299450159072876,0.15928545594215393,0.13942919671535492,0.5750138759613037,0.25378382205963135,0.1909080147743225,0.25453832745552063,0.2100440412759781,0.2780458331108093,0.21833941340446472
were,0.22298263013362885,0.11729401350021362,0.1855488419532776,0.1016240268945694,0.27468806505203247,0.3906462490558624,0.11412792652845383,0.3188014328479767,0.17896170914173126,0.33592689037323,0.17203083634376526,0.2902187407016754,0.34038281440734863,0.3104150593280792,0.17890112102031708
bookended,0.29083868861198425,0.2892066538333893,0.3400796949863434,0.2934381067752838,0.3032810389995575,0.3382980525493622,0.22966040670871735,0.33949393033981323,0.24152423441410065,0.313562273979187,0.307899534702301,0.1961292177438736,0.27572256326675415,0.3482069969177246,0.24651671946048737
by,0.2455483376979828,0.20686732232570648,0.21986433863639832,0.19870543479919434,0.2554222345352173,0.4408751428127289,0.13681447505950928,0.39727845788002014,0.16738691926002502,0.3248702883720398,0.32094135880470276,0.22862431406974792,0.3646814823150635,0.26502725481987,0.17966607213020325
science-fiction,0.2796027362346649,0.8941934704780579,0.8350290060043335,0.424853652715683,0.16928984224796295,0.28611838817596436,0.39818131923675537,0.24990907311439514,0.2806483209133148,0.2890617549419403,0.2808995544910431,0.22549696266651154,0.2931134104728699,0.2530466914176941,0.22927473485469818
writer,0.16903695464134216,0.3333849608898163,0.42670413851737976,1.0,0.16708172857761383,0.1583879292011261,0.3492763638496399,0.26322856545448303,0.25126948952674866,0.18162067234516144,0.2671267092227936,0.13603892922401428,0.14383116364479065,0.15112216770648956,0.1860569268465042
judith,0.18088854849338531,0.14928489923477173,0.17668220400810242,0.27486780285835266,0.05642030015587807,0.1553809940814972,0.17378731071949005,0.22910501062870026,0.21808964014053345,0.08064751327037811,0.1803007572889328,0.05554014816880226,0.18056558072566986,0.11973831057548523,0.1926697939634323
merril,0.16898539662361145,0.15200968086719513,0.18643522262573242,0.23728613555431366,0.17391951382160187,0.2007065713405609,0.14365839958190918,0.2426825612783432,0.19655193388462067,0.2400696575641632,0.23999784886837006,0.16964119672775269,0.18042467534542084,0.19391995668411255,0.22203810513019562
who,0.40942975878715515,0.19709691405296326,0.22704675793647766,0.26322856545448303,0.18349657952785492,0.3733934462070465,0.3504868149757385,0.9999998807907104,0.20461446046829224,0.37110671401023865,0.36608949303627014,0.2116105854511261,0.2827862501144409,0.36634087562561035,0.26220351457595825
would,0.45766422152519226,0.1530524343252182,0.18836387991905212,0.1573576182126999,0.2076328545808792,0.4133751392364502,0.16451218724250793,0.3632977604866028,0.19899669289588928,0.39877474308013916,0.398599237203598,0.1713632196187973,0.3353942930698395,0.3781263828277588,0.37178951501846313
introduce,0.2023693174123764,0.15767502784729004,0.19042153656482697,0.18809282779693604,0.7996845841407776,0.22310380637645721,0.1099029928445816,0.2289908230304718,0.163612499833107,0.27405846118927,0.25808990001678467,0.16464866697788239,0.2043139487504959,0.26931294798851013,0.22698114812374115
the,0.42745697498321533,0.24037593603134155,0.20230287313461304,0.1583879292011261,0.242969810962677,1.0,0.2820442318916321,0.3733934462070465,0.1889590173959732,0.4739971458911896,0.5829201340675354,0.3125074505805969,0.733189046382904,0.43061500787734985,0.22068053483963013
episode,0.1919318586587906,0.18124337494373322,0.2822720408439636,0.2407991886138916,0.15775705873966217,0.25342556834220886,0.2940889000892639,0.2015407234430313,0.8163357973098755,0.17981192469596863,0.211050882935524,0.2108885794878006,0.17369085550308228,0.28294599056243896,0.23978739976882935
and,0.31309178471565247,0.2865735590457916,0.24175362288951874,0.2668316066265106,0.27894338965415955,0.5171257257461548,0.21673844754695892,0.41279885172843933,0.246442511677742,0.5064792633056641,0.3739250600337982,0.23878438770771027,0.5116966962814331,0.3025408685207367,0.20544172823429108
then,0.4072686731815338,0.15279501676559448,0.11177770048379898,0.14326897263526917,0.1161000058054924,0.4297412931919098,0.19567610323429108,0.29952746629714966,0.18485938012599945,0.3392637073993683,0.3970017731189728,0.18419641256332397,0.2937326431274414,0.3735695481300354,0.2884598970413208
",",0.3087472915649414,0.2623405158519745,0.23848076164722443,0.2910175621509552,0.22034090757369995,0.4933079481124878,0.20407600700855255,0.3365725874900818,0.2131132036447525,0.4464869201183319,0.427140474319458,0.25030651688575745,0.4946078956127167,0.3029961884021759,0.31091248989105225
after,0.21973377466201782,0.10766847431659698,0.11053494364023209,0.15646082162857056,0.19105450809001923,0.4565047025680542,0.1885940581560135,0.32549580931663513,0.20068928599357605,0.3650246858596802,0.3831600844860077,0.34399178624153137,0.3867455720901489,0.40345117449760437,0.16608688235282898
the,0.42745697498321533,0.24037593603134155,0.20230287313461304,0.1583879292011261,0.242969810962677,1.0,0.2820442318916321,0.3733934462070465,0.1889590173959732,0.4739971458911896,0.5829201340675354,0.3125074505805969,0.733189046382904,0.43061500787734985,0.22068053483963013
episode,0.1919318586587906,0.18124337494373322,0.2822720408439636,0.2407991886138916,0.15775705873966217,0.25342556834220886,0.2940889000892639,0.2015407234430313,0.8163357973098755,0.17981192469596863,0.211050882935524,0.2108885794878006,0.17369085550308228,0.28294599056243896,0.23978739976882935
concluded,0.29084116220474243,0.24951887130737305,0.1930752396583557,0.13103018701076508,0.18346399068832397,0.3024786412715912,0.15022167563438416,0.15572397410869598,0.22485500574111938,0.24182996153831482,0.24187614023685455,0.23375463485717773,0.29793640971183777,0.21035611629486084,0.13595789670944214
",",0.3087472915649414,0.2623405158519745,0.23848076164722443,0.2910175621509552,0.22034090757369995,0.4933079481124878,0.20407600700855255,0.3365725874900818,0.2131132036447525,0.4464869201183319,0.427140474319458,0.25030651688575745,0.4946078956127167,0.3029961884021759,0.31091248989105225
