,in,what,year,was,an,early,admission,program,reintroduced,?
harvard,0.26072487235069275,0.2177114188671112,0.12264450639486313,0.2415156066417694,0.1396438181400299,0.21132619678974152,0.31619688868522644,0.2390788048505783,0.16837884485721588,0.11685016006231308
college,0.2160365730524063,0.20568516850471497,0.18138910830020905,0.275774210691452,0.16202573478221893,0.19495421648025513,0.42084380984306335,0.22076371312141418,0.08625799417495728,0.11076676845550537
ended,0.3353011906147003,0.1532270610332489,0.30346307158470154,0.4452953040599823,0.15095087885856628,0.41420987248420715,0.21936854720115662,0.1490919589996338,0.2332657426595688,0.15429291129112244
its,0.3793783485889435,0.30393704771995544,0.15338382124900818,0.3518870174884796,0.28139030933380127,0.18085439503192902,0.24598808586597443,0.22245895862579346,0.24941420555114746,0.15103481709957123
early,0.34672921895980835,0.2454567849636078,0.22533860802650452,0.4148794412612915,0.21947315335273743,1.0000001192092896,0.164757639169693,0.18109819293022156,0.2844419777393341,0.15272949635982513
admissions,0.308417946100235,0.2906854748725891,0.20230574905872345,0.2317034751176834,0.15295571088790894,0.18263080716133118,0.8736568689346313,0.33545055985450745,0.1674758791923523,0.2463146448135376
program,0.1994907110929489,0.25047802925109863,0.17092710733413696,0.1849333792924881,0.2383636236190796,0.18109819293022156,0.34782129526138306,1.0,0.1357940137386322,0.1440187245607376
in,1.0,0.30808621644973755,0.3359307050704956,0.45514053106307983,0.2605783939361572,0.34672921895980835,0.2778421938419342,0.1994907110929489,0.3000187873840332,0.20430970191955566
2007,-0.2201838344335556,-0.15549811720848083,-0.20763340592384338,-0.29168957471847534,-0.09330242872238159,-0.1751134842634201,-0.16369052231311798,-0.07581492513418198,-0.11715248972177505,-0.1664225310087204
as,0.3887844979763031,0.31749409437179565,0.28440728783607483,0.3677520453929901,0.37218472361564636,0.2809016704559326,0.24469693005084991,0.19883424043655396,0.26918601989746094,0.27043893933296204
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,0.4207492768764496,0.34442198276519775,0.2620483338832855,0.22986935079097748,0.30385175347328186,0.22068053483963013
program,0.1994907110929489,0.25047802925109863,0.17092710733413696,0.1849333792924881,0.2383636236190796,0.18109819293022156,0.34782129526138306,1.0,0.1357940137386322,0.1440187245607376
was,0.45514053106307983,0.22111038863658905,0.3209837079048157,1.0000001192092896,0.3694365322589874,0.4148794412612915,0.2642839848995209,0.1849333792924881,0.35592347383499146,0.18412111699581146
believed,0.2605416774749756,0.32626157999038696,0.14536023139953613,0.3758357763290405,0.18278776109218597,0.32413315773010254,0.1686578094959259,0.09385628998279572,0.215671107172966,0.17606885731220245
to,0.45010748505592346,0.455847829580307,0.23523004353046417,0.3636345863342285,0.3138085603713989,0.24557004868984222,0.3141794502735138,0.23681028187274933,0.2521350383758545,0.29463258385658264
disadvantage,0.16697493195533752,0.2268264889717102,0.12918828427791595,0.10423734039068222,0.19252625107765198,0.15758146345615387,0.27184227108955383,0.29162901639938354,0.16182741522789001,0.1633838564157486
low-income,0.2509772479534149,0.20757463574409485,0.27115100622177124,0.17485064268112183,0.15119405090808868,0.2543332874774933,0.3950060307979584,0.24687136709690094,0.1925615817308426,0.19186009466648102
and,0.4954058527946472,0.31309178471565247,0.2506658732891083,0.3740963041782379,0.2838519215583801,0.29847630858421326,0.20120634138584137,0.24895258247852325,0.30158916115760803,0.20544172823429108
under-represented,0.35154101252555847,0.2521631121635437,0.17722079157829285,0.2904682457447052,0.26655313372612,0.2697674036026001,0.2698855996131897,0.2349381297826767,0.29985612630844116,0.23506565392017365
minority,0.24005159735679626,0.18657594919204712,0.06853338330984116,0.18636661767959595,0.14245308935642242,0.17110905051231384,0.20043249428272247,0.13944052159786224,0.23461118340492249,0.22200141847133636
applicants,0.23373262584209442,0.20522134006023407,0.21473082900047302,0.18886452913284302,0.21049225330352783,0.1806354522705078,0.4292972981929779,0.3110874891281128,0.2010684311389923,0.15245583653450012
applying,0.2432338446378708,0.3609994947910309,0.16850319504737854,0.15359126031398773,0.19169461727142334,0.19011519849300385,0.3177267014980316,0.15730410814285278,0.21543318033218384,0.2414112687110901
to,0.45010748505592346,0.455847829580307,0.23523004353046417,0.3636345863342285,0.3138085603713989,0.24557004868984222,0.3141794502735138,0.23681028187274933,0.2521350383758545,0.29463258385658264
selective,0.183524951338768,0.25354740023612976,0.11105217784643173,0.13098369538784027,0.14105023443698883,0.1840415894985199,0.24419978260993958,0.19939927756786346,0.2211470901966095,0.20934052765369415
