,what,do,some,believe,the,treaty,of,versailles,assisted,in,?
the,0.42745697498321533,0.30239659547805786,0.4566698372364044,0.2972484529018402,1.0,0.2690109610557556,0.733189046382904,0.24600769579410553,0.22827282547950745,0.6662389636039734,0.22068053483963013
treaty,0.17237819731235504,0.11676014214754105,0.16256524622440338,0.16768118739128113,0.2690109610557556,1.0,0.2602092921733856,0.4722655713558197,0.1041211262345314,0.22333456575870514,0.1174844279885292
of,0.33290785551071167,0.26150479912757874,0.4300730526447296,0.2925758957862854,0.733189046382904,0.2602092921733856,1.0,0.2543538808822632,0.282266229391098,0.5696388483047485,0.1826142966747284
versailles,0.14877870678901672,0.11598987132310867,0.1653851419687271,0.15386700630187988,0.24600769579410553,0.4722655713558197,0.2543538808822632,1.0,0.11828605085611343,0.1787460446357727,0.15759283304214478
and,0.31309178471565247,0.276123583316803,0.5337774157524109,0.29652947187423706,0.5171257257461548,0.1592116355895996,0.5116966962814331,0.2018194943666458,0.2880154848098755,0.4954058527946472,0.20544172823429108
this,0.5489566326141357,0.34963881969451904,0.5247883796691895,0.4528229534626007,0.6274310946464539,0.2211783081293106,0.45148900151252747,0.18125130236148834,0.20019082725048065,0.45205554366111755,0.3155723512172699
particular,0.4548671245574951,0.25992920994758606,0.49067193269729614,0.27406784892082214,0.4066357910633087,0.0851346030831337,0.3490585684776306,0.11182457953691483,0.21816517412662506,0.3090636432170868,0.2741454839706421
provision,0.23705077171325684,0.17350438237190247,0.2473994344472885,0.2219572812318802,0.2599116861820221,0.36933353543281555,0.24258814752101898,0.2417386919260025,0.2961607277393341,0.1753181517124176,0.19758205115795135
",",0.3087472915649414,0.3283645510673523,0.42400437593460083,0.2459280639886856,0.4933079481124878,0.21270246803760529,0.4946078956127167,0.22810658812522888,0.23627705872058868,0.5201468467712402,0.31091248989105225
in,0.30808621644973755,0.23402775824069977,0.4010399878025055,0.20806841552257538,0.6662389636039734,0.22333456575870514,0.5696388483047485,0.1787460446357727,0.22382716834545135,1.0,0.20430970191955566
