,what,european,event,caused,the,huguenots,to,abandon,charlesfort,?
in,0.30808621644973755,0.23319172859191895,0.27304479479789734,0.2494886964559555,0.6662389636039734,0.25916293263435364,0.45010748505592346,0.30297183990478516,0.33249932527542114,0.20430970191955566
1562,0.02059434913098812,-0.019049381837248802,-0.01064340304583311,-0.08513513207435608,0.06752016395330429,-0.022488681599497795,-0.031377606093883514,0.03573058918118477,0.06427548080682755,0.018519774079322815
",",0.3087472915649414,0.19684812426567078,0.22701776027679443,0.2600580155849457,0.4933079481124878,0.23394492268562317,0.44245919585227966,0.3101218044757843,0.34580498933792114,0.31091248989105225
naval,0.160405233502388,0.14629524946212769,0.1366381049156189,0.15451642870903015,0.25506526231765747,0.26020196080207825,0.21798072755336761,0.20675654709339142,0.2652571201324463,0.12642952799797058
officer,0.18551595509052277,0.17629040777683258,0.14733043313026428,0.14187313616275787,0.25777485966682434,0.18353024125099182,0.2198503315448761,0.2125682681798935,0.22219181060791016,0.119948610663414
jean,0.10624528676271439,0.20172038674354553,0.08127090334892273,0.08415020257234573,0.2186683863401413,0.35719308257102966,0.14325137436389923,0.09540584683418274,0.3210380971431732,0.1531364470720291
ribault,0.19485299289226532,0.1827762871980667,0.16968992352485657,0.17780856788158417,0.2843990921974182,0.3890886604785919,0.23193833231925964,0.2585039734840393,0.3667928874492645,0.18847298622131348
led,0.12112844735383987,0.2244439274072647,0.2058800756931305,0.40969040989875793,0.3267505168914795,0.2371187061071396,0.21815308928489685,0.2892151474952698,0.25757816433906555,0.09273858368396759
an,0.2821882665157318,0.15618090331554413,0.188729926943779,0.2219875156879425,0.4207492768764496,0.1543605476617813,0.3138085603713989,0.07027668505907059,0.2437545508146286,0.19793890416622162
expedition,0.19300568103790283,0.26165711879730225,0.22759678959846497,0.13722220063209534,0.26213887333869934,0.2568511962890625,0.2431555688381195,0.2927073538303375,0.29216429591178894,0.10355690121650696
that,0.6297725439071655,0.2049320936203003,0.3453879952430725,0.33201703429222107,0.5473989248275757,0.21999265253543854,0.5436353087425232,0.2661401629447937,0.2130006104707718,0.32716336846351624
explored,0.2343243807554245,0.2862461805343628,0.138798326253891,0.18507874011993408,0.28095129132270813,0.26706498861312866,0.24728679656982422,0.2295585572719574,0.25628671050071716,0.08649857342243195
florida,0.14450381696224213,0.1643766313791275,0.18408998847007751,0.1897069811820984,0.24091358482837677,0.17206768691539764,0.20760414004325867,0.12106872349977493,0.3088515102863312,0.13469882309436798
and,0.31309178471565247,0.24143946170806885,0.17869816720485687,0.2892237603664398,0.5171257257461548,0.28783127665519714,0.48971283435821533,0.31227657198905945,0.3052840232849121,0.20544172823429108
the,0.42745697498321533,0.3423081040382385,0.2960145175457001,0.24990202486515045,1.0,0.30745792388916016,0.535392165184021,0.30493196845054626,0.3268512785434723,0.22068053483963013
present-day,0.3194306194782257,0.18011820316314697,0.3436201214790344,0.13668091595172882,0.36770060658454895,0.23021434247493744,0.2947346866130829,0.1950187236070633,0.2872452735900879,0.24972984194755554
southeastern,0.21616344153881073,0.25192591547966003,0.1737176477909088,0.22592423856258392,0.37968114018440247,0.20278042554855347,0.17698900401592255,0.14528369903564453,0.321308434009552,0.1729537695646286
u.s.,0.11178889125585556,0.010307379066944122,-0.05524922162294388,-0.021467110142111778,0.06592652946710587,0.20421810448169708,0.09732837975025177,0.11754567176103592,0.11635170131921768,0.07886100560426712
",",0.3087472915649414,0.19684812426567078,0.22701776027679443,0.2600580155849457,0.4933079481124878,0.23394492268562317,0.44245919585227966,0.3101218044757843,0.34580498933792114,0.31091248989105225
and,0.31309178471565247,0.24143946170806885,0.17869816720485687,0.2892237603664398,0.5171257257461548,0.28783127665519714,0.48971283435821533,0.31227657198905945,0.3052840232849121,0.20544172823429108
founded,0.1163782924413681,0.22503596544265747,0.1739564687013626,0.10141293704509735,0.2840350568294525,0.18606750667095184,0.15697255730628967,0.215289905667305,0.21978172659873962,0.09119737893342972
the,0.42745697498321533,0.3423081040382385,0.2960145175457001,0.24990202486515045,1.0,0.30745792388916016,0.535392165184021,0.30493196845054626,0.3268512785434723,0.22068053483963013
