,time,and,space,are,both,examples,of,what,type,of,resource,?
although,0.31589460372924805,0.334905743598938,0.11214564740657806,0.30740880966186523,0.3455209732055664,0.14975225925445557,0.3024747669696808,0.24844598770141602,0.1240415871143341,0.3024747669696808,0.18900138139724731,0.15541206300258636
time,0.9999998807907104,0.3025408685207367,0.2780037522315979,0.24188680946826935,0.30886179208755493,0.2319445163011551,0.35127586126327515,0.36319252848625183,0.1723036915063858,0.35127586126327515,0.24254600703716278,0.27391523122787476
and,0.3025408685207367,1.0,0.22901733219623566,0.48576638102531433,0.5503310561180115,0.35639533400535583,0.5116966962814331,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.26207050681114197,0.20544172823429108
space,0.2780037522315979,0.22901733219623566,1.0000001192092896,0.18112362921237946,0.1786131113767624,0.19104894995689392,0.21300287544727325,0.20525942742824554,0.19901056587696075,0.21300287544727325,0.2106545865535736,0.1885536164045334
are,0.24188680946826935,0.48576638102531433,0.18112362921237946,1.0,0.4594642221927643,0.5214043259620667,0.39081433415412903,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.2541031241416931,0.24591213464736938
the,0.43061500787734985,0.5171257257461548,0.24495907127857208,0.40399202704429626,0.4931981563568115,0.30092597007751465,0.733189046382904,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2305259257555008,0.22068053483963013
most,0.35173171758651733,0.4309377074241638,0.11876187473535538,0.48698675632476807,0.4521110951900482,0.412721186876297,0.4178851246833801,0.3219912350177765,0.24228660762310028,0.4178851246833801,0.20372964441776276,0.2107497900724411
well-known,0.30619189143180847,0.4119621515274048,0.12682095170021057,0.2234591394662857,0.3351614773273468,0.1994018852710724,0.3684920072555542,0.19213207066059113,0.11844748258590698,0.3684920072555542,0.24501191079616547,0.2076386660337448
complexity,0.2680857479572296,0.2520415782928467,0.2585889995098114,0.27680158615112305,0.25148719549179077,0.3772682845592499,0.23338180780410767,0.33747240900993347,0.20110034942626953,0.23338180780410767,0.29355037212371826,0.23062916100025177
resources,0.27837085723876953,0.3116118013858795,0.19738270342350006,0.30372336506843567,0.28553980588912964,0.2761645019054413,0.2746381163597107,0.24701403081417084,0.09185263514518738,0.2746381163597107,0.8632234334945679,0.26047492027282715
",",0.3029961884021759,0.6633074283599854,0.2285580337047577,0.4062570035457611,0.38080528378486633,0.2687304615974426,0.4946078956127167,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2016548067331314,0.31091248989105225
any,0.3699842095375061,0.3363793194293976,0.29608210921287537,0.40178635716438293,0.37688809633255005,0.36134782433509827,0.3769088089466095,0.43670421838760376,0.27895575761795044,0.3769088089466095,0.29942628741264343,0.4113408327102661
complexity,0.2680857479572296,0.2520415782928467,0.2585889995098114,0.27680158615112305,0.25148719549179077,0.3772682845592499,0.23338180780410767,0.33747240900993347,0.20110034942626953,0.23338180780410767,0.29355037212371826,0.23062916100025177
measure,0.23244519531726837,0.23739957809448242,0.18054817616939545,0.28366684913635254,0.2056407779455185,0.2251734435558319,0.22469913959503174,0.2807709276676178,0.19066864252090454,0.22469913959503174,0.216732919216156,0.22092340886592865
can,0.2720869183540344,0.3675691485404968,0.2952559292316437,0.5408529043197632,0.33175474405288696,0.41581568121910095,0.2603091299533844,0.34502777457237244,0.33094167709350586,0.2603091299533844,0.32710689306259155,0.3226337134838104
be,0.3473503291606903,0.41766801476478577,0.21281394362449646,0.5556803941726685,0.37506237626075745,0.3655191957950592,0.33904364705085754,0.3929833769798279,0.25716274976730347,0.33904364705085754,0.3006899058818817,0.3324260413646698
viewed,0.13787110149860382,0.19539690017700195,0.19071224331855774,0.17731130123138428,0.2059403359889984,0.17066089808940887,0.27454227209091187,0.2938295900821686,0.13005657494068146,0.27454227209091187,0.21362221240997314,0.19983090460300446
as,0.3239102065563202,0.49487000703811646,0.1954064816236496,0.3826591968536377,0.42436254024505615,0.325487345457077,0.3886612355709076,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.22894562780857086,0.27043893933296204
a,0.3292340338230133,0.3739250600337982,0.20296213030815125,0.265255331993103,0.3171786069869995,0.2633219361305237,0.5052502155303955,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2206394225358963,0.23916715383529663
computational,0.25503867864608765,0.28914058208465576,0.3148576319217682,0.2675340473651886,0.2505185306072235,0.31327322125434875,0.2832651138305664,0.29464593529701233,0.23533707857131958,0.2832651138305664,0.36342814564704895,0.21617397665977478
resource,0.24254600703716278,0.26207050681114197,0.2106545865535736,0.2541031241416931,0.22542618215084076,0.23217104375362396,0.23272927105426788,0.22875596582889557,0.13622310757637024,0.23272927105426788,1.0000001192092896,0.28215932846069336
.,0.371569961309433,0.588965117931366,0.2385488897562027,0.3452940285205841,0.42281273007392883,0.28905922174453735,0.5352458953857422,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2455640733242035,0.4130953550338745
