,which,group,of,ctenophore,are,are,hardest,to,study,?
coastal,0.26179441809654236,0.1423623263835907,0.29121753573417664,0.2582913637161255,0.24362002313137054,0.24362002313137054,0.1711958944797516,0.18494710326194763,0.207892507314682,0.13777320086956024
species,0.2846525013446808,0.20361487567424774,0.23307405412197113,0.562263011932373,0.3297041952610016,0.3297041952610016,0.17665322124958038,0.2193736732006073,0.19973009824752808,0.1957087516784668
need,0.3459008038043976,0.19744956493377686,0.24285943806171417,0.28797200322151184,0.46199482679367065,0.46199482679367065,0.25542837381362915,0.42094892263412476,0.17442789673805237,0.40413710474967957
to,0.5345056653022766,0.2672896385192871,0.41548454761505127,0.19780312478542328,0.3504326641559601,0.3504326641559601,0.31785935163497925,1.0,0.3326032757759094,0.29463258385658264
be,0.476310670375824,0.21518005430698395,0.33904364705085754,0.2382497787475586,0.5556803941726685,0.5556803941726685,0.24873636662960052,0.4972836375236511,0.23262172937393188,0.3324260413646698
tough,0.27881574630737305,0.0457351952791214,0.18124644458293915,0.25687989592552185,0.2868400514125824,0.2868400514125824,0.2631288766860962,0.2457127571105957,0.10018497705459595,0.16948486864566803
enough,0.3905327022075653,0.16948629915714264,0.21740707755088806,0.22404123842716217,0.30786940455436707,0.30786940455436707,0.28034430742263794,0.43150144815444946,0.14722390472888947,0.3526461720466614
to,0.5345056653022766,0.2672896385192871,0.41548454761505127,0.19780312478542328,0.3504326641559601,0.3504326641559601,0.31785935163497925,1.0,0.3326032757759094,0.29463258385658264
withstand,0.3595770001411438,0.14954470098018646,0.26373398303985596,0.3518942892551422,0.3342936635017395,0.3342936635017395,0.23536038398742676,0.30442631244659424,0.13023322820663452,0.19654712080955505
waves,0.2945946753025055,0.07989256083965302,0.22565768659114838,0.27571162581443787,0.191071018576622,0.191071018576622,0.16748873889446259,0.2522522211074829,0.22741016745567322,0.1603909134864807
and,0.506277859210968,0.3510662019252777,0.5116966962814331,0.19002923369407654,0.48576638102531433,0.48576638102531433,0.28122833371162415,0.48971283435821533,0.300253301858902,0.20544172823429108
swirling,0.329089492559433,0.12050116062164307,0.2521805465221405,0.2799525558948517,0.22163772583007812,0.22163772583007812,0.1659594178199768,0.22133521735668182,0.13828036189079285,0.12941749393939972
sediment,0.29672715067863464,0.15447832643985748,0.2534373998641968,0.39907750487327576,0.2055806815624237,0.2055806815624237,0.23087236285209656,0.19675683975219727,0.23745393753051758,0.14870919287204742
particles,0.3733329474925995,0.22049927711486816,0.2280140221118927,0.4007266163825989,0.34996259212493896,0.34996259212493896,0.243809312582016,0.25014081597328186,0.2760768532752991,0.22255320847034454
",",0.3658004403114319,0.2809832692146301,0.4946078956127167,0.18335451185703278,0.4062570035457611,0.4062570035457611,0.2620904743671417,0.44245919585227966,0.26425549387931824,0.31091248989105225
while,0.38669952750205994,0.22896799445152283,0.3366928696632385,0.14021971821784973,0.34230953454971313,0.34230953454971313,0.27021655440330505,0.43899232149124146,0.18174365162849426,0.21076419949531555
some,0.5407140851020813,0.34515711665153503,0.4300730526447296,0.34533166885375977,0.6331475377082825,0.6331475377082825,0.3015636205673218,0.4636894166469574,0.3369596600532532,0.2562315762042999
oceanic,0.24667339026927948,0.20195195078849792,0.254686176776886,0.31180647015571594,0.2549397349357605,0.2549397349357605,0.13565248250961304,0.21392962336540222,0.21707235276699066,0.12940600514411926
species,0.2846525013446808,0.20361487567424774,0.23307405412197113,0.562263011932373,0.3297041952610016,0.3297041952610016,0.17665322124958038,0.2193736732006073,0.19973009824752808,0.1957087516784668
are,0.42922598123550415,0.35980498790740967,0.39081433415412903,0.30906161665916443,1.0,1.0,0.27400338649749756,0.3504326641559601,0.22810009121894836,0.24591213464736938
so,0.5582591891288757,0.2386654019355774,0.3184450566768646,0.2548186480998993,0.420413613319397,0.420413613319397,0.3339118957519531,0.5091881155967712,0.17933933436870575,0.43163934350013733
fragile,0.32940807938575745,0.1168566569685936,0.21541516482830048,0.35098615288734436,0.28083693981170654,0.28083693981170654,0.2778456509113312,0.2350604236125946,0.1862037479877472,0.160326287150383
that,0.6894589066505432,0.3089635670185089,0.41498205065727234,0.28476929664611816,0.45265161991119385,0.45265161991119385,0.27746281027793884,0.5436353087425232,0.31241273880004883,0.32716336846351624
it,0.616637647151947,0.2364906221628189,0.38761502504348755,0.20204877853393555,0.3617996573448181,0.3617996573448181,0.3048350512981415,0.513711154460907,0.2164122611284256,0.25732165575027466
is,0.4457404911518097,0.22153858840465546,0.4854315221309662,0.23042532801628113,0.5330929756164551,0.5330929756164551,0.3021050691604614,0.42745086550712585,0.20457550883293152,0.22961433231830597
very,0.46625974774360657,0.1769515872001648,0.34437474608421326,0.2514359652996063,0.41714969277381897,0.41714969277381897,0.37782230973243713,0.3902553617954254,0.2346736341714859,0.20864155888557434
difficult,0.37809062004089355,0.11206205189228058,0.2539307773113251,0.22378623485565186,0.3366478681564331,0.3366478681564331,0.5217626094818115,0.4417358338832855,0.23603390157222748,0.20408590137958527
to,0.5345056653022766,0.2672896385192871,0.41548454761505127,0.19780312478542328,0.3504326641559601,0.3504326641559601,0.31785935163497925,1.0,0.3326032757759094,0.29463258385658264
capture,0.2437230795621872,0.20491750538349152,0.28606823086738586,0.2512902021408081,0.17015503346920013,0.17015503346920013,0.18785999715328217,0.30964332818984985,0.2061416655778885,0.12945853173732758
them,0.4958057701587677,0.30544283986091614,0.34503093361854553,0.2563110589981079,0.5206625461578369,0.5206625461578369,0.3357374966144562,0.5916602611541748,0.20211268961429596,0.35435691475868225
intact,0.39925724267959595,0.16127817332744598,0.3116806447505951,0.2895033657550812,0.26374176144599915,0.26374176144599915,0.1887509822845459,0.2669530212879181,0.19758178293704987,0.1481182724237442
for,0.44095608592033386,0.24519909918308258,0.4185989499092102,0.1643882542848587,0.3895993232727051,0.3895993232727051,0.2619372010231018,0.4451248347759247,0.18700449168682098,0.264628142118454
study,0.29003599286079407,0.28618448972702026,0.29377859830856323,0.2846827507019043,0.22810009121894836,0.22810009121894836,0.15232345461845398,0.3326032757759094,1.0,0.15902167558670044
.,0.45942068099975586,0.27268800139427185,0.5352458953857422,0.2398306131362915,0.3452940285205841,0.3452940285205841,0.2662787437438965,0.4645031690597534,0.23432257771492004,0.4130953550338745
,which,group,of,ctenophore,are,are,hardest,to,study,?
in,0.4840516746044159,0.2304753065109253,0.5696388483047485,0.1891518235206604,0.3841303884983063,0.3841303884983063,0.2802596986293793,0.45010748505592346,0.2875489294528961,0.20430970191955566
addition,0.38366198539733887,0.2985500991344452,0.27503931522369385,0.23626726865768433,0.37216028571128845,0.37216028571128845,0.1918736845254898,0.29394859075546265,0.16098102927207947,0.19187232851982117
oceanic,0.24667339026927948,0.20195195078849792,0.254686176776886,0.31180647015571594,0.2549397349357605,0.2549397349357605,0.13565248250961304,0.21392962336540222,0.21707235276699066,0.12940600514411926
