,what,is,the,primary,purpose,of,chloroplasts,?
chloroplasts,0.2524593770503998,0.22550933063030243,0.23062430322170258,0.27425846457481384,0.2387133091688156,0.23179760575294495,0.9999999403953552,0.13049766421318054
',0.3245812654495239,0.5508411526679993,0.474788099527359,0.14540524780750275,0.15488703548908234,0.39136970043182373,0.0804409459233284,0.330942302942276
main,0.2344268560409546,0.3009335994720459,0.38631999492645264,0.42449983954429626,0.3013887405395508,0.3177044689655304,0.14365117251873016,0.1665669083595276
role,0.22614215314388275,0.20847192406654358,0.26607486605644226,0.10765475034713745,0.16910608112812042,0.1797693818807602,0.146297886967659,0.18676944077014923
is,0.28837618231773376,1.0,0.5823672413825989,0.23824772238731384,0.25441038608551025,0.4854315221309662,0.22550933063030243,0.22961433231830597
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27388349175453186,0.38124558329582214,0.41548454761505127,0.23370109498500824,0.29463258385658264
conduct,0.2088276445865631,0.1898777037858963,0.24627962708473206,0.11558953672647476,0.23480454087257385,0.22399970889091492,0.25441235303878784,0.10856030136346817
photosynthesis,0.261831134557724,0.22769613564014435,0.27159422636032104,0.22293449938297272,0.22569449245929718,0.26824626326560974,0.7245578765869141,0.1871609091758728
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2565748989582062,0.21281862258911133,0.4946078956127167,0.20794041454792023,0.31091248989105225
where,0.4457937180995941,0.3586711287498474,0.5003893971443176,0.24752047657966614,0.3091109097003937,0.38066378235816956,0.22257623076438904,0.24793872237205505
the,0.42745697498321533,0.5823672413825989,1.0,0.25688621401786804,0.3061215281486511,0.733189046382904,0.23062430322170258,0.22068053483963013
photosynthetic,0.20943596959114075,0.2358730435371399,0.24047884345054626,0.22569048404693604,0.26832079887390137,0.23934365808963776,0.7179837822914124,0.15254013240337372
pigment,0.24283429980278015,0.2555147111415863,0.21162569522857666,0.3275452256202698,0.26759493350982666,0.19316300749778748,0.600128710269928,0.17858020961284637
chlorophyll,0.23408083617687225,0.2015603631734848,0.20174691081047058,0.23881283402442932,0.15371288359165192,0.19086609780788422,0.8413407206535339,0.1099696233868599
captures,0.1314621865749359,0.19869258999824524,0.29211777448654175,0.10997894406318665,0.13783369958400726,0.2764648199081421,0.19895759224891663,0.11506674438714981
the,0.42745697498321533,0.5823672413825989,1.0,0.25688621401786804,0.3061215281486511,0.733189046382904,0.23062430322170258,0.22068053483963013
energy,0.190252885222435,0.2171693742275238,0.26756542921066284,0.1901910901069641,0.22045648097991943,0.26257598400115967,0.3781890571117401,0.14860127866268158
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.22633430361747742,0.2079712450504303,0.4249346852302551,0.21740731596946716,0.19969791173934937
sunlight,0.21599051356315613,0.23021580278873444,0.24547719955444336,0.20300538837909698,0.20431318879127502,0.19953370094299316,0.5073264241218567,0.17698515951633453
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2539214491844177,0.2336888313293457,0.5116966962814331,0.21511349081993103,0.20544172823429108
converts,0.165298193693161,0.2698267996311188,0.25209102034568787,0.1863323450088501,0.2174137681722641,0.2327413707971573,0.2678822875022888,0.17552533745765686
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.1961379051208496,0.30494722723960876,0.38761502504348755,0.24210065603256226,0.25732165575027466
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2539214491844177,0.2336888313293457,0.5116966962814331,0.21511349081993103,0.20544172823429108
stores,0.14613831043243408,0.21182715892791748,0.27271583676338196,0.1529400795698166,0.1459341198205948,0.21750995516777039,0.2567896842956543,0.1341363787651062
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.1961379051208496,0.30494722723960876,0.38761502504348755,0.24210065603256226,0.25732165575027466
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.21150650084018707,0.2706536650657654,0.5696388483047485,0.21141497790813446,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.25688621401786804,0.3061215281486511,0.733189046382904,0.23062430322170258,0.22068053483963013
energy-storage,0.2571618854999542,0.3077593445777893,0.33764538168907166,0.2785652279853821,0.3248237073421478,0.3254244327545166,0.4894438683986664,0.19562189280986786
molecules,0.2143162339925766,0.20481984317302704,0.2374771386384964,0.1443893015384674,0.23808947205543518,0.24428431689739227,0.6201399564743042,0.17409995198249817
atp,0.1845729500055313,0.1572589874267578,0.22016242146492004,0.22045442461967468,0.13153362274169922,0.209827721118927,0.4773290455341339,0.17643076181411743
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2539214491844177,0.2336888313293457,0.5116966962814331,0.21511349081993103,0.20544172823429108
nadph,0.25227585434913635,0.23858213424682617,0.2658582925796509,0.2693900167942047,0.17168974876403809,0.23928865790367126,0.5773351788520813,0.20744888484477997
while,0.35511791706085205,0.2713196575641632,0.39804592728614807,0.1894138604402542,0.30874115228652954,0.3366928696632385,0.23798267543315887,0.21076419949531555
freeing,0.28302088379859924,0.14462719857692719,0.23575860261917114,0.12270215898752213,0.2879897952079773,0.2256527841091156,0.2229457050561905,0.16226035356521606
oxygen,0.16781960427761078,0.21825239062309265,0.20428593456745148,0.1342131793498993,0.14631736278533936,0.16848602890968323,0.5239399671554565,0.16786395013332367
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.22633430361747742,0.2079712450504303,0.4249346852302551,0.21740731596946716,0.19969791173934937
water,0.17456887662410736,0.2879090905189514,0.297396719455719,0.1462029367685318,0.1431504487991333,0.2741255462169647,0.37234336137771606,0.14731885492801666
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.22422198951244354,0.22145536541938782,0.5352458953857422,0.23868323862552643,0.4130953550338745
