,what,is,the,section,of,the,rhine,gorge,recognized,by,unesco,called,?
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.3210811913013458,0.38761502504348755,0.6251175999641418,0.17693428695201874,0.21226251125335693,0.26686543226242065,0.40926623344421387,0.23878426849842072,0.3402029573917389,0.25732165575027466
is,0.28837618231773376,1.0,0.5823672413825989,0.22237545251846313,0.4854315221309662,0.5823672413825989,0.15617261826992035,0.189615860581398,0.23847106099128723,0.3899846076965332,0.23874256014823914,0.430266410112381,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.29094603657722473,0.5052502155303955,0.5829201340675354,0.1823403388261795,0.1566632091999054,0.2292279750108719,0.32094135880470276,0.20593369007110596,0.4868806302547455,0.23916715383529663
unesco,0.17921961843967438,0.23874256014823914,0.25264760851860046,0.1585010141134262,0.29322442412376404,0.25264760851860046,0.20972590148448944,0.3166391849517822,0.25336772203445435,0.24008004367351532,0.9999998807907104,0.11949633061885834,0.1657659411430359
world,0.21669597923755646,0.24458536505699158,0.33604270219802856,0.160862535238266,0.2828933000564575,0.33604270219802856,0.2036331444978714,0.23058409988880157,0.2968224883079529,0.22306372225284576,0.37630459666252136,0.20947866141796112,0.17579582333564758
heritage,0.1899084597826004,0.22056351602077484,0.25149020552635193,0.16066884994506836,0.2737451195716858,0.25149020552635193,0.10240890830755234,0.30820247530937195,0.24085733294487,0.1953253597021103,0.7082235217094421,0.15424580872058868,0.17516329884529114
site,0.21561308205127716,0.2314486801624298,0.288954496383667,0.2018376737833023,0.24291633069515228,0.288954496383667,0.12275111675262451,0.2515236735343933,0.14462195336818695,0.16451333463191986,0.4575670063495636,0.20379231870174408,0.2014765441417694
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.22324657440185547,0.35032153129577637,0.33289089798927307,0.12381801009178162,0.11367235332727432,0.151199072599411,0.20696312189102173,0.08417157083749771,0.2546432614326477,0.40561532974243164
2002,0.02542238123714924,-0.07399970293045044,-0.07970229536294937,-0.044807981699705124,-0.05071645230054855,-0.07970229536294937,-0.20739436149597168,-0.13052153587341309,-0.09083478152751923,-0.02366175502538681,-0.14249996840953827,-0.07409925013780594,0.045828185975551605
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.23834258317947388,0.3680361211299896,0.3456730246543884,0.12686386704444885,0.11608566343784332,0.15637043118476868,0.2151763141155243,0.09768897294998169,0.273923397064209,0.42300865054130554
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.262373685836792,0.5116966962814331,0.5171257257461548,0.22029656171798706,0.2490140050649643,0.2502152621746063,0.4289871156215668,0.16586163640022278,0.3251761794090271,0.20544172823429108
known,0.20381177961826324,0.41921812295913696,0.3624623417854309,0.10096953809261322,0.35814476013183594,0.3624623417854309,0.12647588551044464,0.11578381061553955,0.4152522385120392,0.24461808800697327,0.1565370410680771,0.4469456970691681,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.21584227681159973,0.3886612355709076,0.48381632566452026,0.18380387127399445,0.14137139916419983,0.3368684649467468,0.3815547823905945,0.19105775654315948,0.2827680706977844,0.27043893933296204
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.025536540895700455,0.06780257821083069,0.029072100296616554,0.031863048672676086,-0.0837431252002716,0.03911124914884567,-0.030704375356435776,-0.05519234389066696,0.00907047651708126,0.0685480609536171
the,0.42745697498321533,0.5823672413825989,1.0,0.3365345895290375,0.733189046382904,1.0,0.30735138058662415,0.26357370615005493,0.31571096181869507,0.4408751428127289,0.25264760851860046,0.489897221326828,0.22068053483963013
romantic,0.18244904279708862,0.23933249711990356,0.1887708157300949,0.12999369204044342,0.1681654155254364,0.1887708157300949,0.20214402675628662,0.18018293380737305,0.1413320153951645,0.22565773129463196,0.19899015128612518,0.19421948492527008,0.18214409053325653
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.15145494043827057,0.2548927664756775,0.30735138058662415,1.0,0.25667303800582886,0.08821921050548553,0.18456800282001495,0.20972590148448944,0.14562174677848816,0.13754533231258392
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.026156937703490257,0.13035868108272552,0.041273195296525955,-0.003653771709650755,-0.01336146891117096,-0.012082072906196117,-0.010275691747665405,0.03269752860069275,0.021102847531437874,0.018684765323996544
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2615945339202881,0.4946078956127167,0.4933079481124878,0.167837992310524,0.22401252388954163,0.2936757206916809,0.3680937886238098,0.13698846101760864,0.26549121737480164,0.31091248989105225
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.18969540297985077,0.41827285289764404,0.4223487675189972,0.18184249103069305,0.20717817544937134,0.201495960354805,0.39731505513191223,0.11400020867586136,0.3139074146747589,0.2433311939239502
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.23487338423728943,0.30478984117507935,0.39758381247520447,0.14227862656116486,0.18230965733528137,0.20723456144332886,0.2627272307872772,0.07506100088357925,0.26791808009147644,0.27894994616508484
than,0.29388150572776794,0.2839990258216858,0.3227543234825134,0.18126970529556274,0.33036211133003235,0.3227543234825134,0.15938840806484222,0.13456390798091888,0.1745646446943283,0.2015816867351532,0.11204766482114792,0.23151835799217224,0.24917294085025787
40,-0.05768606811761856,0.020139267668128014,-0.09923846274614334,-0.033794160932302475,-0.03308193385601044,-0.09923846274614334,-0.07853029668331146,-0.056834205985069275,0.07342839241027832,-0.052457746118307114,-0.07716585695743561,0.0323832742869854,0.010195288807153702
castles,0.15941859781742096,0.2336672991514206,0.31752192974090576,0.09128919243812561,0.3039475083351135,0.31752192974090576,0.32023119926452637,0.30807843804359436,0.1615728735923767,0.18466158211231232,0.2771480977535248,0.2615104913711548,0.08299993723630905
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.262373685836792,0.5116966962814331,0.5171257257461548,0.22029656171798706,0.2490140050649643,0.2502152621746063,0.4289871156215668,0.16586163640022278,0.3251761794090271,0.20544172823429108
fortresses,0.17342022061347961,0.23471447825431824,0.3074028789997101,0.09058338403701782,0.2757159471511841,0.3074028789997101,0.2892168462276459,0.2887780964374542,0.1776914894580841,0.205463245511055,0.3095359802246094,0.2565995454788208,0.08810276538133621
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.19169776141643524,0.4249346852302551,0.40150508284568787,0.2181936800479889,0.19413644075393677,0.2165275514125824,0.3373257517814636,0.1568840742111206,0.2703215777873993,0.19969791173934937
the,0.42745697498321533,0.5823672413825989,1.0,0.3365345895290375,0.733189046382904,1.0,0.30735138058662415,0.26357370615005493,0.31571096181869507,0.4408751428127289,0.25264760851860046,0.489897221326828,0.22068053483963013
middle,0.18312302231788635,0.21621397137641907,0.3405749201774597,0.16200795769691467,0.2799445688724518,0.3405749201774597,0.23721498250961304,0.13838762044906616,0.0849275216460228,0.18733404576778412,0.09827391058206558,0.22726550698280334,0.13139553368091583
ages,0.2546566128730774,0.18691010773181915,0.28271523118019104,0.12765081226825714,0.27638155221939087,0.28271523118019104,0.2351304441690445,0.18653230369091034,0.08352471143007278,0.18184182047843933,0.14029063284397125,0.19975435733795166,0.16701677441596985
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.262373685836792,0.5116966962814331,0.5171257257461548,0.22029656171798706,0.2490140050649643,0.2502152621746063,0.4289871156215668,0.16586163640022278,0.3251761794090271,0.20544172823429108
many,0.36131182312965393,0.2649032473564148,0.4335206151008606,0.19765910506248474,0.37253960967063904,0.4335206151008606,0.11647748202085495,0.2525760531425476,0.2678464949131012,0.3409687578678131,0.20558412373065948,0.3552800714969635,0.2124512493610382
