,what,years,did,the,original,doctor,who,series,run,?
the,0.42745697498321533,0.2912273406982422,0.34736719727516174,1.0,0.4037000238895416,0.2820442318916321,0.3733934462070465,0.31376904249191284,0.27883726358413696,0.22068053483963013
2005,0.0704459398984909,0.12364557385444641,0.11135691404342651,0.037273142486810684,0.04479610547423363,0.07635467499494553,0.18423187732696533,0.04714697599411011,-0.005559354554861784,0.10709824413061142
version,0.20755547285079956,0.13264881074428558,0.21677692234516144,0.27268242835998535,0.3942320942878723,0.16003715991973877,0.17217524349689484,0.2539559602737427,0.1708555519580841,0.2573966085910797
of,0.33290785551071167,0.2904134690761566,0.2513895630836487,0.733189046382904,0.30228546261787415,0.16895952820777893,0.2827862501144409,0.22268271446228027,0.2272813767194748,0.1826142966747284
doctor,0.20870667695999146,0.1280619502067566,0.18673314154148102,0.2820442318916321,0.13737785816192627,0.9999999403953552,0.3504868149757385,0.2712797522544861,0.1929945945739746,0.1462511420249939
who,0.40942975878715515,0.29867154359817505,0.34038686752319336,0.3733934462070465,0.1785319596529007,0.3504868149757385,0.9999998807907104,0.21484537422657013,0.2372417002916336,0.26220351457595825
is,0.28837618231773376,0.19551363587379456,0.19247472286224365,0.5823672413825989,0.2681281864643097,0.19875872135162354,0.24293622374534607,0.20355552434921265,0.20717166364192963,0.22961433231830597
a,0.3320399522781372,0.23773819208145142,0.2552328109741211,0.5829201340675354,0.25438275933265686,0.22883038222789764,0.36608949303627014,0.23966510593891144,0.2607046067714691,0.23916715383529663
direct,0.26271191239356995,0.2034175544977188,0.25516921281814575,0.3262479901313782,0.27663832902908325,0.09381206333637238,0.20854562520980835,0.20809897780418396,0.19872504472732544,0.18476411700248718
plot,0.27055343985557556,0.07278496772050858,0.23225662112236023,0.22070206701755524,0.1459076851606369,0.1478414535522461,0.20069892704486847,0.2674110233783722,0.11910903453826904,0.1946352869272232
continuation,0.30185413360595703,0.24833399057388306,0.2656138241291046,0.41826045513153076,0.2658684551715851,0.18086256086826324,0.16539721190929413,0.3341316282749176,0.25634369254112244,0.14227430522441864
of,0.33290785551071167,0.2904134690761566,0.2513895630836487,0.733189046382904,0.30228546261787415,0.16895952820777893,0.2827862501144409,0.22268271446228027,0.2272813767194748,0.1826142966747284
the,0.42745697498321533,0.2912273406982422,0.34736719727516174,1.0,0.4037000238895416,0.2820442318916321,0.3733934462070465,0.31376904249191284,0.27883726358413696,0.22068053483963013
original,0.24651947617530823,0.18963107466697693,0.2664784789085388,0.4037000238895416,1.0,0.13737785816192627,0.1785319596529007,0.25316357612609863,0.16820456087589264,0.17256900668144226
1963–1989,-0.19746999442577362,0.051687031984329224,-0.0361730232834816,0.08282152563333511,-0.1055038720369339,0.0077168140560388565,-0.028495904058218002,-0.008346856571733952,-0.07256318628787994,-0.2186838984489441
series,0.17328087985515594,0.23415371775627136,0.15581852197647095,0.31376904249191284,0.25316357612609863,0.2712797522544861,0.21484537422657013,1.0000001192092896,0.22343173623085022,0.1709602326154709
[,0.010752761736512184,0.11653686314821243,0.030549485236406326,0.07130392640829086,0.0949566438794136,0.09639045596122742,0.011881873942911625,0.19555062055587769,0.10521356761455536,0.011015460826456547
note,0.2500276267528534,0.12367862462997437,0.2020123302936554,0.255229115486145,0.17953412234783173,0.16248038411140442,0.208273783326149,0.22806404531002045,0.14919458329677582,0.2754004895687103
2,-0.049862053245306015,-0.0660775750875473,-0.044790901243686676,-0.019434669986367226,0.041744403541088104,0.03075770102441311,-0.0748172402381897,0.005733609665185213,0.02619633451104164,0.001977203879505396
],-0.03775298595428467,0.04242503270506859,0.024806415662169456,-0.04779602214694023,-0.04115336015820503,-0.048316486179828644,0.03976386412978172,0.053967639803886414,-0.0777462050318718,-0.0022520492784678936
and,0.31309178471565247,0.300204873085022,0.34479495882987976,0.5171257257461548,0.29575109481811523,0.21673844754695892,0.41279885172843933,0.26972857117652893,0.2711782455444336,0.20544172823429108
the,0.42745697498321533,0.2912273406982422,0.34736719727516174,1.0,0.4037000238895416,0.2820442318916321,0.3733934462070465,0.31376904249191284,0.27883726358413696,0.22068053483963013
1996,0.1822642683982849,0.07034331560134888,0.24150575697422028,0.10029517859220505,-0.05697289854288101,0.09654296189546585,0.23735210299491882,-0.046766553074121475,0.018686313182115555,0.18022380769252777
telefilm,0.1988658457994461,0.16544775664806366,0.16538266837596893,0.23906278610229492,0.23924030363559723,0.2555907666683197,0.1700359284877777,0.3597242832183838,0.13881732523441315,0.17530423402786255
.,0.3567904531955719,0.31919315457344055,0.35288307070732117,0.5934505462646484,0.275844931602478,0.22361043095588684,0.3541337847709656,0.3121925890445709,0.2739698588848114,0.4130953550338745
