,what,did,he,think,was,everywhere,in,the,universe,?
he,0.3114890456199646,0.3292143940925598,1.0000001192092896,0.26572662591934204,0.5410010814666748,0.26102855801582336,0.41690486669540405,0.4571082592010498,0.2048577070236206,0.2089974731206894
was,0.22111038863658905,0.41399896144866943,0.5410010814666748,0.245719313621521,1.0000001192092896,0.13871802389621735,0.45514053106307983,0.48711544275283813,0.2177332639694214,0.18412111699581146
a,0.3320399522781372,0.2552328109741211,0.4393508732318878,0.35850703716278076,0.4508470594882965,0.18334101140499115,0.539380669593811,0.5829201340675354,0.16387277841567993,0.23916715383529663
believer,0.3753257989883423,0.36132752895355225,0.3191232681274414,0.5245118141174316,0.26173272728919983,0.2933759093284607,0.1985817402601242,0.25587600469589233,0.2996797561645508,0.2449558973312378
in,0.30808621644973755,0.2593238651752472,0.41690486669540405,0.23837615549564362,0.45514053106307983,0.2854079604148865,1.0,0.6662389636039734,0.18757644295692444,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,0.4571082592010498,0.3102172613143921,0.48711544275283813,0.29634544253349304,0.6662389636039734,1.0,0.23688684403896332,0.22068053483963013
19th,0.11525199562311172,0.11936882883310318,0.16511937975883484,0.10721665620803833,0.24231374263763428,0.09881740808486938,0.15408828854560852,0.24964287877082825,0.22186805307865143,0.004712673369795084
century,0.20422613620758057,0.2333737462759018,0.24624104797840118,0.2363065481185913,0.3521432876586914,0.12214995920658112,0.3174034655094147,0.3617299497127533,0.23083223402500153,0.1026201918721199
concept,0.28724339604377747,0.2316831350326538,0.18461892008781433,0.35210487246513367,0.2765439450740814,0.2609124779701233,0.21857000887393951,0.2355310022830963,0.3547285199165344,0.17160645127296448
of,0.33290785551071167,0.2513895630836487,0.38706058263778687,0.2625778615474701,0.4069072902202606,0.19967971742153168,0.5696388483047485,0.733189046382904,0.2241278737783432,0.1826142966747284
an,0.2821882665157318,0.22598257660865784,0.281929612159729,0.23962432146072388,0.3694365322589874,0.11659576743841171,0.2605783939361572,0.4207492768764496,0.134958416223526,0.19793890416622162
all,0.41981086134910583,0.33943864703178406,0.31727755069732666,0.4156843423843384,0.23179835081100464,0.46065908670425415,0.3335905969142914,0.4860881567001343,0.28807172179222107,0.29575422406196594
pervasive,0.27318862080574036,0.13873009383678436,0.21309083700180054,0.33303123712539673,0.17013554275035858,0.17255908250808716,0.24760353565216064,0.21706761419773102,0.2392374575138092,0.20040440559387207
``,0.008517155423760414,-0.029888948425650597,0.05585138872265816,0.021398255601525307,-0.012679691426455975,-0.04794550687074661,0.04765888676047325,0.029072100296616554,0.01263609528541565,0.0685480609536171
ether,0.28656452894210815,0.2184554934501648,0.11415695399045944,0.23704037070274353,0.1248258426785469,0.23954631388187408,0.21085920929908752,0.15837442874908447,0.24905668199062347,0.17340467870235443
'',0.08143015950918198,0.01978493109345436,0.039060186594724655,0.03370605781674385,0.04456103965640068,-0.025662073865532875,0.07432962208986282,0.041273195296525955,0.06926599144935608,0.018684765323996544
that,0.6297725439071655,0.47518548369407654,0.36068853735923767,0.5798900723457336,0.33670201897621155,0.3918887972831726,0.435920387506485,0.5473989248275757,0.2718609571456909,0.32716336846351624
transmitted,0.1978447586297989,0.14472626149654388,0.1356925070285797,0.2179044485092163,0.1705045998096466,0.21867206692695618,0.1705920398235321,0.2535918653011322,0.19630542397499084,0.15801244974136353
electrical,0.19961315393447876,0.12294142693281174,0.20249535143375397,0.18496868014335632,0.2032313495874405,0.17966189980506897,0.2146623730659485,0.2523402273654938,0.2012479305267334,0.10923371464014053
energy,0.190252885222435,0.14123573899269104,0.19338715076446533,0.20547693967819214,0.15364649891853333,0.2322799116373062,0.17693158984184265,0.26756542921066284,0.30199795961380005,0.14860127866268158
.,0.3567904531955719,0.35288307070732117,0.38061028718948364,0.31119775772094727,0.40146201848983765,0.3047524392604828,0.5591574311256409,0.5934505462646484,0.2225492149591446,0.4130953550338745
