,what,was,the,name,of,the,2010,christmas,special,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.2692960798740387,0.17820265889167786,0.2897285223007202,0.20430970191955566
february,0.1913013905286789,0.446986585855484,0.26483774185180664,0.16029569506645203,0.20366249978542328,0.26483774185180664,0.13249562680721283,0.19349290430545807,0.11144300550222397,0.29594847559928894
2011,0.04286744073033333,-0.022202642634510994,0.07811610400676727,-0.05647004023194313,0.09709474444389343,0.07811610400676727,-0.012720898725092411,-0.09747979789972305,0.1166597530245781,0.005212190095335245
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.24006164073944092,0.2420792281627655,0.23880577087402344,0.31091248989105225
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.18140065670013428,0.18815474212169647,0.31333932280540466,0.23916715383529663
soundtrack,0.22465209662914276,0.24427053332328796,0.2600078582763672,0.229026660323143,0.20855070650577545,0.2600078582763672,0.0972563698887825,0.30621054768562317,0.14994095265865326,0.19783036410808563
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.2646567225456238,0.4069072902202606,0.48711544275283813,0.23825319111347198,0.16941027343273163,0.1585642695426941,0.18412111699581146
released,0.20228935778141022,0.32720035314559937,0.24578391015529633,0.16281646490097046,0.17721395194530487,0.24578391015529633,0.008573140017688274,0.24254442751407623,0.19553512334823608,0.20329579710960388
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.25737348198890686,0.4185989499092102,0.4739971458911896,0.15196888148784637,0.14492979645729065,0.311454176902771,0.264628142118454
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.31722962856292725,0.2044597715139389,0.3027077615261078,0.22068053483963013
2010,0.2741409242153168,0.23825319111347198,0.31722962856292725,0.1646898239850998,0.26419875025749207,0.31722962856292725,1.0000001192092896,0.11616573482751846,0.13148009777069092,0.21232788264751434
christmas,0.2578675448894501,0.16941027343273163,0.2044597715139389,0.11770049482584,0.14198152720928192,0.2044597715139389,0.11616573482751846,1.0,0.3012330234050751,0.23817040026187897
special,0.24134232103824615,0.1585642695426941,0.3027077615261078,0.11142970621585846,0.27998968958854675,0.3027077615261078,0.13148009777069092,0.3012330234050751,1.0000001192092896,0.29623302817344666
:,-0.12022944539785385,0.002802103292196989,-0.03403344005346298,-0.0774015560746193,-0.08807745575904846,-0.03403344005346298,-0.07145890593528748,-0.05244867503643036,-0.05216359719634056,-0.07156077772378922
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,0.1001104861497879,0.06780257821083069,0.029072100296616554,0.007129318080842495,-0.026911243796348572,0.013431590981781483,0.0685480609536171
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.18140065670013428,0.18815474212169647,0.31333932280540466,0.23916715383529663
christmas,0.2578675448894501,0.16941027343273163,0.2044597715139389,0.11770049482584,0.14198152720928192,0.2044597715139389,0.11616573482751846,1.0,0.3012330234050751,0.23817040026187897
carol,0.1641474813222885,0.22895507514476776,0.1561352163553238,0.0767771527171135,0.146186962723732,0.1561352163553238,0.060835689306259155,0.4237362742424011,0.24895404279232025,0.15451480448246002
'',0.08143015950918198,0.04456103965640068,0.041273195296525955,0.003883055876940489,0.13035868108272552,0.041273195296525955,0.06542752683162689,-0.01900828257203102,0.03449471667408943,0.018684765323996544
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.24006164073944092,0.2420792281627655,0.23880577087402344,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.27321958541870117,0.1769854575395584,0.22352655231952667,0.20544172823429108
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.2692960798740387,0.17820265889167786,0.2897285223007202,0.20430970191955566
december,0.19304980337619781,0.41127854585647583,0.23266014456748962,0.12413579225540161,0.1503814309835434,0.23266014456748962,0.11464264243841171,0.32802438735961914,0.14829912781715393,0.2480352818965912
2011,0.04286744073033333,-0.022202642634510994,0.07811610400676727,-0.05647004023194313,0.09709474444389343,0.07811610400676727,-0.012720898725092411,-0.09747979789972305,0.1166597530245781,0.005212190095335245
