,what,country,did,abc,expand,in,to,in,the,mid-1960s,?
goldenson,0.24370093643665314,0.037197526544332504,0.18173369765281677,0.29072654247283936,0.15783295035362244,0.2430626004934311,0.18715453147888184,0.2430626004934311,0.28907305002212524,0.18870505690574646,0.2495560646057129
also,0.42747777700424194,0.2604532539844513,0.39334940910339355,0.2030053734779358,0.24594314396381378,0.5073733329772949,0.5348826050758362,0.5073733329772949,0.6021018624305725,0.24736632406711578,0.21848613023757935
invested,0.1746833473443985,0.2100515365600586,0.2700634300708771,0.10607580840587616,0.2721613347530365,0.21412868797779083,0.23265089094638824,0.21412868797779083,0.22607377171516418,0.12950783967971802,0.13308873772621155
in,0.30808621644973755,0.3040012717247009,0.2593238651752472,0.1697147786617279,0.20696242153644562,1.0,0.45010748505592346,1.0,0.6662389636039734,0.27691489458084106,0.20430970191955566
broadcasting,0.18499015271663666,0.2773454487323761,0.12097854167222977,0.45669859647750854,0.19188649952411652,0.27609771490097046,0.23729375004768372,0.27609771490097046,0.29916465282440186,0.2684503495693207,0.10870421677827835
properties,0.23360128700733185,0.1321522444486618,0.19297796487808228,0.13060899078845978,0.1989559531211853,0.19315902888774872,0.2760433554649353,0.19315902888774872,0.20062518119812012,0.1792256087064743,0.12601029872894287
in,0.30808621644973755,0.3040012717247009,0.2593238651752472,0.1697147786617279,0.20696242153644562,1.0,0.45010748505592346,1.0,0.6662389636039734,0.27691489458084106,0.20430970191955566
beirut,0.12063269317150116,0.19993238151073456,0.1286538690328598,0.17436042428016663,0.08987032622098923,0.24437491595745087,0.12293576449155807,0.24437491595745087,0.20997805893421173,0.20189335942268372,0.15653181076049805
in,0.30808621644973755,0.3040012717247009,0.2593238651752472,0.1697147786617279,0.20696242153644562,1.0,0.45010748505592346,1.0,0.6662389636039734,0.27691489458084106,0.20430970191955566
the,0.42745697498321533,0.30432501435279846,0.34736719727516174,0.2068762183189392,0.28561270236968994,0.6662389636039734,0.535392165184021,0.6662389636039734,1.0,0.3168981075286865,0.22068053483963013
mid-1960s,0.13155235350131989,0.12273979187011719,0.06075247749686241,0.17563088238239288,0.16300711035728455,0.27691489458084106,0.21421003341674805,0.27691489458084106,0.3168981075286865,1.0,0.03703929856419563
.,0.3567904531955719,0.26130348443984985,0.35288307070732117,0.2567209303379059,0.24546176195144653,0.5591574311256409,0.4645031690597534,0.5591574311256409,0.5934505462646484,0.2146213799715042,0.4130953550338745
