,what,is,luther,'s,opinion,of,what,the,law,covers,?,?
luther,0.2134782373905182,0.08282390236854553,1.0,-0.009990512393414974,0.2205309271812439,0.1719115972518921,0.2134782373905182,0.1759674996137619,0.21635621786117554,0.12446006387472153,0.1732746809720993,0.1732746809720993
states,0.21526020765304565,0.21939043700695038,0.24556468427181244,-0.004298824816942215,0.27876016497612,0.30884552001953125,0.21526020765304565,0.3463578522205353,0.2508668601512909,0.21792703866958618,0.16272737085819244,0.16272737085819244
that,0.6297725439071655,0.3995479643344879,0.21746599674224854,0.04397977516055107,0.36596253514289856,0.41498205065727234,0.6297725439071655,0.5473989248275757,0.23277728259563446,0.19980356097221375,0.32716336846351624,0.32716336846351624
everything,0.5900073051452637,0.23604778945446014,0.17945396900177002,0.044629041105508804,0.34977445006370544,0.2166808843612671,0.5900073051452637,0.33579888939857483,0.24339616298675537,0.2200881540775299,0.37031570076942444,0.37031570076942444
that,0.6297725439071655,0.3995479643344879,0.21746599674224854,0.04397977516055107,0.36596253514289856,0.41498205065727234,0.6297725439071655,0.5473989248275757,0.23277728259563446,0.19980356097221375,0.32716336846351624,0.32716336846351624
is,0.28837618231773376,1.0,0.08282390236854553,0.02396530658006668,0.26110222935676575,0.4854315221309662,0.28837618231773376,0.5823672413825989,0.18597714602947235,0.38246777653694153,0.22961433231830597,0.22961433231830597
used,0.27546408772468567,0.3288823366165161,0.08111961930990219,0.00600846204906702,0.13609589636325836,0.3075267970561981,0.27546408772468567,0.3718377649784088,0.16105133295059204,0.19595597684383392,0.22430120408535004,0.22430120408535004
to,0.455847829580307,0.42745086550712585,0.18029534816741943,0.03782717138528824,0.3052038252353668,0.41548454761505127,0.455847829580307,0.535392165184021,0.259207159280777,0.24317483603954315,0.29463258385658264,0.29463258385658264
work,0.3762225806713104,0.22475390136241913,0.15580131113529205,-0.03332063928246498,0.3075876832008362,0.23473061621189117,0.3762225806713104,0.2704800069332123,0.21239785850048065,0.17946700751781464,0.2621155381202698,0.2621155381202698
sorrow,0.2596469223499298,0.1704811453819275,0.18134665489196777,0.06468883156776428,0.1817457377910614,0.1989675611257553,0.2596469223499298,0.18808715045452118,0.1683322787284851,0.10105124861001968,0.2599213421344757,0.2599213421344757
over,0.28007611632347107,0.2159561663866043,0.19360381364822388,0.016215575858950615,0.26076459884643555,0.36136594414711,0.28007611632347107,0.39856547117233276,0.08360998332500458,0.34431907534599304,0.25742942094802856,0.25742942094802856
sin,0.2028670310974121,0.22605369985103607,0.09982562065124512,-0.012886864133179188,0.14912432432174683,0.1845542937517166,0.2028670310974121,0.18401655554771423,0.23443979024887085,0.07960222661495209,0.17164617776870728,0.17164617776870728
is,0.28837618231773376,1.0,0.08282390236854553,0.02396530658006668,0.26110222935676575,0.4854315221309662,0.28837618231773376,0.5823672413825989,0.18597714602947235,0.38246777653694153,0.22961433231830597,0.22961433231830597
called,0.3235960602760315,0.430266410112381,0.09754475206136703,-0.021773243322968483,0.11096874624490738,0.4222904443740845,0.3235960602760315,0.489897221326828,0.20824196934700012,0.2909296751022339,0.18963319063186646,0.18963319063186646
the,0.42745697498321533,0.5823672413825989,0.1759674996137619,-0.01540423184633255,0.22474613785743713,0.733189046382904,0.42745697498321533,1.0,0.24548950791358948,0.326327383518219,0.22068053483963013,0.22068053483963013
law,0.2145031988620758,0.18597714602947235,0.21635621786117554,-0.06109188124537468,0.3367345929145813,0.2816956341266632,0.2145031988620758,0.24548950791358948,1.0000001192092896,0.18416951596736908,0.1528988480567932,0.1528988480567932
",",0.3087472915649414,0.4691906273365021,0.23255878686904907,-0.0016132977325469255,0.30441099405288696,0.4946078956127167,0.3087472915649414,0.4933079481124878,0.24953721463680267,0.3396594524383545,0.31091248989105225,0.31091248989105225
even,0.40872135758399963,0.28202980756759644,0.13474266231060028,0.0353488028049469,0.2911577522754669,0.34735506772994995,0.40872135758399963,0.37996912002563477,0.24917873740196228,0.20850469172000885,0.30082517862319946,0.30082517862319946
if,0.5277165174484253,0.30927813053131104,0.17693482339382172,-0.0015437148977071047,0.3714854419231415,0.2557544410228729,0.5277165174484253,0.33724796772003174,0.19418910145759583,0.16701970994472504,0.4441644251346588,0.4441644251346588
