,what,is,the,result,of,the,calvin,cycle,?
the,0.42745697498321533,0.5823672413825989,1.0,0.27778977155685425,0.733189046382904,1.0,0.1621416211128235,0.2701641917228699,0.22068053483963013
result,0.19945499300956726,0.19420543313026428,0.27778977155685425,1.0000001192092896,0.231380432844162,0.27778977155685425,0.06674249470233917,0.1978553682565689,0.17218433320522308
is,0.28837618231773376,1.0,0.5823672413825989,0.19420543313026428,0.4854315221309662,0.5823672413825989,0.19239427149295807,0.20626789331436157,0.22961433231830597
unstable,0.21720536053180695,0.2052687555551529,0.14599084854125977,0.23990844190120697,0.19063706696033478,0.14599084854125977,0.195256307721138,0.16456077992916107,0.12142787873744965
six-carbon,0.23409932851791382,0.29270729422569275,0.30637362599372864,0.19019389152526855,0.2901811897754669,0.30637362599372864,0.29772818088531494,0.37023505568504333,0.20179854333400726
molecules,0.2143162339925766,0.20481984317302704,0.2374771386384964,0.2644924223423004,0.24428431689739227,0.2374771386384964,0.24739672243595123,0.3103310465812683,0.17409995198249817
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.3031747341156006,0.41498205065727234,0.5473989248275757,0.20420591533184052,0.23440147936344147,0.32716336846351624
immediately,0.3574325740337372,0.21081224083900452,0.39876270294189453,0.27224788069725037,0.27121785283088684,0.39876270294189453,0.1943756341934204,0.12197578698396683,0.21004259586334229
break,0.2858539819717407,0.15913398563861847,0.28229501843452454,0.24498452246189117,0.14277319610118866,0.28229501843452454,0.11273504793643951,0.15949061512947083,0.19753244519233704
down,0.26226112246513367,0.16725905239582062,0.3325848877429962,0.22082675993442535,0.23279321193695068,0.3325848877429962,0.09446975588798523,0.18331047892570496,0.13836295902729034
into,0.2180619090795517,0.2619607150554657,0.39493247866630554,0.23260711133480072,0.32255905866622925,0.39493247866630554,0.1521087884902954,0.14627525210380554,0.15662476420402527
three-carbon,0.2760433554649353,0.31084370613098145,0.37949612736701965,0.23842231929302216,0.3458564877510071,0.37949612736701965,0.3065631687641144,0.3918127417564392,0.22396555542945862
molecules,0.2143162339925766,0.20481984317302704,0.2374771386384964,0.2644924223423004,0.24428431689739227,0.2374771386384964,0.24739672243595123,0.3103310465812683,0.17409995198249817
called,0.3235960602760315,0.430266410112381,0.489897221326828,0.18768227100372314,0.4222904443740845,0.489897221326828,0.19217027723789215,0.2504095733165741,0.18963319063186646
3-phosphoglyceric,0.24119192361831665,0.2712494432926178,0.21433281898498535,0.23016498982906342,0.23759526014328003,0.21433281898498535,0.2443576455116272,0.295149028301239,0.23823244869709015
acid,0.16500361263751984,0.21646185219287872,0.17908653616905212,0.2101573646068573,0.1909172534942627,0.17908653616905212,0.11140966415405273,0.24441686272621155,0.1556670069694519
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.23341737687587738,0.4946078956127167,0.4933079481124878,0.2137816697359085,0.16122886538505554,0.31091248989105225
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.3831445574760437,0.3792596757411957,0.4174870550632477,0.1699582189321518,0.1977657973766327,0.32389625906944275
3-pga,0.2911495268344879,0.21183577179908752,0.2381884604692459,0.2695879340171814,0.16881950199604034,0.2381884604692459,0.2052737921476364,0.2278839498758316,0.3055655062198639
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.31092435121536255,0.5352458953857422,0.5934505462646484,0.21862660348415375,0.19143328070640564,0.4130953550338745
