,does,the,new,deal,include,video,on,demand,and,high,definition,?
currently,0.2973312437534332,0.2945235073566437,0.2967287302017212,0.2698831856250763,0.22678527235984802,0.18239746987819672,0.2809738218784332,0.1993451565504074,0.2922934591770172,0.1441410928964615,0.12515470385551453,0.1861555278301239
there,0.2930194139480591,0.47025805711746216,0.26218199729919434,0.24494077265262604,0.33553990721702576,0.19648881256580353,0.3521401882171631,0.2776997983455658,0.4242868423461914,0.21173454821109772,0.2667218744754791,0.29405656456947327
is,0.4403602182865143,0.5823672413825989,0.2208656519651413,0.17207108438014984,0.28863582015037537,0.19670651853084564,0.3635730445384979,0.20401930809020996,0.3859752118587494,0.2383800595998764,0.29006320238113403,0.22961433231830597
no,0.29778221249580383,0.3461136817932129,0.1703159064054489,0.24782495200634003,0.14598526060581207,0.1620720475912094,0.3244728446006775,0.1752682477235794,0.25880882143974304,0.13885673880577087,0.2533065974712372,0.32165053486824036
indication,0.3802109956741333,0.34867995977401733,0.12030071020126343,0.22268261015415192,0.18166029453277588,0.17298726737499237,0.31475046277046204,0.2358662635087967,0.25493839383125305,0.18222467601299286,0.45842358469963074,0.31812968850135803
as,0.31202155351638794,0.48381632566452026,0.24585270881652832,0.2102150321006775,0.3469957113265991,0.17632809281349182,0.36047765612602234,0.21706032752990723,0.49487000703811646,0.23253053426742554,0.30895569920539856,0.27043893933296204
to,0.4391997456550598,0.535392165184021,0.33159172534942627,0.29972702264785767,0.1820748895406723,0.18658137321472168,0.41031414270401,0.33607128262519836,0.48971283435821533,0.28947713971138,0.2924377918243408,0.29463258385658264
whether,0.39905500411987305,0.3211745023727417,0.15885667502880096,0.28046202659606934,0.1714242398738861,0.16237300634384155,0.2535785734653473,0.25018006563186646,0.26207777857780457,0.12654390931129456,0.3595164716243744,0.3150278329849243
the,0.35928019881248474,1.0,0.3845241069793701,0.23069973289966583,0.2951717972755432,0.2506899833679199,0.5107308030128479,0.27194610238075256,0.5171257257461548,0.28034812211990356,0.23176956176757812,0.22068053483963013
new,0.1745370477437973,0.3845241069793701,0.9999999403953552,0.2736595869064331,0.19157946109771729,0.17798341810703278,0.31106263399124146,0.15889613330364227,0.31402453780174255,0.19485966861248016,0.13864319026470184,0.14782847464084625
deal,0.16800956428050995,0.23069973289966583,0.2736595869064331,1.0000001192092896,0.1537741869688034,0.1247478574514389,0.24813804030418396,0.25179970264434814,0.2461770474910736,0.16605274379253387,0.20517824590206146,0.2513751685619354
includes,0.2753782868385315,0.3388250470161438,0.20788541436195374,0.12650097906589508,0.6689316630363464,0.2031276673078537,0.2696145474910736,0.14219766855239868,0.3265656530857086,0.08586809784173965,0.28882259130477905,0.14011523127555847
the,0.35928019881248474,1.0,0.3845241069793701,0.23069973289966583,0.2951717972755432,0.2506899833679199,0.5107308030128479,0.27194610238075256,0.5171257257461548,0.28034812211990356,0.23176956176757812,0.22068053483963013
additional,0.2654404044151306,0.2539002597332001,0.23886226117610931,0.2799658179283142,0.3071921467781067,0.20327210426330566,0.22756081819534302,0.2540340721607208,0.3180832266807556,0.1004585400223732,0.15886051952838898,0.24309562146663666
video,0.16293835639953613,0.2506899833679199,0.17798341810703278,0.1247478574514389,0.16293537616729736,0.9999999403953552,0.2563185691833496,0.24397341907024384,0.22093096375465393,0.17597496509552002,0.24818363785743713,0.22771678864955902
on,0.2568802833557129,0.5107308030128479,0.31106263399124146,0.24813804030418396,0.2332274466753006,0.2563185691833496,0.9999999403953552,0.2564358413219452,0.4077630043029785,0.20843200385570526,0.21725256741046906,0.2714994251728058
demand,0.27838435769081116,0.27194610238075256,0.15889613330364227,0.25179970264434814,0.16783446073532104,0.24397341907024384,0.2564358413219452,1.0,0.3240898847579956,0.23269052803516388,0.30153462290763855,0.13359291851520538
and,0.3461615741252899,0.5171257257461548,0.31402453780174255,0.2461770474910736,0.3915219306945801,0.22093096375465393,0.4077630043029785,0.3240898847579956,1.0,0.2911888659000397,0.1981266289949417,0.20544172823429108
high,0.2028418332338333,0.28034812211990356,0.19485966861248016,0.16605274379253387,0.1128581240773201,0.17597496509552002,0.20843200385570526,0.23269052803516388,0.2911888659000397,1.0,0.21872155368328094,0.11137914657592773
definition,0.3219144642353058,0.23176956176757812,0.13864319026470184,0.20517824590206146,0.2089603990316391,0.24818363785743713,0.21725256741046906,0.30153462290763855,0.1981266289949417,0.21872155368328094,1.0,0.2796523869037628
content,0.33242130279541016,0.21174471080303192,0.15262384712696075,0.24974334239959717,0.16836033761501312,0.28235626220703125,0.20971469581127167,0.258215993642807,0.31410330533981323,0.2118622064590454,0.37271976470947266,0.37093979120254517
which,0.39111801981925964,0.6521818041801453,0.33739399909973145,0.2624821960926056,0.33084139227867126,0.22561120986938477,0.4245251417160034,0.2734186053276062,0.506277859210968,0.25426656007766724,0.31308257579803467,0.25814583897590637
had,0.2046971619129181,0.3875846862792969,0.28327175974845886,0.3227500021457672,0.23162567615509033,0.17407043278217316,0.36692994832992554,0.2369551807641983,0.3872550129890442,0.1883465200662613,0.15138578414916992,0.20728366076946259
previously,0.16892458498477936,0.33854439854621887,0.3305971324443817,0.25039657950401306,0.181600421667099,0.15855881571769714,0.2923765778541565,0.10243427008390427,0.28226712346076965,0.13266918063163757,0.1445280909538269,0.15811841189861298
been,0.22925697267055511,0.3563927710056305,0.295974463224411,0.24822191894054413,0.24614082276821136,0.2131919413805008,0.29937630891799927,0.16794900596141815,0.3424558639526367,0.18445266783237457,0.22375765442848206,0.24354910850524902
offered,0.21475215256214142,0.270993173122406,0.24965396523475647,0.3069993853569031,0.1767021268606186,0.18384705483913422,0.2585904598236084,0.3954830467700958,0.27667903900146484,0.13058197498321533,0.18025869131088257,0.22244536876678467
by,0.143477201461792,0.4408751428127289,0.25394493341445923,0.19881702959537506,0.24257268011569977,0.2545711398124695,0.33887791633605957,0.15896984934806824,0.4289871156215668,0.2159195840358734,0.11182640492916107,0.17966607213020325
bskyb,0.12919114530086517,0.20915858447551727,0.16534830629825592,0.16630497574806213,0.15016572177410126,0.19804003834724426,0.13935911655426025,0.07470551878213882,0.2175528109073639,0.08497239649295807,0.1723196655511856,0.2979319989681244
.,0.3022993505001068,0.5934505462646484,0.35031336545944214,0.21690496802330017,0.21809983253479004,0.23863497376441956,0.49257001280784607,0.2543337345123291,0.588965117931366,0.24301011860370636,0.2228187918663025,0.4130953550338745
