,what,group,can,amend,the,victorian,constitution,?
the,0.42745697498321533,0.30795547366142273,0.312528520822525,0.25680017471313477,1.0,0.2753658890724182,0.3381718397140503,0.22068053483963013
victorian,0.15513519942760468,0.11387033760547638,0.18776920437812805,0.18533532321453094,0.2753658890724182,0.9999998807907104,0.17284028232097626,0.07572567462921143
constitution,0.26995089650154114,0.12218163907527924,0.1076725423336029,0.6060139536857605,0.3381718397140503,0.17284028232097626,1.0000001192092896,0.23706454038619995
can,0.34502777457237244,0.15594583749771118,1.0,0.2316676676273346,0.312528520822525,0.18776920437812805,0.1076725423336029,0.3226337134838104
be,0.3929833769798279,0.21518005430698395,0.5791122913360596,0.3006212115287781,0.4248143136501312,0.22052541375160217,0.25719964504241943,0.3324260413646698
amended,0.215549036860466,0.1335405856370926,0.20024925470352173,0.7933486700057983,0.2974001467227936,0.2480953335762024,0.5906038880348206,0.241045743227005
by,0.2455483376979828,0.2915726900100708,0.29642900824546814,0.1561150997877121,0.4408751428127289,0.2059345543384552,0.1736798882484436,0.17966607213020325
the,0.42745697498321533,0.30795547366142273,0.312528520822525,0.25680017471313477,1.0,0.2753658890724182,0.3381718397140503,0.22068053483963013
parliament,0.21650300920009613,0.19664597511291504,0.1599172055721283,0.45676350593566895,0.26521381735801697,0.3065771162509918,0.5239191055297852,0.1586504578590393
of,0.33290785551071167,0.25542253255844116,0.2603091299533844,0.21760649979114532,0.733189046382904,0.28338366746902466,0.3222753703594208,0.1826142966747284
victoria,0.1194850504398346,0.06951578706502914,0.16389620304107666,0.13929128646850586,0.2204313427209854,0.7158359885215759,0.16564127802848816,0.12246892601251602
",",0.3087472915649414,0.2809832692146301,0.3139454126358032,0.2583025395870209,0.4933079481124878,0.19891108572483063,0.2582484483718872,0.31091248989105225
except,0.2278055101633072,0.20581263303756714,0.287631630897522,0.26122817397117615,0.31242886185646057,0.11366934329271317,0.2090301364660263,0.16405975818634033
for,0.3017193675041199,0.24519909918308258,0.35690054297447205,0.26557403802871704,0.4739971458911896,0.24997268617153168,0.193412184715271,0.264628142118454
certain,0.4561643898487091,0.27946823835372925,0.5257870554924011,0.2912193238735199,0.392071396112442,0.2290155589580536,0.21739321947097778,0.2516106069087982
``,0.008517155423760414,0.14310015738010406,0.12428006529808044,0.08446626365184784,0.029072100296616554,-0.04113798588514328,0.13461661338806152,0.0685480609536171
entrenched,0.1959153115749359,0.13424156606197357,0.24652624130249023,0.14945514500141144,0.29951637983322144,0.20240581035614014,0.19499975442886353,0.15703362226486206
'',0.08143015950918198,0.017886392772197723,0.008988718502223492,-0.010676699690520763,0.041273195296525955,0.10701315850019455,0.013045001775026321,0.018684765323996544
provisions,0.2471846491098404,0.2345738410949707,0.2463000863790512,0.4627159535884857,0.28538835048675537,0.06110303848981857,0.5330703854560852,0.22902937233448029
that,0.6297725439071655,0.3089635670185089,0.4522190988063812,0.33950740098953247,0.5473989248275757,0.24561864137649536,0.28390300273895264,0.32716336846351624
require,0.2487315833568573,0.13837583363056183,0.46357640624046326,0.30932822823524475,0.17356595396995544,0.2076704502105713,0.19346262514591217,0.2463286817073822
either,0.3851809501647949,0.19103127717971802,0.4823819100856781,0.24594832956790924,0.3795609474182129,0.1978837251663208,0.16202761232852936,0.31498292088508606
an,0.2821882665157318,0.1671597808599472,0.23671309649944305,0.15695010125637054,0.4207492768764496,0.17539280652999878,0.20045198500156403,0.19793890416622162
absolute,0.3186502158641815,0.1270551085472107,0.1994364708662033,0.23351435363292694,0.26488861441612244,0.2094096541404724,0.2535356283187866,0.22724391520023346
majority,0.25967487692832947,0.33155298233032227,0.24783922731876373,0.314501017332077,0.28757327795028687,0.20555023849010468,0.32891613245010376,0.220119908452034
in,0.30808621644973755,0.2304753065109253,0.26527702808380127,0.14254771173000336,0.6662389636039734,0.21606117486953735,0.27906280755996704,0.20430970191955566
both,0.3361809551715851,0.2148570716381073,0.33175474405288696,0.2236388623714447,0.4931981563568115,0.214416965842247,0.24335278570652008,0.19455738365650177
houses,0.1434021294116974,0.14165036380290985,0.24645768105983734,0.21812868118286133,0.2692612111568451,0.33944639563560486,0.21295513212680817,0.10120081901550293
",",0.3087472915649414,0.2809832692146301,0.3139454126358032,0.2583025395870209,0.4933079481124878,0.19891108572483063,0.2582484483718872,0.31091248989105225
a,0.3320399522781372,0.2594761848449707,0.3915780484676361,0.2043655961751938,0.5829201340675354,0.21096326410770416,0.21537603437900543,0.23916715383529663
three-fifths,0.31355559825897217,0.31400665640830994,0.2978813946247101,0.3025485575199127,0.407694548368454,0.21778543293476105,0.3527301847934723,0.2342275232076645
