,who,is,elected,to,serve,as,the,presiding,officer,at,the,beginning,of,each,parliamentary,session,?
after,0.32549580931663513,0.2835143506526947,0.24237331748008728,0.37890323996543884,0.12885776162147522,0.3014480769634247,0.4565047025680542,0.23886920511722565,0.2823500633239746,0.3622083067893982,0.4565047025680542,0.4301009774208069,0.3867455720901489,0.21156184375286102,0.21727252006530762,0.17592468857765198,0.16608688235282898
each,0.27337536215782166,0.2954041659832001,0.16270922124385834,0.3941934108734131,0.30591481924057007,0.27854636311531067,0.470844566822052,0.17381541430950165,0.08578653633594513,0.21600523591041565,0.470844566822052,0.31690895557403564,0.38460010290145874,1.0,0.18104569613933563,0.24809309840202332,0.21173812448978424
election,0.24774396419525146,0.16769170761108398,0.7423623204231262,0.20867465436458588,0.29795530438423157,0.21759408712387085,0.22873377799987793,0.5104126930236816,0.22871273756027222,0.16021056473255157,0.22873377799987793,0.24534016847610474,0.23051156103610992,0.1801845133304596,0.5905603170394897,0.30266278982162476,0.23105260729789734
to,0.42656609416007996,0.42745086550712585,0.21424545347690582,1.0,0.3411368131637573,0.42092081904411316,0.535392165184021,0.2064446657896042,0.2198503315448761,0.36524343490600586,0.535392165184021,0.32582011818885803,0.41548454761505127,0.3941934108734131,0.18938039243221283,0.257991760969162,0.29463258385658264
the,0.3733934462070465,0.5823672413825989,0.23167964816093445,0.535392165184021,0.2749462425708771,0.48381632566452026,1.0,0.3267684876918793,0.25777485966682434,0.457212895154953,1.0,0.49622642993927,0.733189046382904,0.470844566822052,0.2708897888660431,0.2187730073928833,0.22068053483963013
scottish,0.27621203660964966,0.16398480534553528,0.18456816673278809,0.1268421709537506,0.09785868227481842,0.185140922665596,0.21724988520145416,0.2087658792734146,0.13719971477985382,0.14378440380096436,0.21724988520145416,0.0958116427063942,0.1698460429906845,0.13657651841640472,0.3121192455291748,0.18734458088874817,0.06442669779062271
parliament,0.237068772315979,0.19676777720451355,0.5323356986045837,0.20290622115135193,0.18732470273971558,0.1639251410961151,0.26521381735801697,0.3959604501724243,0.2183782458305359,0.17480722069740295,0.26521381735801697,0.16858810186386108,0.2885259687900543,0.14252392947673798,0.8464457392692566,0.31762444972991943,0.1586504578590393
",",0.3365725874900818,0.4691906273365021,0.2476319521665573,0.44245919585227966,0.2385157197713852,0.48816442489624023,0.4933079481124878,0.2921140789985657,0.2703348398208618,0.38314947485923767,0.4933079481124878,0.31347912549972534,0.4946078956127167,0.207483172416687,0.23071794211864471,0.20594055950641632,0.31091248989105225
at,0.22096660733222961,0.25906258821487427,0.16178534924983978,0.36524343490600586,0.1923348307609558,0.28092536330223083,0.457212895154953,0.16788043081760406,0.15344186127185822,1.0,0.457212895154953,0.3329997658729553,0.42558613419532776,0.21600523591041565,0.15703587234020233,0.22211682796478271,0.21978627145290375
the,0.3733934462070465,0.5823672413825989,0.23167964816093445,0.535392165184021,0.2749462425708771,0.48381632566452026,1.0,0.3267684876918793,0.25777485966682434,0.457212895154953,1.0,0.49622642993927,0.733189046382904,0.470844566822052,0.2708897888660431,0.2187730073928833,0.22068053483963013
beginning,0.25200510025024414,0.2446223646402359,0.20465363562107086,0.32582011818885803,0.16519008576869965,0.3335636258125305,0.49622642993927,0.21263986825942993,0.14947956800460815,0.3329997658729553,0.49622642993927,0.9999998807907104,0.36558160185813904,0.31690895557403564,0.17855794727802277,0.2810481786727905,0.19413669407367706
