,where,was,the,fis,formed,?
an,0.24824833869934082,0.3694365322589874,0.4207492768764496,0.16800178587436676,0.20318694412708282,0.19793890416622162
islamist,0.16480803489685059,0.23685774207115173,0.2459319531917572,0.13467499613761902,0.16715587675571442,0.14697067439556122
movement,0.2221783995628357,0.18520963191986084,0.339571475982666,0.10847514867782593,0.2460150420665741,0.1423349231481552
influenced,0.1405697464942932,0.23784680664539337,0.18518297374248505,0.03277759253978729,0.2668358087539673,0.1310873031616211
by,0.2641284465789795,0.4752357602119446,0.4408751428127289,0.1904708743095398,0.2924628257751465,0.17966607213020325
salafism,0.17806009948253632,0.18196751177310944,0.21717160940170288,0.3540585935115814,0.1317051500082016,0.22954337298870087
and,0.43859338760375977,0.3740963041782379,0.5171257257461548,0.21142849326133728,0.27619341015815735,0.20544172823429108
the,0.5003893971443176,0.48711544275283813,1.0,0.2955470383167267,0.28813210129737854,0.22068053483963013
jihad,0.13267160952091217,0.25446686148643494,0.22348956763744354,0.1594870388507843,0.1567179411649704,0.21031080186367035
in,0.5344807505607605,0.45514053106307983,0.6662389636039734,0.26741597056388855,0.27325257658958435,0.20430970191955566
afghanistan,0.15770265460014343,0.18056072294712067,0.28314414620399475,0.17504693567752838,0.1541386991739273,0.1478135734796524
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.288654088973999,0.2636634409427643,0.31091248989105225
as,0.35409465432167053,0.3677520453929901,0.48381632566452026,0.21989309787750244,0.21414828300476074,0.27043893933296204
well,0.4122413992881775,0.3130364418029785,0.42630070447921753,0.1969016194343567,0.1791902631521225,0.24815571308135986
as,0.35409465432167053,0.3677520453929901,0.48381632566452026,0.21989309787750244,0.21414828300476074,0.27043893933296204
the,0.5003893971443176,0.48711544275283813,1.0,0.2955470383167267,0.28813210129737854,0.22068053483963013
muslim,0.1838563233613968,0.230477973818779,0.28099653124809265,0.12356268614530563,0.14908020198345184,0.17456822097301483
brotherhood,0.15566383302211761,0.2586901783943176,0.2368839830160141,0.21159727871418,0.163358673453331,0.1117945984005928
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.288654088973999,0.2636634409427643,0.31091248989105225
was,0.20731619000434875,1.0000001192092896,0.48711544275283813,0.20063583552837372,0.3009849190711975,0.18412111699581146
the,0.5003893971443176,0.48711544275283813,1.0,0.2955470383167267,0.28813210129737854,0.22068053483963013
fis,0.2537797689437866,0.20063583552837372,0.2955470383167267,1.0,0.14877727627754211,0.15495842695236206
or,0.3651050925254822,0.2330796718597412,0.4174870550632477,0.24891673028469086,0.20165258646011353,0.32389625906944275
front,0.24969139695167542,0.2506336569786072,0.3733479380607605,0.10462447255849838,0.14863291382789612,0.16351862251758575
islamique,0.20555715262889862,0.2605638802051544,0.2848256826400757,0.21679839491844177,0.15274563431739807,0.1849232316017151
de,0.2051386833190918,0.20575080811977386,0.23491892218589783,0.16467691957950592,0.13740937411785126,0.11064168810844421
salut,0.18777146935462952,0.22243043780326843,0.22101496160030365,0.26597633957862854,0.0944574773311615,0.17522463202476501
(,0.1970011591911316,0.2980341613292694,0.33289089798927307,0.19407914578914642,0.18508760631084442,0.40561532974243164
the,0.5003893971443176,0.48711544275283813,1.0,0.2955470383167267,0.28813210129737854,0.22068053483963013
islamic,0.13770605623722076,0.19776177406311035,0.27231070399284363,0.10752899199724197,0.1543453484773636,0.1692383587360382
salvation,0.21552900969982147,0.17791269719600677,0.30236515402793884,0.08126843720674515,0.0745788961648941,0.2133665680885315
front,0.24969139695167542,0.2506336569786072,0.3733479380607605,0.10462447255849838,0.14863291382789612,0.16351862251758575
),0.20711064338684082,0.3267642855644226,0.3456730246543884,0.17717596888542175,0.22280143201351166,0.42300865054130554
in,0.5344807505607605,0.45514053106307983,0.6662389636039734,0.26741597056388855,0.27325257658958435,0.20430970191955566
algeria,0.1941394954919815,0.1654646247625351,0.1901172548532486,0.15673266351222992,0.09855422377586365,0.192555770277977
.,0.41390106081962585,0.40146201848983765,0.5934505462646484,0.2793008089065552,0.2737641930580139,0.4130953550338745
