,what,is,unknown,about,the,complexity,classes,between,l,and,p,that,further,prevents,determining,the,value,relationship,between,l,and,p,?
similarly,0.2804308831691742,0.34101489186286926,0.23811395466327667,0.24078240990638733,0.33859682083129883,0.3371325433254242,0.29914259910583496,0.26334142684936523,0.14890368282794952,0.3685162663459778,0.0860581174492836,0.4188553988933563,0.2350824922323227,0.2919904887676239,0.3597729802131653,0.33859682083129883,0.24721553921699524,0.263460636138916,0.26334142684936523,0.14890368282794952,0.3685162663459778,0.0860581174492836,0.23036029934883118
",",0.3087472915649414,0.4691906273365021,0.26479753851890564,0.3877100944519043,0.4933079481124878,0.27822354435920715,0.26848307251930237,0.27714940905570984,0.2714451849460602,0.6633074283599854,0.291064590215683,0.4137537479400635,0.2694096863269806,0.19073960185050964,0.22378280758857727,0.4933079481124878,0.23697449266910553,0.23936419188976288,0.27714940905570984,0.2714451849460602,0.6633074283599854,0.291064590215683,0.31091248989105225
it,0.45803478360176086,0.6328473687171936,0.15812928974628448,0.4291239380836487,0.6251175999641418,0.2516402304172516,0.22729383409023285,0.311247855424881,0.15249915421009064,0.40957894921302795,0.14431746304035187,0.5921133160591125,0.27744895219802856,0.23874956369400024,0.28921452164649963,0.6251175999641418,0.21908211708068848,0.23314040899276733,0.311247855424881,0.15249915421009064,0.40957894921302795,0.14431746304035187,0.25732165575027466
is,0.28837618231773376,1.0,0.2287159115076065,0.3532065451145172,0.5823672413825989,0.2541271150112152,0.13611210882663727,0.26809602975845337,0.18223042786121368,0.3859752118587494,0.11757151037454605,0.3995479643344879,0.13372796773910522,0.26185330748558044,0.3241519629955292,0.5823672413825989,0.22550974786281586,0.22806847095489502,0.26809602975845337,0.18223042786121368,0.3859752118587494,0.11757151037454605,0.22961433231830597
not,0.5449194312095642,0.3776007890701294,0.2684744596481323,0.36646416783332825,0.4310511648654938,0.2915634512901306,0.24143658578395844,0.18732105195522308,0.0853256806731224,0.39099299907684326,0.18450647592544556,0.6600887179374695,0.3125629127025604,0.37253913283348083,0.39096108078956604,0.4310511648654938,0.24114683270454407,0.2483322024345398,0.18732105195522308,0.0853256806731224,0.39099299907684326,0.18450647592544556,0.41942933201789856
known,0.20381177961826324,0.41921812295913696,0.2759796380996704,0.25154873728752136,0.3624623417854309,0.17207187414169312,0.16189859807491302,0.19939005374908447,0.14100603759288788,0.3468935489654541,0.14122170209884644,0.20813259482383728,0.07636407762765884,0.18303099274635315,0.190949946641922,0.3624623417854309,0.07550203800201416,0.18717947602272034,0.19939005374908447,0.14100603759288788,0.3468935489654541,0.14122170209884644,0.18314571678638458
if,0.5277165174484253,0.30927813053131104,0.26627132296562195,0.30191555619239807,0.33724796772003174,0.3077995181083679,0.22395169734954834,0.21807901561260223,0.08853445202112198,0.3498523235321045,0.17701710760593414,0.5634250640869141,0.2947865426540375,0.35805845260620117,0.4116392433643341,0.33724796772003174,0.43458178639411926,0.20794260501861572,0.21807901561260223,0.08853445202112198,0.3498523235321045,0.17701710760593414,0.4441644251346588
l,0.053181253373622894,0.18223042786121368,0.1777997761964798,0.1778632402420044,0.18770581483840942,0.14342622458934784,0.0897289589047432,0.14240337908267975,1.0000001192092896,0.2232794463634491,0.30408549308776855,0.11878139525651932,0.10009947419166565,0.10709694027900696,0.11199362576007843,0.18770581483840942,0.06282342970371246,0.10586825758218765,0.14240337908267975,1.0000001192092896,0.2232794463634491,0.30408549308776855,0.10803938657045364
(,0.2411840260028839,0.35393038392066956,0.22661295533180237,0.27495184540748596,0.33289089798927307,0.19830146431922913,0.13770313560962677,0.23924681544303894,0.2328861951828003,0.4862271547317505,0.28021711111068726,0.2264307141304016,0.22211186587810516,0.16128507256507874,0.20913836359977722,0.33289089798927307,0.2575055658817291,0.15291789174079895,0.23924681544303894,0.2328861951828003,0.4862271547317505,0.28021711111068726,0.40561532974243164
the,0.42745697498321533,0.5823672413825989,0.23777544498443604,0.37995871901512146,1.0,0.21171598136425018,0.21469499170780182,0.39067012071609497,0.18770581483840942,0.5171257257461548,0.16481639444828033,0.5473989248275757,0.32531118392944336,0.3293589949607849,0.35818397998809814,1.0,0.16908381879329681,0.21018025279045105,0.39067012071609497,0.18770581483840942,0.5171257257461548,0.16481639444828033,0.22068053483963013
