,who,lost,3,yards,on,a,tackle,by,shaq,thompson,?
first,0.39065709710121155,0.2999275326728821,0.03959788382053375,0.1934249997138977,0.3120559751987457,0.4287874400615692,0.15928983688354492,0.3877052962779999,0.20221702754497528,0.27228692173957825,0.18701928853988647
",",0.3365725874900818,0.26788443326950073,0.02255268208682537,0.16944201290607452,0.49057599902153015,0.427140474319458,0.25377723574638367,0.3680937886238098,0.2767268419265747,0.3049640655517578,0.31091248989105225
linebacker,0.18917565047740936,0.16555556654930115,0.10276878625154495,0.4830774664878845,0.15558040142059326,0.20977157354354858,0.5648395419120789,0.10297687351703644,0.36483365297317505,0.2661210894584656,0.15540370345115662
shaq,0.27999216318130493,0.1066955178976059,0.12321638315916061,0.20738615095615387,0.20148706436157227,0.19655653834342957,0.2241041362285614,0.19488383829593658,1.0,0.34971556067466736,0.1728670746088028
thompson,0.2874908745288849,0.16806702315807343,0.0190530177205801,0.2987517714500427,0.2843484878540039,0.21704883873462677,0.27852848172187805,0.20109307765960693,0.34971556067466736,1.0000001192092896,0.1904636025428772
tackled,0.2225686013698578,0.18812963366508484,0.08337144553661346,0.5174151659011841,0.1872648149728775,0.18400587141513824,0.8714660406112671,0.15039530396461487,0.25120809674263,0.27399444580078125,0.20976905524730682
ronnie,0.21505141258239746,0.11617887765169144,0.042233534157276154,0.2552225887775421,0.2161213606595993,0.14688855409622192,0.24890069663524628,0.1851983219385147,0.21685028076171875,0.2933022677898407,0.059459373354911804
hillman,0.27239322662353516,0.2099940925836563,0.05051219090819359,0.25285258889198303,0.2661999464035034,0.20543454587459564,0.27802804112434387,0.21218042075634003,0.3587183952331543,0.45567068457603455,0.1580796241760254
for,0.37110671401023865,0.2845156490802765,0.04892069101333618,0.21746347844600677,0.36199691891670227,0.44038116931915283,0.311522513628006,0.3248702883720398,0.2021106332540512,0.20878981053829193,0.264628142118454
a,0.36608949303627014,0.24504798650741577,0.08904784172773361,0.19167225062847137,0.3848365545272827,1.0,0.21756082773208618,0.32094135880470276,0.19655653834342957,0.21704883873462677,0.23916715383529663
3-yard,0.26753053069114685,0.23311910033226013,0.017016958445310593,0.5226916074752808,0.21627016365528107,0.2690424919128418,0.27024540305137634,0.2647233307361603,0.17625020444393158,0.32812947034835815,0.10416531562805176
loss,0.10800512880086899,0.5212884545326233,0.07179075479507446,0.22070537507534027,0.2052750140428543,0.20714472234249115,0.22296729683876038,0.19461268186569214,0.14450591802597046,0.14264324307441711,0.1312553584575653
.,0.3541337847709656,0.2800092399120331,0.043593376874923706,0.17664551734924316,0.49257001280784607,0.50484299659729,0.2322828769683838,0.3936232924461365,0.21597036719322205,0.2970409393310547,0.4130953550338745
