,one,of,the,sites,",",merceds-benz,superdome,",",is,located,where,?
the,0.5514441132545471,0.733189046382904,1.0,0.2751152217388153,0.4933079481124878,0.22836846113204956,0.24818874895572662,0.4933079481124878,0.5823672413825989,0.407527357339859,0.5003893971443176,0.22068053483963013
league,0.19038084149360657,0.23588460683822632,0.2724147439002991,0.15773339569568634,0.20757631957530975,0.2333420217037201,0.3639790415763855,0.20757631957530975,0.1591515690088272,0.13694164156913757,0.16120316088199615,0.15941482782363892
eventually,0.26059967279434204,0.313495934009552,0.42022404074668884,0.15282081067562103,0.262137234210968,0.2130049169063568,0.23910966515541077,0.262137234210968,0.18755480647087097,0.11140192300081253,0.4520733952522278,0.13642115890979767
narrowed,0.2634027302265167,0.2496551126241684,0.3612460196018219,0.17043253779411316,0.17674505710601807,0.10290098190307617,0.1532258689403534,0.17674505710601807,0.19825032353401184,0.23180274665355682,0.23444579541683197,0.1559450924396515
the,0.5514441132545471,0.733189046382904,1.0,0.2751152217388153,0.4933079481124878,0.22836846113204956,0.24818874895572662,0.4933079481124878,0.5823672413825989,0.407527357339859,0.5003893971443176,0.22068053483963013
bids,0.2188873291015625,0.26786938309669495,0.2717687487602234,0.1978960782289505,0.2200302630662918,0.25122740864753723,0.2687744200229645,0.2200302630662918,0.16304871439933777,0.13396961987018585,0.19635358452796936,0.13915638625621796
to,0.4025384783744812,0.41548454761505127,0.535392165184021,0.2365284264087677,0.44245919585227966,0.19823186099529266,0.1973545402288437,0.44245919585227966,0.42745086550712585,0.20850814878940582,0.47735077142715454,0.29463258385658264
three,0.5923700332641602,0.3844621181488037,0.43452659249305725,0.12784890830516815,0.3347506821155548,0.1967851221561432,0.1492527276277542,0.3347506821155548,0.23072560131549835,0.22259211540222168,0.25543931126594543,0.20928427577018738
sites,0.26739686727523804,0.24120540916919708,0.2751152217388153,1.0,0.20830219984054565,0.10427955538034439,0.14698994159698486,0.20830219984054565,0.2070067971944809,0.3279728591442108,0.23118363320827484,0.20032718777656555
:,0.05350891128182411,-0.08807745575904846,-0.03403344005346298,-0.09257260710000992,-0.004729332868009806,0.05561987683176994,0.05774545297026634,-0.004729332868009806,-0.07222653180360794,-0.1445346474647522,-0.012972540222108364,-0.07156077772378922
new,0.264311820268631,0.343457967042923,0.3845241069793701,0.18995007872581482,0.36073189973831177,0.2839742600917816,0.2743895649909973,0.36073189973831177,0.2208656519651413,0.15510645508766174,0.26026442646980286,0.14782847464084625
