,what,is,the,main,purpose,of,the,jurisdictions,and,central,conferences,?
the,0.42745697498321533,0.5823672413825989,1.0,0.38631999492645264,0.3061215281486511,0.733189046382904,1.0,0.2714405059814453,0.5171257257461548,0.3417201042175293,0.2745058238506317,0.22068053483963013
main,0.2344268560409546,0.3009335994720459,0.38631999492645264,1.0000001192092896,0.3013887405395508,0.3177044689655304,0.38631999492645264,0.1142682358622551,0.29831406474113464,0.2828415334224701,0.1643812358379364,0.1665669083595276
purpose,0.33113807439804077,0.25441038608551025,0.3061215281486511,0.3013887405395508,1.0,0.23855330049991608,0.3061215281486511,0.343766450881958,0.2336888313293457,0.14094015955924988,0.16551782190799713,0.21892647445201874
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3177044689655304,0.23855330049991608,1.0,0.733189046382904,0.29086312651634216,0.5116966962814331,0.3415789008140564,0.22132393717765808,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.38631999492645264,0.3061215281486511,0.733189046382904,1.0,0.2714405059814453,0.5171257257461548,0.3417201042175293,0.2745058238506317,0.22068053483963013
jurisdictions,0.2691689431667328,0.21905726194381714,0.2714405059814453,0.1142682358622551,0.343766450881958,0.29086312651634216,0.2714405059814453,1.0000001192092896,0.24461956322193146,0.20073379576206207,0.2678614854812622,0.20752876996994019
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.29831406474113464,0.2336888313293457,0.5116966962814331,0.5171257257461548,0.24461956322193146,1.0,0.2465941160917282,0.2768954336643219,0.20544172823429108
central,0.17723965644836426,0.273421049118042,0.3417201042175293,0.2828415334224701,0.14094015955924988,0.3415789008140564,0.3417201042175293,0.20073379576206207,0.2465941160917282,1.0,0.20686504244804382,0.14787602424621582
conferences,0.18170012533664703,0.13661359250545502,0.2745058238506317,0.1643812358379364,0.16551782190799713,0.22132393717765808,0.2745058238506317,0.2678614854812622,0.2768954336643219,0.20686504244804382,0.9999999403953552,0.14015959203243256
is,0.28837618231773376,1.0,0.5823672413825989,0.3009335994720459,0.25441038608551025,0.4854315221309662,0.5823672413825989,0.21905726194381714,0.3859752118587494,0.273421049118042,0.13661359250545502,0.22961433231830597
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.26116618514060974,0.38124558329582214,0.41548454761505127,0.535392165184021,0.2819231450557709,0.48971283435821533,0.21511952579021454,0.2542727291584015,0.29463258385658264
elect,0.26573416590690613,0.11293090879917145,0.2026924341917038,0.09916666895151138,0.22013887763023376,0.23115672171115875,0.2026924341917038,0.3285176157951355,0.1942741870880127,0.167185440659523,0.21301712095737457,0.2500597834587097
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.29831406474113464,0.2336888313293457,0.5116966962814331,0.5171257257461548,0.24461956322193146,1.0,0.2465941160917282,0.2768954336643219,0.20544172823429108
appoint,0.2632576525211334,0.1171196773648262,0.25431281328201294,0.10857370495796204,0.2509414851665497,0.3188447058200836,0.25431281328201294,0.4454737901687622,0.2145346701145172,0.1058848649263382,0.2576432228088379,0.21547414362430573
bishops,0.18840548396110535,0.18656861782073975,0.30482447147369385,0.12356366217136383,0.18393093347549438,0.305105060338974,0.30482447147369385,0.396573543548584,0.23329396545886993,0.1720641404390335,0.35402414202690125,0.15664468705654144
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2989408075809479,0.21281862258911133,0.4946078956127167,0.4933079481124878,0.22841385006904602,0.6633074283599854,0.2587154507637024,0.2478943020105362,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.38631999492645264,0.3061215281486511,0.733189046382904,1.0,0.2714405059814453,0.5171257257461548,0.3417201042175293,0.2745058238506317,0.22068053483963013
chief,0.1647547483444214,0.17735815048217773,0.2586921751499176,0.2322424203157425,0.15470166504383087,0.26361605525016785,0.2586921751499176,0.24538922309875488,0.21687087416648865,0.1832505762577057,0.13492874801158905,0.09466830641031265
administrators,0.390634685754776,0.18384863436222076,0.25064438581466675,0.13035963475704193,0.2819208800792694,0.22883084416389465,0.25064438581466675,0.38830387592315674,0.25916916131973267,0.1691526621580124,0.23759908974170685,0.3605874478816986
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3177044689655304,0.23855330049991608,1.0,0.733189046382904,0.29086312651634216,0.5116966962814331,0.3415789008140564,0.22132393717765808,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.38631999492645264,0.3061215281486511,0.733189046382904,1.0,0.2714405059814453,0.5171257257461548,0.3417201042175293,0.2745058238506317,0.22068053483963013
church,0.1944202184677124,0.203276589512825,0.23846197128295898,0.17608977854251862,0.15238554775714874,0.3079429268836975,0.23846197128295898,0.2883661985397339,0.1976170688867569,0.20518873631954193,0.20040220022201538,0.18081501126289368
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.31122034788131714,0.22145536541938782,0.5352458953857422,0.5934505462646484,0.2451501190662384,0.588965117931366,0.3193301260471344,0.2162696272134781,0.4130953550338745
