,what,does,the,rhine,merge,with,outside,of,germany,?
two,0.23363454639911652,0.2100418359041214,0.43858039379119873,0.18329967558383942,0.22320173680782318,0.4333336651325226,0.22058306634426117,0.37726253271102905,0.21959294378757477,0.19645625352859497
thirds,0.24749456346035004,0.24664737284183502,0.39219605922698975,0.2155713587999344,0.18231040239334106,0.3351401686668396,0.24973279237747192,0.3725324273109436,0.2086448222398758,0.10387840867042542
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.2548927664756775,0.19220814108848572,0.41827285289764404,0.2973117530345917,1.0,0.2942050099372864,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,1.0,0.30735138058662415,0.26616451144218445,0.4223487675189972,0.3879719078540802,0.733189046382904,0.3181285262107849,0.22068053483963013
water,0.17456887662410736,0.29202038049697876,0.297396719455719,0.18943050503730774,0.12199771404266357,0.20542247593402863,0.2195296287536621,0.2741255462169647,0.13318182528018951,0.14731885492801666
flow,0.1798735409975052,0.21734505891799927,0.314039409160614,0.20253489911556244,0.2528975307941437,0.08951380848884583,0.14047446846961975,0.2407451719045639,0.13414667546749115,0.10458291321992874
volume,0.18066860735416412,0.1341913491487503,0.2396446168422699,0.05451172590255737,0.10144762694835663,0.20581743121147156,0.19398173689842224,0.27775493264198303,0.08288228511810303,0.1651400327682495
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.2548927664756775,0.19220814108848572,0.41827285289764404,0.2973117530345917,1.0,0.2942050099372864,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,1.0,0.30735138058662415,0.26616451144218445,0.4223487675189972,0.3879719078540802,0.733189046382904,0.3181285262107849,0.22068053483963013
rhine,0.16475653648376465,0.13532963395118713,0.30735138058662415,1.0,0.18752039968967438,0.18184249103069305,0.07718619704246521,0.2548927664756775,0.5801170468330383,0.13754533231258392
flows,0.14294633269309998,0.23165354132652283,0.32405155897140503,0.2871347963809967,0.2625400722026825,0.12737701833248138,0.19653251767158508,0.25574392080307007,0.14617419242858887,0.11636040359735489
farther,0.2859934866428375,0.19565676152706146,0.34515607357025146,0.3008689880371094,0.17590215802192688,0.16223013401031494,0.3024996519088745,0.23227694630622864,0.1880330741405487,0.08294608443975449
west,0.1946573108434677,0.14011532068252563,0.32918402552604675,0.3360097110271454,0.153669074177742,0.16849102079868317,0.2354571372270584,0.2891985774040222,0.3368600606918335,0.12088293582201004
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.167837992310524,0.24273967742919922,0.4120737314224243,0.2726076543331146,0.4946078956127167,0.2898865044116974,0.31091248989105225
through,0.23167094588279724,0.21495459973812103,0.44071322679519653,0.23343999683856964,0.20057141780853271,0.26801666617393494,0.31958580017089844,0.3647414743900299,0.17170296609401703,0.16913433372974396
the,0.42745697498321533,0.35928019881248474,1.0,0.30735138058662415,0.26616451144218445,0.4223487675189972,0.3879719078540802,0.733189046382904,0.3181285262107849,0.22068053483963013
waal,0.18199798464775085,0.11804382503032684,0.14903073012828827,0.3682439625263214,0.0806756466627121,0.19556142389774323,0.1055341586470604,0.18245531618595123,0.2607516646385193,0.11904393881559372
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.22029656171798706,0.18629194796085358,0.5477725267410278,0.31803378462791443,0.5116966962814331,0.29381805658340454,0.20544172823429108
then,0.4072686731815338,0.2951544523239136,0.4297412931919098,0.18961727619171143,0.26715409755706787,0.37121716141700745,0.27379512786865234,0.2937326431274414,0.1967308223247528,0.2884598970413208
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.167837992310524,0.24273967742919922,0.4120737314224243,0.2726076543331146,0.4946078956127167,0.2898865044116974,0.31091248989105225
via,0.16736915707588196,0.11708846688270569,0.23979412019252777,0.10537445545196533,0.18321865797042847,0.15864962339401245,0.23739394545555115,0.1293322592973709,0.14240582287311554,0.19443516433238983
the,0.42745697498321533,0.35928019881248474,1.0,0.30735138058662415,0.26616451144218445,0.4223487675189972,0.3879719078540802,0.733189046382904,0.3181285262107849,0.22068053483963013
merwede,0.07321726530790329,0.12159192562103271,0.20795460045337677,0.4772508442401886,0.27561014890670776,0.1157672330737114,0.1288912296295166,0.17477388679981232,0.4286830723285675,0.13861164450645447
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.22029656171798706,0.18629194796085358,0.5477725267410278,0.31803378462791443,0.5116966962814331,0.29381805658340454,0.20544172823429108
nieuwe,0.10837244242429733,0.06883466988801956,0.18349426984786987,0.37413492798805237,0.08599171042442322,0.10663828253746033,0.12636294960975647,0.18736444413661957,0.29243800044059753,0.10812246054410934
merwede,0.07321726530790329,0.12159192562103271,0.20795460045337677,0.4772508442401886,0.27561014890670776,0.1157672330737114,0.1288912296295166,0.17477388679981232,0.4286830723285675,0.13861164450645447
(,0.2411840260028839,0.2728188931941986,0.33289089798927307,0.12381801009178162,0.1984015554189682,0.29503780603408813,0.14573508501052856,0.35032153129577637,0.14963670074939728,0.40561532974243164
de,0.10476839542388916,0.10015963762998581,0.23491892218589783,0.17065118253231049,0.055002693086862564,0.18490396440029144,0.10995492339134216,0.26292696595191956,0.20181502401828766,0.11064168810844421
biesbosch,0.23777297139167786,0.160204216837883,0.2983834445476532,0.4257545471191406,0.12226968258619308,0.2631535232067108,0.15825185179710388,0.36395132541656494,0.4414028525352478,0.22715041041374207
),0.26259949803352356,0.2575884759426117,0.3456730246543884,0.12686386704444885,0.21269899606704712,0.3069596290588379,0.16312859952449799,0.3680361211299896,0.16241523623466492,0.42300865054130554
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.167837992310524,0.24273967742919922,0.4120737314224243,0.2726076543331146,0.4946078956127167,0.2898865044116974,0.31091248989105225
merging,0.18796852231025696,0.1744736284017563,0.18074963986873627,0.24626995623111725,0.5543599724769592,0.181217759847641,0.21287503838539124,0.16798439621925354,0.19677861034870148,0.20606711506843567
with,0.2464839518070221,0.26186925172805786,0.4223487675189972,0.18184249103069305,0.2009592354297638,0.9999999403953552,0.27869418263435364,0.41827285289764404,0.19588488340377808,0.2433311939239502
the,0.42745697498321533,0.35928019881248474,1.0,0.30735138058662415,0.26616451144218445,0.4223487675189972,0.3879719078540802,0.733189046382904,0.3181285262107849,0.22068053483963013
meuse,0.1806630939245224,0.1321507841348648,0.28249096870422363,0.5211026668548584,0.1721024215221405,0.1673470437526703,0.13272090256214142,0.20204558968544006,0.3363587558269501,0.21687322854995728
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.167837992310524,0.24273967742919922,0.4120737314224243,0.2726076543331146,0.4946078956127167,0.2898865044116974,0.31091248989105225
through,0.23167094588279724,0.21495459973812103,0.44071322679519653,0.23343999683856964,0.20057141780853271,0.26801666617393494,0.31958580017089844,0.3647414743900299,0.17170296609401703,0.16913433372974396
the,0.42745697498321533,0.35928019881248474,1.0,0.30735138058662415,0.26616451144218445,0.4223487675189972,0.3879719078540802,0.733189046382904,0.3181285262107849,0.22068053483963013
hollands,0.14172522723674774,0.1599608063697815,0.23339790105819702,0.37946051359176636,0.08511032909154892,0.22304528951644897,0.13296814262866974,0.24670419096946716,0.30039525032043457,0.12788207828998566
diep,0.1897595226764679,0.13425816595554352,0.19190004467964172,0.42125484347343445,0.1091066300868988,0.10766638070344925,0.05754953995347023,0.17531074583530426,0.34761762619018555,0.20965297520160675
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.22029656171798706,0.18629194796085358,0.5477725267410278,0.31803378462791443,0.5116966962814331,0.29381805658340454,0.20544172823429108
haringvliet,0.19039170444011688,0.18403388559818268,0.26052963733673096,0.40116357803344727,0.15100669860839844,0.26033681631088257,0.22467227280139923,0.31020110845565796,0.39160168170928955,0.18729516863822937
estuaries,0.218026265501976,0.2644999623298645,0.33413010835647583,0.2842389941215515,0.17710933089256287,0.24796919524669647,0.20805367827415466,0.2992600202560425,0.14384818077087402,0.2444750815629959
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.167837992310524,0.24273967742919922,0.4120737314224243,0.2726076543331146,0.4946078956127167,0.2898865044116974,0.31091248989105225
into,0.2180619090795517,0.22312942147254944,0.39493247866630554,0.1991104632616043,0.29821690917015076,0.2912435233592987,0.32923445105552673,0.32255905866622925,0.2227696031332016,0.15662476420402527
the,0.42745697498321533,0.35928019881248474,1.0,0.30735138058662415,0.26616451144218445,0.4223487675189972,0.3879719078540802,0.733189046382904,0.3181285262107849,0.22068053483963013
north,0.18673177063465118,0.11500263214111328,0.36298373341560364,0.3832572400569916,0.16976353526115417,0.185934916138649,0.24378706514835358,0.3604778051376343,0.26093342900276184,0.11829731613397598
sea,0.19525039196014404,0.12523514032363892,0.30363768339157104,0.17523105442523956,0.12613777816295624,0.20304065942764282,0.1706162840127945,0.2707739472389221,0.12939395010471344,0.15551945567131042
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.2089352011680603,0.2164151519536972,0.4446153938770294,0.28971612453460693,0.5352458953857422,0.28498756885528564,0.4130953550338745
