,who,teaches,in,secondary,schools,?
in,0.2792111933231354,0.26274335384368896,1.0,0.2103116512298584,0.2632134258747101,0.20430970191955566
secondary,0.12706179916858673,0.3295938968658447,0.2103116512298584,1.0,0.4608161151409149,0.18118004500865936
schools,0.20265154540538788,0.5004404783248901,0.2632134258747101,0.4608161151409149,1.0,0.18349280953407288
they,0.47879111766815186,0.24786719679832458,0.4330179989337921,0.2186330109834671,0.2753114104270935,0.2753053903579712
will,0.24651563167572021,0.2797069549560547,0.2580665349960327,0.19338317215442657,0.1632353961467743,0.35046905279159546
be,0.3371641933917999,0.14484289288520813,0.3481820821762085,0.18861138820648193,0.21943484246730804,0.3324260413646698
taught,0.35031798481941223,0.6811512112617493,0.24230356514453888,0.2790302038192749,0.47146323323249817,0.18297621607780457
by,0.39727845788002014,0.12209179252386093,0.370934396982193,0.16728177666664124,0.1415957361459732,0.17966607213020325
different,0.27202165126800537,0.24708688259124756,0.29409363865852356,0.23539356887340546,0.26064151525497437,0.24476227164268494
subject,0.29749795794487,0.20933876931667328,0.21163184940814972,0.24467876553535461,0.18936215341091156,0.33952999114990234
specialists,0.3290542960166931,0.2734455168247223,0.22513392567634583,0.2110837996006012,0.3303689956665039,0.21253392100334167
each,0.27337536215782166,0.20253150165081024,0.30816060304641724,0.15601424872875214,0.17114314436912537,0.21173812448978424
session,0.198623925447464,0.11298039555549622,0.18112674355506897,0.10256567597389221,0.1450367569923401,0.1393868774175644
during,0.30551859736442566,0.1458720862865448,0.4627237319946289,0.122556172311306,0.17017436027526855,0.1325719803571701
the,0.3733934462070465,0.2156836986541748,0.6662389636039734,0.21037471294403076,0.22905772924423218,0.22068053483963013
week,0.23591622710227966,0.141897514462471,0.2674444317817688,0.15182945132255554,0.17903921008110046,0.25105318427085876
and,0.41279885172843933,0.2922661602497101,0.4954058527946472,0.25317713618278503,0.29319998621940613,0.20544172823429108
may,0.23082798719406128,0.1512547731399536,0.3424151837825775,0.19691133499145508,0.1841869205236435,0.2768254578113556
have,0.39246654510498047,0.19759957492351532,0.36843645572662354,0.26402509212493896,0.26828762888908386,0.32991164922714233
ten,0.23325704038143158,0.21832458674907684,0.29515787959098816,0.1076163575053215,0.17895761132240295,0.14471080899238586
or,0.31144875288009644,0.18951046466827393,0.3586423695087433,0.25993385910987854,0.23524631559848785,0.32389625906944275
more,0.31567877531051636,0.17391745746135712,0.32563260197639465,0.22558999061584473,0.16193780303001404,0.27894994616508484
different,0.27202165126800537,0.24708688259124756,0.29409363865852356,0.23539356887340546,0.26064151525497437,0.24476227164268494
teachers,0.34250906109809875,0.6691735982894897,0.2128150761127472,0.3669242858886719,0.5533654689788818,0.19522249698638916
.,0.3541337847709656,0.24135710299015045,0.5591574311256409,0.195527583360672,0.2752705216407776,0.4130953550338745
,who,teaches,in,secondary,schools,?
perhaps,0.33160731196403503,0.17371660470962524,0.2746174931526184,0.2211524099111557,0.18623580038547516,0.4211712181568146
the,0.3733934462070465,0.2156836986541748,0.6662389636039734,0.21037471294403076,0.22905772924423218,0.22068053483963013
most,0.35393568873405457,0.19909395277500153,0.41416558623313904,0.1875225156545639,0.19526082277297974,0.2107497900724411
significant,0.18698793649673462,0.16260285675525665,0.3551969528198242,0.3155392110347748,0.2187889814376831,0.18679562211036682
difference,0.19094978272914886,0.18658366799354553,0.2025471031665802,0.149661585688591,0.11974675208330154,0.2842230200767517
between,0.20718061923980713,0.11516191810369492,0.41100412607192993,0.15733219683170319,0.08330926299095154,0.12887074053287506
primary,0.15416203439235687,0.29301729798316956,0.21150650084018707,0.6853594779968262,0.38384848833084106,0.16286636888980865
school,0.21669194102287292,0.498202919960022,0.26157811284065247,0.5113044381141663,0.7602541446685791,0.15091250836849213
and,0.41279885172843933,0.2922661602497101,0.4954058527946472,0.25317713618278503,0.29319998621940613,0.20544172823429108
secondary,0.12706179916858673,0.3295938968658447,0.2103116512298584,1.0,0.4608161151409149,0.18118004500865936
school,0.21669194102287292,0.498202919960022,0.26157811284065247,0.5113044381141663,0.7602541446685791,0.15091250836849213
teaching,0.2535073459148407,0.7201090455055237,0.2659059166908264,0.299221932888031,0.4864482283592224,0.20424684882164001
is,0.24293622374534607,0.2536129355430603,0.5394441485404968,0.19772830605506897,0.2022145688533783,0.22961433231830597
the,0.3733934462070465,0.2156836986541748,0.6662389636039734,0.21037471294403076,0.22905772924423218,0.22068053483963013
relationship,0.2678191661834717,0.2762514650821686,0.20233847200870514,0.10844694077968597,0.07695848494768143,0.11361731588840485
between,0.20718061923980713,0.11516191810369492,0.41100412607192993,0.15733219683170319,0.08330926299095154,0.12887074053287506
teachers,0.34250906109809875,0.6691735982894897,0.2128150761127472,0.3669242858886719,0.5533654689788818,0.19522249698638916
and,0.41279885172843933,0.2922661602497101,0.4954058527946472,0.25317713618278503,0.29319998621940613,0.20544172823429108
children,0.344171404838562,0.3535197377204895,0.2065156251192093,0.22293445467948914,0.3170471489429474,0.21788206696510315
.,0.3541337847709656,0.24135710299015045,0.5591574311256409,0.195527583360672,0.2752705216407776,0.4130953550338745
