,how,did,the,drive,end,for,the,panthers,?
the,0.33890387415885925,0.34736719727516174,1.0,0.2083187699317932,0.39658910036087036,0.4739971458911896,1.0,0.2602776288986206,0.22068053483963013
panthers,0.1117783859372139,0.189295694231987,0.2602776288986206,0.1978069394826889,0.14626342058181763,0.25358447432518005,0.2602776288986206,0.9999999403953552,0.16608978807926178
could,0.47830453515052795,0.6308382749557495,0.35393214225769043,0.24801388382911682,0.1979013830423355,0.3405117690563202,0.35393214225769043,0.11824291944503784,0.3411986827850342
not,0.4869767427444458,0.6481515765190125,0.4310511648654938,0.23259197175502777,0.26028093695640564,0.39280617237091064,0.4310511648654938,0.17379304766654968,0.41942933201789856
gain,0.22131459414958954,0.2568015456199646,0.2682225704193115,0.24131964147090912,0.1976252645254135,0.2699543833732605,0.2682225704193115,0.16974183917045593,0.1417919248342514
any,0.38858675956726074,0.37563082575798035,0.4525727927684784,0.19474758207798004,0.1760159134864807,0.3944643437862396,0.4525727927684784,0.16212840378284454,0.4113408327102661
yards,0.1345205456018448,0.11230118572711945,0.16070343554019928,0.2445821315050125,0.24791282415390015,0.21746347844600677,0.16070343554019928,0.33815330266952515,0.12453813850879669
with,0.3525622487068176,0.25472134351730347,0.4223487675189972,0.1761467009782791,0.23444485664367676,0.39140474796295166,0.4223487675189972,0.23276561498641968,0.2433311939239502
their,0.3316696584224701,0.38078752160072327,0.516537070274353,0.17822641134262085,0.20139017701148987,0.3406745493412018,0.516537070274353,0.20130555331707,0.1898253709077835
possession,0.12926596403121948,0.20703311264514923,0.3067890703678131,0.1875133216381073,0.27305111289024353,0.2302606850862503,0.3067890703678131,0.15780769288539886,0.06212200969457626
and,0.33647966384887695,0.34479495882987976,0.5171257257461548,0.19344621896743774,0.24708716571331024,0.5064792633056641,0.5171257257461548,0.2230100929737091,0.20544172823429108
had,0.2549138069152832,0.540525496006012,0.3875846862792969,0.16837109625339508,0.23549215495586395,0.3270139992237091,0.3875846862792969,0.1570805162191391,0.20728366076946259
to,0.44169697165489197,0.4452643394470215,0.535392165184021,0.291306734085083,0.3229445815086365,0.4451248347759247,0.535392165184021,0.2185782641172409,0.29463258385658264
