,where,was,luther,buried,?
he,0.3705328106880188,0.5410010814666748,0.2454872578382492,0.25827285647392273,0.2089974731206894
was,0.20731619000434875,1.0000001192092896,0.19185513257980347,0.28686758875846863,0.18412111699581146
buried,0.2863103151321411,0.28686758875846863,0.13013260066509247,1.0,0.18487362563610077
in,0.5344807505607605,0.45514053106307983,0.20523880422115326,0.2989335358142853,0.20430970191955566
the,0.5003893971443176,0.48711544275283813,0.1759674996137619,0.22264255583286285,0.22068053483963013
castle,0.19829235970973969,0.19402529299259186,0.2115333378314972,0.25209105014801025,0.0871945396065712
church,0.173080712556839,0.24960921704769135,0.379041463136673,0.30806776881217957,0.18081501126289368
in,0.5344807505607605,0.45514053106307983,0.20523880422115326,0.2989335358142853,0.20430970191955566
wittenberg,0.20689909160137177,0.23245899379253387,0.42518264055252075,0.20676159858703613,0.15716047585010529
",",0.3149496018886566,0.45456063747406006,0.23255878686904907,0.2683870196342468,0.31091248989105225
beneath,0.32860270142555237,0.19620998203754425,0.15082542598247528,0.34799087047576904,0.16626206040382385
the,0.5003893971443176,0.48711544275283813,0.1759674996137619,0.22264255583286285,0.22068053483963013
pulpit,0.2702467143535614,0.2473602294921875,0.23004886507987976,0.3032113015651703,0.11068762838840485
.,0.41390106081962585,0.40146201848983765,0.24907569587230682,0.2254612147808075,0.4130953550338745
