,what,did,tesla,write,?
tesla,0.23221199214458466,0.09757418930530548,0.9999999403953552,0.15683120489120483,0.10250775516033173
wrote,0.2664989233016968,0.3485160768032074,0.13169313967227936,0.6017370820045471,0.19322504103183746
a,0.3320399522781372,0.2552328109741211,0.2211925983428955,0.29025161266326904,0.23916715383529663
number,0.23046229779720306,0.19046731293201447,0.1560482233762741,0.20175834000110626,0.19256845116615295
of,0.33290785551071167,0.2513895630836487,0.18837453424930573,0.2147456258535385,0.1826142966747284
books,0.2542080581188202,0.20507213473320007,0.1716867834329605,0.37761610746383667,0.1897611767053604
and,0.31309178471565247,0.34479495882987976,0.19560420513153076,0.2489921897649765,0.20544172823429108
articles,0.3181003928184509,0.23725460469722748,0.12904474139213562,0.3986265957355499,0.44680753350257874
for,0.3017193675041199,0.318512886762619,0.13983871042728424,0.3243878483772278,0.264628142118454
magazines,0.16839107871055603,0.18087013065814972,0.2259340137243271,0.3089856207370758,0.16371843218803406
and,0.31309178471565247,0.34479495882987976,0.19560420513153076,0.2489921897649765,0.20544172823429108
journals,0.2234715223312378,0.21560156345367432,0.12348196655511856,0.30739933252334595,0.15727466344833374
.,0.3567904531955719,0.35288307070732117,0.17949827015399933,0.2647448778152466,0.4130953550338745
