,under,what,treaty,can,the,european,commission,take,action,against,member,states,?
in,0.2535393238067627,0.30808621644973755,0.22333456575870514,0.26527702808380127,0.6662389636039734,0.23319172859191895,0.21326816082000732,0.21975718438625336,0.22362500429153442,0.27273955941200256,0.20856694877147675,0.3977442979812622,0.20430970191955566
case,0.18966875970363617,0.30770957469940186,0.14668002724647522,0.33999165892601013,0.31022098660469055,0.15781351923942566,0.1518445461988449,0.24435067176818848,0.2091820389032364,0.2902982532978058,0.1347411572933197,0.24035236239433289,0.33232852816581726
of,0.32766106724739075,0.33290785551071167,0.2602092921733856,0.2603091299533844,0.733189046382904,0.2507138252258301,0.2698368728160858,0.29282352328300476,0.23570318520069122,0.2669808566570282,0.2701796889305115,0.30884552001953125,0.1826142966747284
european,0.17218957841396332,0.15324164927005768,0.25059598684310913,0.14084136486053467,0.3423081040382385,0.9999998807907104,0.32984089851379395,0.14595600962638855,0.1562477946281433,0.19689327478408813,0.24138560891151428,0.25554242730140686,0.14560863375663757
union,0.1701658070087433,0.1396910548210144,0.3147597312927246,0.1335739940404892,0.24421639740467072,0.3571677803993225,0.3547646701335907,0.15059058368206024,0.17619958519935608,0.1828596144914627,0.23030449450016022,0.30693942308425903,0.07797172665596008
law,0.2181660532951355,0.2145031988620758,0.3302869200706482,0.13600260019302368,0.24548950791358948,0.17164482176303864,0.3065055310726166,0.2008979618549347,0.18531733751296997,0.24199452996253967,0.17515966296195984,0.2508668601512909,0.1528988480567932
which,0.3235377371311188,0.5261979103088379,0.19969318807125092,0.41132649779319763,0.6521818041801453,0.2234036773443222,0.25648555159568787,0.28362178802490234,0.3008856773376465,0.27554041147232056,0.19141918420791626,0.27476921677589417,0.25814583897590637
should,0.20660139620304108,0.43830034136772156,0.20134873688220978,0.5246878266334534,0.32399165630340576,0.16059307754039764,0.18045730888843536,0.3207302391529083,0.2461521178483963,0.19096139073371887,0.11749188601970673,0.18785713613033295,0.4442402422428131
have,0.2579502761363983,0.39808809757232666,0.1485895961523056,0.5489245653152466,0.40389683842658997,0.19048169255256653,0.1714901328086853,0.43728798627853394,0.25991854071617126,0.2534869611263275,0.17082428932189941,0.20162390172481537,0.32991164922714233
been,0.2124975323677063,0.2567804455757141,0.1330602616071701,0.3498430848121643,0.3563927710056305,0.1689886897802353,0.20047038793563843,0.22784483432769775,0.18758675456047058,0.15748360753059387,0.23737095296382904,0.20674076676368713,0.24354910850524902
transposed,0.21985729038715363,0.27279844880104065,0.10883445292711258,0.30283263325691223,0.28017377853393555,0.12809313833713531,0.18760643899440765,0.21621182560920715,0.20218345522880554,0.1364631950855255,0.11174643039703369,0.10632941126823425,0.23191750049591064
