,what,causes,the,symptoms,of,inflammation,?
the,0.42745697498321533,0.2518732249736786,1.0,0.20678415894508362,0.733189046382904,0.2567841410636902,0.22068053483963013
symptoms,0.23864661157131195,0.4313627779483795,0.20678415894508362,0.9999999403953552,0.19591152667999268,0.654405951499939,0.23707963526248932
of,0.33290785551071167,0.2544642984867096,0.733189046382904,0.19591152667999268,1.0,0.24866501986980438,0.1826142966747284
inflammation,0.24853453040122986,0.4297538995742798,0.2567841410636902,0.654405951499939,0.24866501986980438,0.9999999403953552,0.2187519371509552
are,0.29724663496017456,0.21512891352176666,0.40399202704429626,0.2776440382003784,0.39081433415412903,0.301786333322525,0.24591213464736938
redness,0.288022518157959,0.41695407032966614,0.26955121755599976,0.5977432131767273,0.23540548980236053,0.6087635159492493,0.1501450091600418
",",0.3087472915649414,0.3057606518268585,0.4933079481124878,0.16883140802383423,0.4946078956127167,0.21966072916984558,0.31091248989105225
swelling,0.26604315638542175,0.43272846937179565,0.3147326111793518,0.5486969351768494,0.24730966985225677,0.6978790163993835,0.21071715652942657
",",0.3087472915649414,0.3057606518268585,0.4933079481124878,0.16883140802383423,0.4946078956127167,0.21966072916984558,0.31091248989105225
heat,0.1933984011411667,0.30277425050735474,0.2556036710739136,0.26563113927841187,0.19590096175670624,0.30841556191444397,0.16343188285827637
",",0.3087472915649414,0.3057606518268585,0.4933079481124878,0.16883140802383423,0.4946078956127167,0.21966072916984558,0.31091248989105225
and,0.31309178471565247,0.2964467406272888,0.5171257257461548,0.18789039552211761,0.5116966962814331,0.2020522803068161,0.20544172823429108
pain,0.2744910418987274,0.3108890652656555,0.20108363032341003,0.5577808618545532,0.19741584360599518,0.5623853802680969,0.2135392427444458
",",0.3087472915649414,0.3057606518268585,0.4933079481124878,0.16883140802383423,0.4946078956127167,0.21966072916984558,0.31091248989105225
which,0.5261979103088379,0.2707224190235138,0.6521818041801453,0.2546262741088867,0.5011631846427917,0.3527457118034363,0.25814583897590637
are,0.29724663496017456,0.21512891352176666,0.40399202704429626,0.2776440382003784,0.39081433415412903,0.301786333322525,0.24591213464736938
caused,0.22264783084392548,0.6158874034881592,0.24990202486515045,0.3939268887042999,0.29665443301200867,0.4297589659690857,0.20679491758346558
by,0.2455483376979828,0.12588612735271454,0.4408751428127289,0.09846382588148117,0.3646814823150635,0.1914810687303543,0.17966607213020325
increased,0.1599731743335724,0.3188677430152893,0.3188653886318207,0.2553723454475403,0.3371390700340271,0.3390357792377472,0.09587585180997849
blood,0.15800324082374573,0.23863039910793304,0.2815113961696625,0.32318294048309326,0.2294820100069046,0.4603555202484131,0.156274676322937
flow,0.1798735409975052,0.2830076515674591,0.314039409160614,0.26498159766197205,0.2407451719045639,0.33603039383888245,0.10458291321992874
into,0.2180619090795517,0.22197946906089783,0.39493247866630554,0.1306707262992859,0.32255905866622925,0.22197160124778748,0.15662476420402527
tissue,0.21392318606376648,0.26304420828819275,0.2186083048582077,0.3882506787776947,0.22979585826396942,0.5724664330482483,0.17040768265724182
.,0.3567904531955719,0.26090872287750244,0.5934505462646484,0.2065049260854721,0.5352458953857422,0.2382277250289917,0.4130953550338745
