,which,book,discussed,the,theory,about,low,populations,in,the,amazon,rainforest,?
archeologist,0.11460062116384506,0.25419485569000244,0.24436932802200317,0.210653156042099,0.21334797143936157,0.20725789666175842,0.06697478145360947,0.164764404296875,0.24827907979488373,0.210653156042099,0.12172019481658936,0.2049216330051422,0.16521774232387543
betty,0.1329135298728943,0.20876534283161163,0.08397046476602554,0.15101419389247894,0.12238969653844833,0.18381014466285706,0.0724279135465622,0.10887622833251953,0.17819830775260925,0.15101419389247894,0.03930913284420967,0.13209055364131927,0.13832208514213562
meggers,0.2492765635251999,0.26033300161361694,0.16324710845947266,0.2656703293323517,0.1909518539905548,0.25648215413093567,0.1384688764810562,0.19925443828105927,0.2737497389316559,0.2656703293323517,0.1924430876970291,0.20133766531944275,0.20317037403583527
was,0.2830964922904968,0.24848085641860962,0.21981795132160187,0.48711544275283813,0.18278326094150543,0.2577359974384308,0.18105973303318024,0.1152937039732933,0.45514053106307983,0.48711544275283813,0.14616160094738007,0.13883572816848755,0.18412111699581146
a,0.56894451379776,0.19186489284038544,0.20171397924423218,0.5829201340675354,0.2233850657939911,0.34171196818351746,0.24393533170223236,0.20712152123451233,0.539380669593811,0.5829201340675354,0.1865728348493576,0.2497720569372177,0.23916715383529663
prominent,0.2020394504070282,0.12034840881824493,0.2528071105480194,0.30881059169769287,0.10106693208217621,0.11564762145280838,0.15061253309249878,0.23140065371990204,0.3156912922859192,0.30881059169769287,0.13690361380577087,0.11667139828205109,0.12940338253974915
proponent,0.18101456761360168,0.23656362295150757,0.34911829233169556,0.2463405430316925,0.4336831867694855,0.12094998359680176,0.1441006362438202,0.2050195187330246,0.19235078990459442,0.2463405430316925,0.08247791230678558,0.0924324095249176,0.19390621781349182
of,0.5011631846427917,0.22602593898773193,0.23115433752536774,0.733189046382904,0.23506702482700348,0.40939709544181824,0.27171993255615234,0.2561377286911011,0.5696388483047485,0.733189046382904,0.20143137872219086,0.22522282600402832,0.1826142966747284
this,0.6719430088996887,0.2779081463813782,0.45342808961868286,0.6274310946464539,0.2884212136268616,0.3886062204837799,0.29596036672592163,0.2236473262310028,0.45205554366111755,0.6274310946464539,0.15259569883346558,0.23467609286308289,0.3155723512172699
idea,0.3808409571647644,0.2921050488948822,0.47067612409591675,0.2839161455631256,0.4957911968231201,0.31409743428230286,0.20000943541526794,0.13988442718982697,0.20288406312465668,0.2839161455631256,0.13118991255760193,0.16100867092609406,0.2952161729335785
