,what,is,grown,in,the,fertile,highlands,?
tea,0.1909407526254654,0.15645386278629303,0.2675263583660126,0.21426554024219513,0.206143319606781,0.24496957659721375,0.13137979805469513,0.18135163187980652
",",0.3087472915649414,0.4691906273365021,0.25960081815719604,0.5201468467712402,0.4933079481124878,0.2180381566286087,0.26254189014434814,0.31091248989105225
coffee,0.20077385008335114,0.20989219844341278,0.34038934111595154,0.20177122950553894,0.20381483435630798,0.289996862411499,0.19272242486476898,0.1695348024368286
",",0.3087472915649414,0.4691906273365021,0.25960081815719604,0.5201468467712402,0.4933079481124878,0.2180381566286087,0.26254189014434814,0.31091248989105225
sisal,0.16745023429393768,0.22336159646511078,0.27213749289512634,0.2288944572210312,0.24630670249462128,0.3161654472351074,0.1889210343360901,0.15308451652526855
",",0.3087472915649414,0.4691906273365021,0.25960081815719604,0.5201468467712402,0.4933079481124878,0.2180381566286087,0.26254189014434814,0.31091248989105225
pyrethrum,0.28946346044540405,0.32292482256889343,0.2040572464466095,0.2643435001373291,0.3662496507167816,0.347336083650589,0.3303910493850708,0.2123098075389862
",",0.3087472915649414,0.4691906273365021,0.25960081815719604,0.5201468467712402,0.4933079481124878,0.2180381566286087,0.26254189014434814,0.31091248989105225
corn,0.12267018109560013,0.18285128474235535,0.3993558883666992,0.23453085124492645,0.22435466945171356,0.33694252371788025,0.18890388309955597,0.13911280035972595
",",0.3087472915649414,0.4691906273365021,0.25960081815719604,0.5201468467712402,0.4933079481124878,0.2180381566286087,0.26254189014434814,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.26622989773750305,0.4954058527946472,0.5171257257461548,0.28312990069389343,0.2865442633628845,0.20544172823429108
wheat,0.21901889145374298,0.18289156258106232,0.4357646703720093,0.1799127757549286,0.24601414799690247,0.4576016068458557,0.29762837290763855,0.1310781091451645
are,0.29724663496017456,0.5330929756164551,0.2817463278770447,0.3841303884983063,0.40399202704429626,0.2428940236568451,0.28463372588157654,0.24591213464736938
grown,0.1829942911863327,0.23424078524112701,0.9999998807907104,0.25265464186668396,0.27443811297416687,0.41415444016456604,0.24919351935386658,0.10581663250923157
in,0.30808621644973755,0.5394441485404968,0.25265464186668396,1.0,0.6662389636039734,0.24829789996147156,0.27591952681541443,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.27443811297416687,0.6662389636039734,1.0,0.27471983432769775,0.28319621086120605,0.22068053483963013
fertile,0.19595134258270264,0.25815796852111816,0.41415444016456604,0.24829789996147156,0.27471983432769775,0.9999999403953552,0.4044334888458252,0.13105744123458862
highlands,0.15193462371826172,0.2603209316730499,0.24919351935386658,0.27591952681541443,0.28319621086120605,0.4044334888458252,1.0,0.07737036049365997
",",0.3087472915649414,0.4691906273365021,0.25960081815719604,0.5201468467712402,0.4933079481124878,0.2180381566286087,0.26254189014434814,0.31091248989105225
one,0.376489520072937,0.4544198513031006,0.2480573058128357,0.4129433035850525,0.5514441132545471,0.24834124743938446,0.16656696796417236,0.2673267424106598
of,0.33290785551071167,0.4854315221309662,0.2827320992946625,0.5696388483047485,0.733189046382904,0.2633076310157776,0.2648669183254242,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.27443811297416687,0.6662389636039734,1.0,0.27471983432769775,0.28319621086120605,0.22068053483963013
most,0.3219912350177765,0.41165053844451904,0.2589341998100281,0.41416558623313904,0.47635307908058167,0.21527229249477386,0.2264741212129593,0.2107497900724411
successful,0.16902779042720795,0.24266567826271057,0.14720124006271362,0.2864660918712616,0.31354787945747375,0.16008907556533813,0.12395770102739334,0.1132197454571724
agricultural,0.17047324776649475,0.20706014335155487,0.46340516209602356,0.2751860022544861,0.2716485559940338,0.502618134021759,0.3808896243572235,0.0713675245642662
production,0.16636081039905548,0.19756923615932465,0.25269317626953125,0.22079120576381683,0.2657334506511688,0.2699694037437439,0.16341206431388855,0.19318072497844696
regions,0.22129066288471222,0.28507089614868164,0.288015753030777,0.3232547640800476,0.36158451437950134,0.2771646976470947,0.3631027340888977,0.11608363687992096
in,0.30808621644973755,0.5394441485404968,0.25265464186668396,1.0,0.6662389636039734,0.24829789996147156,0.27591952681541443,0.20430970191955566
africa,0.19696469604969025,0.18992355465888977,0.2345396876335144,0.27806714177131653,0.2903064787387848,0.23953242599964142,0.30853375792503357,0.12926554679870605
.,0.3567904531955719,0.4569662809371948,0.31161388754844666,0.5591574311256409,0.5934505462646484,0.235748752951622,0.20945154130458832,0.4130953550338745
