,the,social,chapter,is,a,chapter,of,what,treaty,?
the,1.0,0.21797899901866913,0.29158273339271545,0.5823672413825989,0.5829201340675354,0.29158273339271545,0.733189046382904,0.42745697498321533,0.2690109610557556,0.22068053483963013
social,0.21797899901866913,1.0,0.09733142703771591,0.15944984555244446,0.2286769598722458,0.09733142703771591,0.2605111300945282,0.22217629849910736,0.17468462884426117,0.1615191102027893
chapter,0.29158273339271545,0.09733142703771591,1.0,0.15567126870155334,0.20562730729579926,1.0,0.2976560592651367,0.25136247277259827,0.13891063630580902,0.20212359726428986
is,0.5823672413825989,0.15944984555244446,0.15567126870155334,1.0,0.658733606338501,0.15567126870155334,0.4854315221309662,0.28837618231773376,0.17603619396686554,0.22961433231830597
a,0.5829201340675354,0.2286769598722458,0.20562730729579926,0.658733606338501,1.0,0.20562730729579926,0.5052502155303955,0.3320399522781372,0.14753150939941406,0.23916715383529663
chapter,0.29158273339271545,0.09733142703771591,1.0,0.15567126870155334,0.20562730729579926,1.0,0.2976560592651367,0.25136247277259827,0.13891063630580902,0.20212359726428986
of,0.733189046382904,0.2605111300945282,0.2976560592651367,0.4854315221309662,0.5052502155303955,0.2976560592651367,1.0,0.33290785551071167,0.2602092921733856,0.1826142966747284
the,1.0,0.21797899901866913,0.29158273339271545,0.5823672413825989,0.5829201340675354,0.29158273339271545,0.733189046382904,0.42745697498321533,0.2690109610557556,0.22068053483963013
1997,0.017451778054237366,0.010246951133012772,0.006828409153968096,-0.07258156687021255,-0.015615028329193592,0.006828409153968096,-0.0036389639135450125,0.09033724665641785,0.06982419639825821,0.03663474693894386
treaty,0.2690109610557556,0.17468462884426117,0.13891063630580902,0.17603619396686554,0.14753150939941406,0.13891063630580902,0.2602092921733856,0.17237819731235504,1.0,0.1174844279885292
of,0.733189046382904,0.2605111300945282,0.2976560592651367,0.4854315221309662,0.5052502155303955,0.2976560592651367,1.0,0.33290785551071167,0.2602092921733856,0.1826142966747284
amsterdam,0.18500292301177979,0.1407994031906128,0.0745786800980568,0.12436121702194214,0.170244500041008,0.0745786800980568,0.1580076962709427,0.09970812499523163,0.1715167909860611,0.1401052325963974
covering,0.36934760212898254,0.1261579394340515,0.20531228184700012,0.3053378760814667,0.28134289383888245,0.20531228184700012,0.3818558156490326,0.20346681773662567,0.0909675657749176,0.10643069446086884
social,0.21797899901866913,1.0,0.09733142703771591,0.15944984555244446,0.2286769598722458,0.09733142703771591,0.2605111300945282,0.22217629849910736,0.17468462884426117,0.1615191102027893
policy,0.2358427494764328,0.2632748484611511,0.2070501446723938,0.15952111780643463,0.17720282077789307,0.2070501446723938,0.24393197894096375,0.3869883120059967,0.33541345596313477,0.30462446808815
issues,0.2638932764530182,0.3227478265762329,0.17768114805221558,0.17773117125034332,0.24391965568065643,0.17768114805221558,0.2288406491279602,0.33279702067375183,0.22425545752048492,0.320565789937973
in,0.6662389636039734,0.23382627964019775,0.17266090214252472,0.5394441485404968,0.539380669593811,0.17266090214252472,0.5696388483047485,0.30808621644973755,0.22333456575870514,0.20430970191955566
european,0.3423081040382385,0.27265316247940063,0.07376755774021149,0.16083641350269318,0.2254103124141693,0.07376755774021149,0.2507138252258301,0.15324164927005768,0.25059598684310913,0.14560863375663757
union,0.24421639740467072,0.23838411271572113,0.0673738420009613,0.16997112333774567,0.18140026926994324,0.0673738420009613,0.2642118036746979,0.1396910548210144,0.3147597312927246,0.07797172665596008
law,0.24548950791358948,0.2401062548160553,0.2126968950033188,0.18597714602947235,0.2212858349084854,0.2126968950033188,0.2816956341266632,0.2145031988620758,0.3302869200706482,0.1528988480567932
.,0.5934505462646484,0.2614770531654358,0.2298034280538559,0.4569662809371948,0.50484299659729,0.2298034280538559,0.5352458953857422,0.3567904531955719,0.17410176992416382,0.4130953550338745
