,what,is,the,scale,used,to,measure,the,strength,of,hurricanes,called,?
the,0.42745697498321533,0.5823672413825989,1.0,0.1833842247724533,0.3718377649784088,0.535392165184021,0.2528008222579956,1.0,0.22000056505203247,0.733189046382904,0.2501886188983917,0.489897221326828,0.22068053483963013
eye,0.22106365859508514,0.20801734924316406,0.21123464405536652,0.18442769348621368,0.11713627725839615,0.196841299533844,0.1980239599943161,0.21123464405536652,0.18470622599124908,0.16133038699626923,0.22970591485500336,0.14870113134384155,0.13150765001773834
crossed,0.182399183511734,0.14904583990573883,0.3004564642906189,0.07973306626081467,0.1677141934633255,0.22881387174129486,0.07856310158967972,0.3004564642906189,0.33543479442596436,0.21417555212974548,0.222615048289299,0.18165706098079681,0.15642015635967255
st.,0.10219959169626236,0.16120703518390656,0.18141359090805054,0.04867882654070854,0.19173955917358398,0.20982599258422852,0.11535681039094925,0.18141359090805054,0.2044697105884552,0.19887582957744598,0.05346173793077469,0.20085439085960388,0.13592876493930817
augustine,0.24251607060432434,0.23594476282596588,0.23652029037475586,0.15844619274139404,0.14327161014080048,0.154807448387146,0.1018960028886795,0.23652029037475586,0.19850966334342957,0.2518827021121979,0.20901371538639069,0.13712814450263977,0.21213193237781525
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.18137779831886292,0.3047430217266083,0.4239959120750427,0.20861971378326416,0.4223487675189972,0.18305708467960358,0.41827285289764404,0.2377760112285614,0.3139074146747589,0.2433311939239502
winds,0.18654604256153107,0.2068391889333725,0.2427695244550705,0.21658167243003845,0.1325049102306366,0.22334370017051697,0.24187733232975006,0.2427695244550705,0.436901718378067,0.21783238649368286,0.5755301117897034,0.11028445512056351,0.1398162990808487
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.24862223863601685,0.37621384859085083,0.5436353087425232,0.3084415793418884,0.5473989248275757,0.28473690152168274,0.41498205065727234,0.24392233788967133,0.41604554653167725,0.32716336846351624
had,0.23849567770957947,0.2932159900665283,0.3875846862792969,0.15672510862350464,0.2477826625108719,0.37984350323677063,0.24047966301441193,0.3875846862792969,0.21061596274375916,0.37755560874938965,0.17783616483211517,0.31333738565444946,0.20728366076946259
just,0.5854880809783936,0.369599312543869,0.40061673521995544,0.20890310406684875,0.28185296058654785,0.5153104066848755,0.2597690522670746,0.40061673521995544,0.23119346797466278,0.35124439001083374,0.2878364622592926,0.2897645831108093,0.4144178032875061
barely,0.31499648094177246,0.21396255493164062,0.2648068964481354,0.15597869455814362,0.16566546261310577,0.3268396258354187,0.24474415183067322,0.2648068964481354,0.20802699029445648,0.20140549540519714,0.21451681852340698,0.09788741171360016,0.2686871886253357
diminished,0.2555038034915924,0.19851166009902954,0.30645841360092163,0.2809292674064636,0.29693642258644104,0.27824145555496216,0.33308306336402893,0.30645841360092163,0.31669217348098755,0.27740272879600525,0.29915210604667664,0.2532246708869934,0.15964849293231964
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.18474817276000977,0.40058770775794983,1.0,0.2774736285209656,0.535392165184021,0.2638579308986664,0.41548454761505127,0.22667355835437775,0.2987143397331238,0.29463258385658264
110,0.07685434818267822,0.1316434144973755,0.16358928382396698,0.004143687430769205,0.0669037401676178,0.1264180690050125,0.02435394935309887,0.16358928382396698,0.03697016462683678,0.1568228155374527,-0.026595398783683777,0.12680703401565552,-0.020000919699668884
mph,0.2101404219865799,0.14230908453464508,0.17937184870243073,0.23999154567718506,0.1362799108028412,0.21559688448905945,0.2571668326854706,0.17937184870243073,0.41120338439941406,0.14698775112628937,0.5177105069160461,0.05432755872607231,0.15188822150230408
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.1375715285539627,0.19005385041236877,0.30882009863853455,0.1863236427307129,0.33289089798927307,0.1642753630876541,0.35032153129577637,0.20029209554195404,0.2546432614326477,0.40561532974243164
180,0.1435280293226242,0.15693804621696472,0.08750838786363602,0.1440248340368271,0.16871191561222076,0.19752362370491028,0.2142191380262375,0.08750838786363602,0.1258126050233841,0.06245020776987076,0.10898417979478836,0.059218838810920715,0.12062747031450272
km/h,0.2144847959280014,0.11993075907230377,0.17834779620170593,0.2360966056585312,0.13665051758289337,0.17167755961418152,0.2564277648925781,0.17834779620170593,0.3789518177509308,0.11389811336994171,0.44587305188179016,0.0623156763613224,0.17054446041584015
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.17252422869205475,0.1905621439218521,0.31236231327056885,0.1701265126466751,0.3456730246543884,0.16607120633125305,0.3680361211299896,0.17958612740039825,0.273923397064209,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.16146816313266754,0.3120402991771698,0.44245919585227966,0.18738344311714172,0.4933079481124878,0.20631180703639984,0.4946078956127167,0.2549288272857666,0.26549121737480164,0.31091248989105225
making,0.30777570605278015,0.3214159309864044,0.35185980796813965,0.2081841081380844,0.29236799478530884,0.3740498423576355,0.26760151982307434,0.35185980796813965,0.20852744579315186,0.3250596821308136,0.2062685787677765,0.2689976096153259,0.2539324164390564
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.16769419610500336,0.3575260639190674,0.513711154460907,0.26732394099235535,0.6251175999641418,0.22082681953907013,0.38761502504348755,0.2244129478931427,0.3402029573917389,0.25732165575027466
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2199064940214157,0.3864384889602661,0.45503583550453186,0.2953258156776428,0.5829201340675354,0.22778591513633728,0.5052502155303955,0.19876685738563538,0.4868806302547455,0.23916715383529663
strong,0.19839218258857727,0.24643836915493011,0.22482411563396454,0.1754000037908554,0.25524452328681946,0.2913058400154114,0.23541265726089478,0.22482411563396454,0.4941543936729431,0.2524286210536957,0.2859719693660736,0.2053908407688141,0.11990999430418015
category,0.22909165918827057,0.1963299959897995,0.23679770529270172,0.26069778203964233,0.21842429041862488,0.2317419797182083,0.15159916877746582,0.23679770529270172,0.3145378828048706,0.18799246847629547,0.41486674547195435,0.1415417492389679,0.2558678686618805
2,-0.049862053245306015,-0.07940074801445007,-0.019434669986367226,-0.08559881895780563,0.04418706148862839,-0.0836251974105835,-0.016793834045529366,-0.019434669986367226,-0.09981955587863922,-0.013777675107121468,-0.003424696624279022,-0.033458780497312546,0.001977203879505396
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.21774359047412872,0.24785758554935455,0.41031414270401,0.1926666796207428,0.5107308030128479,0.20588000118732452,0.3966929316520691,0.16868923604488373,0.25462663173675537,0.2714994251728058
the,0.42745697498321533,0.5823672413825989,1.0,0.1833842247724533,0.3718377649784088,0.535392165184021,0.2528008222579956,1.0,0.22000056505203247,0.733189046382904,0.2501886188983917,0.489897221326828,0.22068053483963013
saffir-simpson,0.23798950016498566,0.25087326765060425,0.30724695324897766,0.42224594950675964,0.24298526346683502,0.25543370842933655,0.3018767535686493,0.30724695324897766,0.3826645016670227,0.25939300656318665,0.5214358568191528,0.15255112946033478,0.2648341655731201
scale,0.23262472450733185,0.18123696744441986,0.1833842247724533,1.0000001192092896,0.2797429859638214,0.18474817276000977,0.4164413809776306,0.1833842247724533,0.23918156325817108,0.19989530742168427,0.22106780111789703,0.20313367247581482,0.21142835915088654
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.23170605301856995,0.33111312985420227,0.4645031690597534,0.23919615149497986,0.5934505462646484,0.22830985486507416,0.5352458953857422,0.24201025068759918,0.300344854593277,0.4130953550338745
