,which,famous,germain,renaissance,painter,and,printmaker,is,represented,in,the,drawings,collection,of,the,v,&,a,?
the,0.6521818041801453,0.28616565465927124,0.2318618893623352,0.2050212025642395,0.11985713988542557,0.5171257257461548,0.1600121557712555,0.5823672413825989,0.3256146013736725,0.6662389636039734,1.0,0.19117170572280884,0.25281965732574463,0.733189046382904,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22068053483963013
collection,0.30199134349823,0.23276883363723755,0.12507131695747375,0.23197145760059357,0.24265965819358826,0.2379438579082489,0.3861389458179474,0.21135231852531433,0.1968824714422226,0.23004686832427979,0.25281965732574463,0.3887491524219513,0.9999998807907104,0.2915455996990204,0.25281965732574463,0.11078842729330063,0.18749947845935822,0.24716788530349731,0.20069393515586853
of,0.5011631846427917,0.3074295222759247,0.20441551506519318,0.21895526349544525,0.13828641176223755,0.5116966962814331,0.18844105303287506,0.4854315221309662,0.3891753554344177,0.5696388483047485,0.733189046382904,0.23873206973075867,0.2915455996990204,1.0,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.1826142966747284
drawings,0.23354779183864594,0.3058651387691498,0.20061592757701874,0.35374152660369873,0.43539613485336304,0.26347166299819946,0.5341688990592957,0.14478443562984467,0.20017090439796448,0.18445944786071777,0.19117170572280884,1.0000001192092896,0.3887491524219513,0.23873206973075867,0.19117170572280884,0.08071447908878326,0.14873763918876648,0.15433108806610107,0.15541397035121918
includes,0.36315640807151794,0.2944819927215576,0.09162973612546921,0.12362635880708694,0.03247601538896561,0.3265656530857086,0.15370018780231476,0.4033885896205902,0.21544957160949707,0.32460328936576843,0.3388250470161438,0.2228592187166214,0.3749653398990631,0.4359378218650818,0.3388250470161438,0.036025527864694595,0.27284300327301025,0.25086286664009094,0.14011523127555847
over,0.4256240129470825,0.2533319890499115,0.1090276762843132,0.14678719639778137,0.08085623383522034,0.4021143913269043,0.12119704484939575,0.2159561663866043,0.17716996371746063,0.3605569899082184,0.39856547117233276,0.20427492260932922,0.21212655305862427,0.36136594414711,0.39856547117233276,0.10378551483154297,0.191574826836586,0.32199642062187195,0.25742942094802856
"10,000",-0.1248844638466835,0.04802420735359192,0.16668583452701569,-0.01885322667658329,0.08016494661569595,-0.05527769401669502,0.03403906151652336,-0.00011738140892703086,-0.03563957288861275,-0.056806739419698715,-0.07657112926244736,-0.05514957383275032,0.000463886623037979,-0.024864796549081802,-0.07657112926244736,0.1218033954501152,0.12590238451957703,-0.006958124227821827,0.10342991352081299
british,0.2002234309911728,0.23513521254062653,0.2366916388273239,0.20052513480186462,0.19209973514080048,0.325880765914917,0.24990205466747284,0.19484983384609222,0.15302805602550507,0.23084034025669098,0.28973397612571716,0.10146314650774002,0.15021207928657532,0.23701532185077667,0.28973397612571716,0.1269635409116745,0.14896833896636963,0.1984395682811737,0.09711728990077972
and,0.506277859210968,0.2970265746116638,0.21068838238716125,0.25317543745040894,0.19932526350021362,1.0,0.22758203744888306,0.3859752118587494,0.2506123185157776,0.4954058527946472,0.5171257257461548,0.26347166299819946,0.2379438579082489,0.5116966962814331,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.20544172823429108
"2,000",-0.05872787535190582,0.10288267582654953,0.09544888883829117,0.07632242143154144,0.12368813157081604,0.07374382764101028,0.21427175402641296,-0.004002113360911608,0.016650240868330002,0.04807119444012642,0.06475643068552017,0.07774565368890762,0.047761909663677216,0.10164742916822433,0.06475643068552017,-0.030162058770656586,0.05775902420282364,0.04046183079481125,-0.01396813802421093
old,0.3071022629737854,0.20580843091011047,0.15661412477493286,0.1968301236629486,0.13586854934692383,0.29022282361984253,0.1591712385416031,0.24332627654075623,0.15632617473602295,0.2865324318408966,0.31849798560142517,0.21005967259407043,0.15432500839233398,0.30522194504737854,0.31849798560142517,0.07272037863731384,0.13134126365184784,0.2846200466156006,0.20577076077461243
master,0.18431153893470764,0.1524212509393692,0.15606513619422913,0.19583763182163239,0.1721075177192688,0.19895130395889282,0.24914255738258362,0.16117574274539948,0.1442679464817047,0.17882928252220154,0.19769129157066345,0.2171470820903778,0.15440933406352997,0.17072871327400208,0.19769129157066345,0.09621870517730713,0.14030353724956512,0.2078990340232849,0.11915034055709839
works,0.2730301022529602,0.28817856311798096,0.14443492889404297,0.2774180471897125,0.28483498096466064,0.33871909976005554,0.3910132348537445,0.30236580967903137,0.15046696364879608,0.2656683027744293,0.26337864995002747,0.3757094442844391,0.3417747914791107,0.1964656114578247,0.26337864995002747,0.1258377879858017,0.12323866784572601,0.2170431762933731,0.19597402215003967
",",0.3658004403114319,0.2816491723060608,0.25499609112739563,0.23687973618507385,0.2570912837982178,0.6633074283599854,0.27885860204696655,0.4691906273365021,0.3088570833206177,0.5201468467712402,0.4933079481124878,0.2235531359910965,0.2277175933122635,0.4946078956127167,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.31091248989105225
including,0.41826364398002625,0.3776775002479553,0.1146320104598999,0.13418281078338623,0.047969039529561996,0.5144438743591309,0.1275136023759842,0.25093933939933777,0.22142086923122406,0.35857823491096497,0.3738902807235718,0.26133641600608826,0.32469215989112854,0.44195112586021423,0.3738902807235718,0.07733747363090515,0.24869678914546967,0.21045410633087158,0.1633303165435791
works,0.2730301022529602,0.28817856311798096,0.14443492889404297,0.2774180471897125,0.28483498096466064,0.33871909976005554,0.3910132348537445,0.30236580967903137,0.15046696364879608,0.2656683027744293,0.26337864995002747,0.3757094442844391,0.3417747914791107,0.1964656114578247,0.26337864995002747,0.1258377879858017,0.12323866784572601,0.2170431762933731,0.19597402215003967
by,0.40543368458747864,0.24140264093875885,0.2170390784740448,0.18631196022033691,0.21819500625133514,0.4289871156215668,0.25374940037727356,0.3899846076965332,0.23673410713672638,0.370934396982193,0.4408751428127289,0.24822719395160675,0.2678082287311554,0.3646814823150635,0.4408751428127289,0.11988817155361176,0.17475149035453796,0.32094135880470276,0.17966607213020325
:,-0.11049769818782806,0.020688151940703392,0.14784978330135345,-0.039224714040756226,0.14253363013267517,-0.04625999182462692,0.06498095393180847,-0.07222653180360794,0.1406276673078537,0.020521078258752823,-0.03403344005346298,-0.08356654644012451,-0.10115766525268555,-0.08807745575904846,-0.03403344005346298,-0.009624218568205833,-0.03967161104083061,-0.0007584693375974894,-0.07156077772378922
dürer,0.16149553656578064,0.3047216832637787,0.26754462718963623,0.3996283710002899,0.43915697932243347,0.23662568628787994,0.5498760938644409,0.11452244222164154,0.12606440484523773,0.22514767944812775,0.2264566421508789,0.45471665263175964,0.27969586849212646,0.2159564346075058,0.2264566421508789,0.13259372115135193,0.10514942556619644,0.14280684292316437,0.15266801416873932
