,how,successful,was,initial,effort,by,braddock,?
none,0.1746153086423874,0.13625317811965942,0.08299771696329117,0.18243388831615448,0.18499067425727844,0.1353655308485031,0.16876214742660522,0.23397447168827057
succeeded,0.13908007740974426,0.3153810203075409,0.36064937710762024,0.1390710175037384,0.19842581450939178,0.3443756103515625,0.21796424686908722,0.12414717674255371
and,0.33647966384887695,0.2795376479625702,0.3740963041782379,0.2253544181585312,0.25185704231262207,0.4289871156215668,0.28598496317863464,0.20544172823429108
the,0.33890387415885925,0.31354787945747375,0.48711544275283813,0.29837024211883545,0.25344645977020264,0.4408751428127289,0.2864013612270355,0.22068053483963013
main,0.1668178290128708,0.11964153498411179,0.21035033464431763,0.24690558016300201,0.09882432222366333,0.21864338219165802,0.18549993634223938,0.1665669083595276
effort,0.25679001212120056,0.2577597498893738,0.23423828184604645,0.30724063515663147,1.0,0.23263044655323029,0.17860764265060425,0.27546563744544983
by,0.34370526671409607,0.1869579404592514,0.4752357602119446,0.23085512220859528,0.23263044655323029,1.0000001192092896,0.22269625961780548,0.17966607213020325
braddock,0.1561882346868515,0.18668104708194733,0.29659783840179443,0.1561945527791977,0.17860764265060425,0.22269625961780548,1.0,0.1826469451189041
was,0.16678167879581451,0.3046294152736664,1.0000001192092896,0.21523623168468475,0.23423828184604645,0.4752357602119446,0.29659783840179443,0.18412111699581146
a,0.29312583804130554,0.28627005219459534,0.4508470594882965,0.2933337092399597,0.2670682966709137,0.32094135880470276,0.25109121203422546,0.23916715383529663
disaster,0.16900543868541718,0.20578575134277344,0.22471332550048828,0.19386671483516693,0.18992416560649872,0.14625568687915802,0.22776393592357635,0.18600745499134064
;,0.07230665534734726,0.071192167699337,0.0754367932677269,-0.01812671683728695,0.007947840727865696,0.10469875484704971,0.015608296729624271,0.10349778085947037
he,0.2594625651836395,0.3125794231891632,0.5410010814666748,0.10719011723995209,0.2653455436229706,0.2485479861497879,0.3138125538825989,0.2089974731206894
was,0.16678167879581451,0.3046294152736664,1.0000001192092896,0.21523623168468475,0.23423828184604645,0.4752357602119446,0.29659783840179443,0.18412111699581146
defeated,0.10988643020391464,0.21324916183948517,0.30834874510765076,0.058498576283454895,0.2582520842552185,0.26783451437950134,0.3414550721645355,0.1413237303495407
in,0.2601168751716614,0.2864660918712616,0.45514053106307983,0.22201098501682281,0.18001915514469147,0.370934396982193,0.23128293454647064,0.20430970191955566
the,0.33890387415885925,0.31354787945747375,0.48711544275283813,0.29837024211883545,0.25344645977020264,0.4408751428127289,0.2864013612270355,0.22068053483963013
battle,0.11981889605522156,0.14275985956192017,0.23319749534130096,0.13508079946041107,0.2096654772758484,0.14325805008411407,0.33833375573158264,0.1680624783039093
of,0.2480744868516922,0.2304827868938446,0.4069072902202606,0.25980207324028015,0.21940191090106964,0.3646814823150635,0.22112226486206055,0.1826142966747284
the,0.33890387415885925,0.31354787945747375,0.48711544275283813,0.29837024211883545,0.25344645977020264,0.4408751428127289,0.2864013612270355,0.22068053483963013
monongahela,0.14189592003822327,0.13263054192066193,0.3059898018836975,0.14978498220443726,0.20621591806411743,0.22987055778503418,0.45609647035598755,0.12590807676315308
on,0.32655060291290283,0.22642658650875092,0.3909217119216919,0.25930091738700867,0.21822676062583923,0.33887791633605957,0.22984135150909424,0.2714994251728058
july,0.14530204236507416,0.174116849899292,0.40724116563796997,0.2085999697446823,0.15285705029964447,0.16927224397659302,0.27770131826400757,0.2897891402244568
9,-0.020076006650924683,-0.01648237183690071,0.07464917749166489,0.03423447161912918,0.02553320676088333,0.03968615457415581,-0.06053657829761505,-0.026682810857892036
",",0.22659391164779663,0.28826844692230225,0.45456063747406006,0.1954146921634674,0.21392761170864105,0.3680937886238098,0.3523558974266052,0.31091248989105225
1755,0.05787770822644234,0.0713377296924591,0.1432010382413864,0.11056091636419296,0.10505571961402893,0.1701797991991043,0.1252749115228653,0.1890246421098709
and,0.33647966384887695,0.2795376479625702,0.3740963041782379,0.2253544181585312,0.25185704231262207,0.4289871156215668,0.28598496317863464,0.20544172823429108
died,0.07147754728794098,0.13925346732139587,0.4570699632167816,0.09086253494024277,0.09355605393648148,0.14783190190792084,0.26434990763664246,0.15254227817058563
a,0.29312583804130554,0.28627005219459534,0.4508470594882965,0.2933337092399597,0.2670682966709137,0.32094135880470276,0.25109121203422546,0.23916715383529663
few,0.2993465065956116,0.22055509686470032,0.21633684635162354,0.2504027485847473,0.21622590720653534,0.24547836184501648,0.2039872258901596,0.2334265559911728
days,0.23509229719638824,0.17625866830348969,0.2985812723636627,0.23572230339050293,0.19822198152542114,0.17279444634914398,0.23453585803508759,0.2198754847049713
later,0.2534695267677307,0.24310670793056488,0.5684447288513184,0.29012370109558105,0.2254997044801712,0.3747883439064026,0.2897505462169647,0.1417175978422165
.,0.3287222981452942,0.361310213804245,0.40146201848983765,0.24195235967636108,0.24835355579853058,0.3936232924461365,0.3080593943595886,0.4130953550338745
,how,successful,was,initial,effort,by,braddock,?
in,0.2601168751716614,0.2864660918712616,0.45514053106307983,0.22201098501682281,0.18001915514469147,0.370934396982193,0.23128293454647064,0.20430970191955566
1755,0.05787770822644234,0.0713377296924591,0.1432010382413864,0.11056091636419296,0.10505571961402893,0.1701797991991043,0.1252749115228653,0.1890246421098709
",",0.22659391164779663,0.28826844692230225,0.45456063747406006,0.1954146921634674,0.21392761170864105,0.3680937886238098,0.3523558974266052,0.31091248989105225
six,0.20644865930080414,0.24315737187862396,0.3042767345905304,0.1486920416355133,0.14414472877979279,0.2534134089946747,0.18564766645431519,0.15298804640769958
colonial,0.12159252911806107,0.17748212814331055,0.2549057900905609,0.23014505207538605,0.17679448425769806,0.19209767878055573,0.28924041986465454,0.10191229730844498
governors,0.1286705732345581,0.13800236582756042,0.21350792050361633,0.16308116912841797,0.1947423815727234,0.1860642433166504,0.28124091029167175,0.14528851211071014
in,0.2601168751716614,0.2864660918712616,0.45514053106307983,0.22201098501682281,0.18001915514469147,0.370934396982193,0.23128293454647064,0.20430970191955566
north,0.12114071100950241,0.18976354598999023,0.29020047187805176,0.12215261906385422,0.11820744723081589,0.22664140164852142,0.32495465874671936,0.11829731613397598
america,0.19301444292068481,0.2432875782251358,0.2850865423679352,0.13943256437778473,0.14667677879333496,0.20156630873680115,0.21988694369792938,0.19333907961845398
met,0.20883280038833618,0.21791522204875946,0.3100595772266388,0.09862124919891357,0.14060640335083008,0.202009916305542,0.23954977095127106,0.13848096132278442
with,0.3525622487068176,0.23784777522087097,0.27411898970603943,0.19669650495052338,0.23200981318950653,0.39731505513191223,0.1973833292722702,0.2433311939239502
general,0.19638104736804962,0.17342481017112732,0.2445744127035141,0.15994077920913696,0.19878250360488892,0.2654627859592438,0.30013933777809143,0.1972234547138214
edward,0.13033853471279144,0.10230308771133423,0.22979897260665894,0.11904948949813843,0.21905039250850677,0.1964118927717209,0.40193971991539,0.1439376026391983
braddock,0.1561882346868515,0.18668104708194733,0.29659783840179443,0.1561945527791977,0.17860764265060425,0.22269625961780548,1.0,0.1826469451189041
",",0.22659391164779663,0.28826844692230225,0.45456063747406006,0.1954146921634674,0.21392761170864105,0.3680937886238098,0.3523558974266052,0.31091248989105225
the,0.33890387415885925,0.31354787945747375,0.48711544275283813,0.29837024211883545,0.25344645977020264,0.4408751428127289,0.2864013612270355,0.22068053483963013
newly,0.14423105120658875,0.18156331777572632,0.39056387543678284,0.25560304522514343,0.20004579424858093,0.3245653510093689,0.19703878462314606,0.08549588173627853
arrived,0.17363044619560242,0.16582393646240234,0.363562673330307,0.18707425892353058,0.13699528574943542,0.21151112020015717,0.28797227144241333,0.1681029200553894
british,0.17564475536346436,0.2522706687450409,0.31934812664985657,0.16190074384212494,0.1652599275112152,0.26707085967063904,0.3935726583003998,0.09711728990077972
