,to,where,is,most,of,the,abalone,and,lobster,caught,in,victorian,waters,shipped,?
most,0.321603000164032,0.3678402900695801,0.41165053844451904,1.0,0.4178851246833801,0.47635307908058167,0.27467966079711914,0.4309377074241638,0.20277102291584015,0.24863597750663757,0.41416558623313904,0.23286588490009308,0.24967797100543976,0.2632142901420593,0.2107497900724411
abalone,0.23500734567642212,0.2044185847043991,0.30222100019454956,0.27467966079711914,0.2606852948665619,0.26317930221557617,1.0,0.3075697422027588,0.46136876940727234,0.2894875407218933,0.17903251945972443,0.22321246564388275,0.3643421232700348,0.26292604207992554,0.15208746492862701
and,0.48971283435821533,0.43859338760375977,0.3859752118587494,0.4309377074241638,0.5116966962814331,0.5171257257461548,0.3075697422027588,1.0,0.2506254315376282,0.2659677565097809,0.4954058527946472,0.30684709548950195,0.3092135488986969,0.30199840664863586,0.20544172823429108
rock,0.22657817602157593,0.22068782150745392,0.1981455236673355,0.16866078972816467,0.2653365731239319,0.23786304891109467,0.2821608781814575,0.2808155119419098,0.20628681778907776,0.11761137843132019,0.19663549959659576,0.15284544229507446,0.2526354491710663,0.13114717602729797,0.13172835111618042
lobster,0.2051989585161209,0.14846260845661163,0.26852625608444214,0.20277102291584015,0.2092747986316681,0.2429014891386032,0.46136876940727234,0.2506254315376282,1.0,0.3035193085670471,0.20813703536987305,0.17657282948493958,0.37374719977378845,0.09472706913948059,0.14042341709136963
is,0.42745086550712585,0.3586711287498474,1.0,0.41165053844451904,0.4854315221309662,0.5823672413825989,0.30222100019454956,0.3859752118587494,0.26852625608444214,0.14473357796669006,0.5394441485404968,0.1690170168876648,0.21883726119995117,0.14680258929729462,0.22961433231830597
exported,0.2214691936969757,0.17516295611858368,0.21399806439876556,0.2746768295764923,0.26859965920448303,0.2526431083679199,0.36151090264320374,0.2901177406311035,0.22285492718219757,0.2755407989025116,0.2401200830936432,0.11865746974945068,0.18494531512260437,0.5495826005935669,0.09022945910692215
to,1.0,0.47735077142715454,0.42745086550712585,0.321603000164032,0.41548454761505127,0.535392165184021,0.23500734567642212,0.48971283435821533,0.2051989585161209,0.2586933970451355,0.45010748505592346,0.18664970993995667,0.2451024353504181,0.2387903481721878,0.29463258385658264
asia,0.22411112487316132,0.21505002677440643,0.18798509240150452,0.25688427686691284,0.2372564673423767,0.2838890850543976,0.1597248613834381,0.26469188928604126,0.17575816810131073,0.0993565171957016,0.26562291383743286,0.17839168012142181,0.2073679268360138,0.2948104739189148,0.1340748518705368
.,0.4645031690597534,0.41390106081962585,0.4569662809371948,0.35404038429260254,0.5352458953857422,0.5934505462646484,0.2659362852573395,0.588965117931366,0.22720523178577423,0.2576688826084137,0.5591574311256409,0.22745303809642792,0.24962589144706726,0.27309882640838623,0.4130953550338745
