,what,would,the,local,council,of,newcastle,like,to,link,their,local,bike,networks,to,?
as,0.31749409437179565,0.3824005722999573,0.48381632566452026,0.21087346971035004,0.18031510710716248,0.3886612355709076,0.21526619791984558,0.4175155460834503,0.42092081904411316,0.16064047813415527,0.29218852519989014,0.21087346971035004,0.11006078869104385,0.17501045763492584,0.42092081904411316,0.27043893933296204
of,0.33290785551071167,0.3353942930698395,0.733189046382904,0.20668989419937134,0.2972237169742584,1.0,0.18781472742557526,0.3244853615760803,0.41548454761505127,0.1763116717338562,0.4329940676689148,0.20668989419937134,0.1328538954257965,0.17763681709766388,0.41548454761505127,0.1826142966747284
2012,0.2266836017370224,0.2782992422580719,0.46885523200035095,0.26833996176719666,0.2512308359146118,0.4422316551208496,0.27238860726356506,0.2635606527328491,0.32762008905410767,0.23861268162727356,0.2434421330690384,0.26833996176719666,0.1621716022491455,0.14912882447242737,0.32762008905410767,0.18042556941509247
",",0.3087472915649414,0.32586824893951416,0.4933079481124878,0.20673875510692596,0.23820561170578003,0.4946078956127167,0.251589834690094,0.4085598886013031,0.44245919585227966,0.22098852694034576,0.3045167922973633,0.20673875510692596,0.18199551105499268,0.20105446875095367,0.44245919585227966,0.31091248989105225
the,0.42745697498321533,0.4133751392364502,1.0,0.2130540907382965,0.2829204201698303,0.733189046382904,0.2253497689962387,0.32912567257881165,0.535392165184021,0.23401211202144623,0.516537070274353,0.2130540907382965,0.16140250861644745,0.24705806374549866,0.535392165184021,0.22068053483963013
local,0.18981902301311493,0.20381148159503937,0.2130540907382965,1.0,0.26075372099876404,0.20668989419937134,0.22142958641052246,0.17938561737537384,0.2207600325345993,0.2188640832901001,0.22085392475128174,1.0,0.10157085210084915,0.25312551856040955,0.2207600325345993,0.15022775530815125
council,0.16933071613311768,0.1493491381406784,0.2829204201698303,0.26075372099876404,1.0,0.2972237169742584,0.19388608634471893,0.11646652221679688,0.23829470574855804,0.12601692974567413,0.14841683208942413,0.26075372099876404,0.1006321981549263,0.21405239403247833,0.23829470574855804,0.1160062924027443
social,0.22217629849910736,0.17745959758758545,0.21797899901866913,0.18310795724391937,0.19098195433616638,0.2605111300945282,0.1707904189825058,0.19795741140842438,0.19684761762619019,0.13067585229873657,0.26644018292427063,0.18310795724391937,0.11263567209243774,0.31232208013534546,0.19684761762619019,0.1615191102027893
aims,0.22018413245677948,0.29727572202682495,0.28318876028060913,0.1798117309808731,0.23022158443927765,0.26519179344177246,0.15642718970775604,0.22026193141937256,0.3763428032398224,0.1125820130109787,0.2674749493598938,0.1798117309808731,0.20007799565792084,0.2784893214702606,0.3763428032398224,0.17794713377952576
and,0.31309178471565247,0.34921059012413025,0.5171257257461548,0.2468787580728531,0.25117602944374084,0.5116966962814331,0.20204751193523407,0.46997135877609253,0.48971283435821533,0.21611225605010986,0.45114588737487793,0.2468787580728531,0.21877092123031616,0.27532249689102173,0.48971283435821533,0.20544172823429108
objectives,0.3126153349876404,0.3568594753742218,0.21808713674545288,0.17804895341396332,0.27560436725616455,0.1930888593196869,0.23985075950622559,0.2079741656780243,0.31702935695648193,0.11817234009504318,0.29885411262512207,0.17804895341396332,0.13224905729293823,0.2980536222457886,0.31702935695648193,0.24325615167617798
for,0.3017193675041199,0.39877474308013916,0.4739971458911896,0.23619583249092102,0.1601620316505432,0.4185989499092102,0.2425866425037384,0.35140180587768555,0.4451248347759247,0.23476234078407288,0.3406745493412018,0.23619583249092102,0.17417779564857483,0.2421427071094513,0.4451248347759247,0.264628142118454
cycling,0.17575226724147797,0.19140902161598206,0.23055073618888855,0.20466211438179016,0.17038510739803314,0.22023607790470123,0.11167410761117935,0.1328565925359726,0.23294292390346527,0.23564092814922333,0.20043672621250153,0.20466211438179016,0.4097645878791809,0.16901139914989471,0.23294292390346527,0.06800638884305954
include,0.1535889357328415,0.13150931894779205,0.2951717972755432,0.13217493891716003,0.1024094969034195,0.37431180477142334,0.0805373415350914,0.4539734423160553,0.1820748895406723,0.20748165249824524,0.26231658458709717,0.13217493891716003,0.15489889681339264,0.1343434751033783,0.1820748895406723,0.14925788342952728
:,-0.12022944539785385,-0.09726555645465851,-0.03403344005346298,-0.1023949533700943,0.0255865678191185,-0.08807745575904846,-0.07358825206756592,-0.10735718905925751,-0.09243495017290115,-0.03212286904454231,-0.0711502954363823,-0.1023949533700943,0.09509090334177017,-0.0915798470377922,-0.09243495017290115,-0.07156077772378922
highlighting,0.2526554763317108,0.1644025593996048,0.27061110734939575,0.15881678462028503,0.2135496884584427,0.2906976640224457,0.09399261325597763,0.16076737642288208,0.21494516730308533,0.22827480733394623,0.16112923622131348,0.15881678462028503,0.11488626897335052,0.20158740878105164,0.21494516730308533,0.16213589906692505
the,0.42745697498321533,0.4133751392364502,1.0,0.2130540907382965,0.2829204201698303,0.733189046382904,0.2253497689962387,0.32912567257881165,0.535392165184021,0.23401211202144623,0.516537070274353,0.2130540907382965,0.16140250861644745,0.24705806374549866,0.535392165184021,0.22068053483963013
usage,0.27315184473991394,0.22074353694915771,0.23839639127254486,0.2012416571378708,0.11194073408842087,0.2117948979139328,0.11568945646286011,0.20792041718959808,0.3090202808380127,0.24451270699501038,0.17000049352645874,0.2012416571378708,0.15305611491203308,0.24550405144691467,0.3090202808380127,0.20954200625419617
of,0.33290785551071167,0.3353942930698395,0.733189046382904,0.20668989419937134,0.2972237169742584,1.0,0.18781472742557526,0.3244853615760803,0.41548454761505127,0.1763116717338562,0.4329940676689148,0.20668989419937134,0.1328538954257965,0.17763681709766388,0.41548454761505127,0.1826142966747284
cycling,0.17575226724147797,0.19140902161598206,0.23055073618888855,0.20466211438179016,0.17038510739803314,0.22023607790470123,0.11167410761117935,0.1328565925359726,0.23294292390346527,0.23564092814922333,0.20043672621250153,0.20466211438179016,0.4097645878791809,0.16901139914989471,0.23294292390346527,0.06800638884305954
to,0.455847829580307,0.5965728163719177,0.535392165184021,0.2207600325345993,0.23829470574855804,0.41548454761505127,0.23559264838695526,0.35482415556907654,1.0,0.27267101407051086,0.44619059562683105,0.2207600325345993,0.23734018206596375,0.23877078294754028,1.0,0.29463258385658264
cut,0.20727719366550446,0.2883818447589874,0.29221418499946594,0.11723367869853973,0.1442134827375412,0.26061776280403137,0.09615091979503632,0.30084729194641113,0.27572008967399597,0.08712845295667648,0.23677502572536469,0.11723367869853973,0.20101046562194824,0.1540270745754242,0.27572008967399597,0.1403924524784088
city,0.17493832111358643,0.1441507637500763,0.35769423842430115,0.17444171011447906,0.29846927523612976,0.32503411173820496,0.32860881090164185,0.16235169768333435,0.20300441980361938,0.073323555290699,0.18052278459072113,0.17444171011447906,0.13033343851566315,0.21591444313526154,0.20300441980361938,0.13423943519592285
congestion,0.20774804055690765,0.25319093465805054,0.27136102318763733,0.11800583451986313,0.18589989840984344,0.24150069057941437,0.25636690855026245,0.14445169270038605,0.2675175666809082,0.21579709649085999,0.20244227349758148,0.11800583451986313,0.30013495683670044,0.25562235713005066,0.2675175666809082,0.23177677392959595
;,0.10986888408660889,0.06441773474216461,0.09152708947658539,0.030135320499539375,0.0617411732673645,0.054534342139959335,0.10598292201757431,0.049820177257061005,0.0979827418923378,0.0731414332985878,0.0970027819275856,0.030135320499539375,-0.006307662930339575,0.04308580234646797,0.0979827418923378,0.10349778085947037
educating,0.2503001391887665,0.2715258002281189,0.2093149870634079,0.14015649259090424,0.22025485336780548,0.26176056265830994,0.09517484158277512,0.2083064764738083,0.2777290940284729,0.08007925748825073,0.2384074479341507,0.14015649259090424,0.11220118403434753,0.18921661376953125,0.2777290940284729,0.23716121912002563
that,0.6297725439071655,0.5895259380340576,0.5473989248275757,0.22915975749492645,0.18148750066757202,0.41498205065727234,0.18880853056907654,0.5397313237190247,0.5436353087425232,0.2810029089450836,0.4266771972179413,0.22915975749492645,0.1864108294248581,0.27920618653297424,0.5436353087425232,0.32716336846351624
