,in,a,steam,turbine,",",what,are,rotors,mounted,on,?
a,0.539380669593811,1.0,0.2141898274421692,0.23364008963108063,0.427140474319458,0.3320399522781372,0.265255331993103,0.3083786368370056,0.2871348559856415,0.3848365545272827,0.23916715383529663
steam,0.19852672517299652,0.2141898274421692,1.0000001192092896,0.5301763415336609,0.2264556586742401,0.15672586858272552,0.14139318466186523,0.4222961962223053,0.30492323637008667,0.1939276158809662,0.113324373960495
turbine,0.19420358538627625,0.23364008963108063,0.5301763415336609,1.0000001192092896,0.21183495223522186,0.1404699683189392,0.17826414108276367,0.5087845325469971,0.32296091318130493,0.1482713669538498,0.16315746307373047
consists,0.3011418879032135,0.3022095263004303,0.07367352396249771,0.13710612058639526,0.23121660947799683,0.11367427557706833,0.43408724665641785,0.2113271951675415,0.23106680810451508,0.23520493507385254,-0.004641483072191477
of,0.5696388483047485,0.5052502155303955,0.20239725708961487,0.17630848288536072,0.4946078956127167,0.33290785551071167,0.39081433415412903,0.24719494581222534,0.2373560220003128,0.3966929316520691,0.1826142966747284
one,0.4129433035850525,0.4910551905632019,0.23085100948810577,0.20049993693828583,0.3696635365486145,0.376489520072937,0.42537835240364075,0.2932324707508087,0.2342015951871872,0.3601475656032562,0.2673267424106598
or,0.3586423695087433,0.48853766918182373,0.2369248867034912,0.19603389501571655,0.3769497275352478,0.33867141604423523,0.5374364256858826,0.2481328547000885,0.26739558577537537,0.2897229492664337,0.32389625906944275
more,0.32563260197639465,0.3452818691730499,0.18688981235027313,0.1913554072380066,0.3696524500846863,0.3484537899494171,0.4066504240036011,0.21729803085327148,0.19669030606746674,0.37351730465888977,0.27894994616508484
rotors,0.22445957362651825,0.3083786368370056,0.4222961962223053,0.5087845325469971,0.23797942698001862,0.17702068388462067,0.29633256793022156,1.0,0.4187544882297516,0.22406750917434692,0.14298434555530548
(,0.3087427020072937,0.3206180930137634,0.11881943792104721,0.1862340271472931,0.6363511681556702,0.2411840260028839,0.23263892531394958,0.18331314623355865,0.11868995428085327,0.28656116127967834,0.40561532974243164
rotating,0.15078090131282806,0.33244970440864563,0.31136026978492737,0.48172280192375183,0.1820010095834732,0.1976575255393982,0.21143339574337006,0.5105764269828796,0.3994537889957428,0.2186557501554489,0.08289054036140442
discs,0.21485821902751923,0.23567885160446167,0.2581688165664673,0.24372121691703796,0.1990293711423874,0.20178590714931488,0.3013767898082733,0.36191147565841675,0.23371584713459015,0.26744571328163147,0.09042835980653763
),0.3326910734176636,0.3640355169773102,0.13912063837051392,0.17438945174217224,0.63033527135849,0.26259949803352356,0.2373749315738678,0.16590018570423126,0.1403624713420868,0.29937487840652466,0.42300865054130554
mounted,0.22550292313098907,0.2871348559856415,0.30492323637008667,0.32296091318130493,0.20069248974323273,0.1395481526851654,0.19628547132015228,0.4187544882297516,1.0,0.18610313534736633,0.07335436344146729
on,0.46853652596473694,0.3848365545272827,0.1939276158809662,0.1482713669538498,0.49057599902153015,0.34226128458976746,0.268924742937088,0.22406750917434692,0.18610313534736633,0.9999999403953552,0.2714994251728058
