,what,trading,route,joined,khwarezmia,and,the,mongol,empire,?
genghis,0.24369274079799652,0.209161639213562,0.16135966777801514,0.1406790167093277,0.5804197788238525,0.26551535725593567,0.3448939025402069,0.6244974732398987,0.42237505316734314,0.18813461065292358
khan,0.16476042568683624,0.1826147735118866,0.14075739681720734,0.06854946911334991,0.564900279045105,0.22885166108608246,0.21067845821380615,0.5576101541519165,0.38083162903785706,0.12862591445446014
saw,0.24788837134838104,0.2211018204689026,0.1460418850183487,0.2183476835489273,0.1656048446893692,0.2664891481399536,0.318278044462204,0.1369016170501709,0.15810291469097137,0.14690998196601868
the,0.42745697498321533,0.27514398097991943,0.22322526574134827,0.2943263649940491,0.3111512362957001,0.5171257257461548,1.0,0.2924198508262634,0.32532164454460144,0.22068053483963013
potential,0.27308183908462524,0.19851280748844147,0.09702011197805405,-0.009594441391527653,0.22306981682777405,0.2564159035682678,0.27955570816993713,0.09972310811281204,0.1319911926984787,0.20122039318084717
advantage,0.17863520979881287,0.21048644185066223,0.17889274656772614,0.10488084703683853,0.20794853568077087,0.21273426711559296,0.2844003438949585,0.19838352501392365,0.18403871357440948,0.10412604361772537
in,0.30808621644973755,0.26132118701934814,0.19557222723960876,0.29866936802864075,0.2496933788061142,0.4954058527946472,0.6662389636039734,0.16958336532115936,0.24110576510429382,0.20430970191955566
khwarezmia,0.29272910952568054,0.20386095345020294,0.22601956129074097,0.13631337881088257,1.0,0.34526392817497253,0.3111512362957001,0.4831540286540985,0.41899508237838745,0.2672078311443329
as,0.31749409437179565,0.2614515721797943,0.19798748195171356,0.19467419385910034,0.31569552421569824,0.49487000703811646,0.48381632566452026,0.17740172147750854,0.21108263731002808,0.27043893933296204
a,0.3320399522781372,0.24172332882881165,0.18244044482707977,0.17133650183677673,0.3061319887638092,0.3739250600337982,0.5829201340675354,0.15921570360660553,0.1900206059217453,0.23916715383529663
commercial,0.12070754915475845,0.35854876041412354,0.20087625086307526,0.02992209419608116,0.1852305680513382,0.240259051322937,0.23051398992538452,0.05605103448033333,0.15220120549201965,0.04216946288943291
trading,0.23206625878810883,0.9999999403953552,0.30756086111068726,0.19759993255138397,0.20386095345020294,0.29798421263694763,0.27514398097991943,0.21883639693260193,0.31217318773269653,0.15743456780910492
partner,0.10468954592943192,0.21148492395877838,0.061442624777555466,0.2531641721725464,0.20464825630187988,0.2646805942058563,0.1342829167842865,0.11764171719551086,0.15350425243377686,0.15119856595993042
using,0.27984681725502014,0.20417983829975128,0.1940900832414627,0.16411985456943512,0.24618443846702576,0.33157408237457275,0.28364112973213196,0.11911486089229584,0.12093625962734222,0.2804589569568634
the,0.42745697498321533,0.27514398097991943,0.22322526574134827,0.2943263649940491,0.3111512362957001,0.5171257257461548,1.0,0.2924198508262634,0.32532164454460144,0.22068053483963013
silk,0.1456179916858673,0.30681610107421875,0.2776713967323303,0.07403606176376343,0.2709803283214569,0.1974489837884903,0.274575799703598,0.25631284713745117,0.26382556557655334,0.04509759321808815
road,0.14859327673912048,0.20356518030166626,0.4983763098716736,0.11763051152229309,0.2863083779811859,0.21445010602474213,0.27181798219680786,0.1489616334438324,0.16612094640731812,0.10894691944122314
",",0.3087472915649414,0.21807542443275452,0.21133576333522797,0.23146051168441772,0.35280895233154297,0.6633074283599854,0.4933079481124878,0.2229510098695755,0.27646857500076294,0.31091248989105225
and,0.31309178471565247,0.29798421263694763,0.2168188840150833,0.31977471709251404,0.34526392817497253,1.0,0.5171257257461548,0.21553155779838562,0.27479609847068787,0.20544172823429108
he,0.3114890456199646,0.20702803134918213,0.15221215784549713,0.29699957370758057,0.29441943764686584,0.45427167415618896,0.4571082592010498,0.17718079686164856,0.22260785102844238,0.2089974731206894
initially,0.24580118060112,0.17957469820976257,0.1924988180398941,0.16476097702980042,0.33296364545822144,0.3013203740119934,0.2997018098831177,0.1600886881351471,0.20858709514141083,0.0699334517121315
sent,0.19595611095428467,0.20759586989879608,0.16200923919677734,0.28264904022216797,0.1863825023174286,0.32548439502716064,0.3010627329349518,0.22185473144054413,0.17292700707912445,0.10903520882129669
