,what,rift,system,developed,in,the,alpine,orogeny,?
from,0.2737620174884796,0.19909383356571198,0.22092437744140625,0.1734662652015686,0.4274188280105591,0.40150508284568787,0.17628835141658783,0.22649316489696503,0.19969791173934937
the,0.42745697498321533,0.31054243445396423,0.3233085572719574,0.24490751326084137,0.6662389636039734,1.0,0.25914666056632996,0.31707653403282166,0.22068053483963013
eocene,0.21511243283748627,0.40741074085235596,0.14145046472549438,0.22487755119800568,0.2110874503850937,0.2130744308233261,0.30279892683029175,0.5121037364006042,0.15670938789844513
onwards,0.24720242619514465,0.20898069441318512,0.17577026784420013,0.2891698479652405,0.26525479555130005,0.35449934005737305,0.11376071721315384,0.29013288021087646,0.17025373876094818
",",0.3087472915649414,0.214783176779747,0.18439900875091553,0.24565434455871582,0.5201468467712402,0.4933079481124878,0.23049885034561157,0.24837057292461395,0.31091248989105225
the,0.42745697498321533,0.31054243445396423,0.3233085572719574,0.24490751326084137,0.6662389636039734,1.0,0.25914666056632996,0.31707653403282166,0.22068053483963013
ongoing,0.30659452080726624,0.250901460647583,0.1758384257555008,0.20321998000144958,0.2755858302116394,0.3282879889011383,0.05339505895972252,0.27036479115486145,0.24929021298885345
alpine,0.08638320118188858,0.24110543727874756,0.162665456533432,0.10521744936704636,0.26708051562309265,0.25914666056632996,1.0000001192092896,0.3364191949367523,0.08546924591064453
orogeny,0.2368026077747345,0.4581623375415802,0.1982841044664383,0.2550027072429657,0.2502102553844452,0.31707653403282166,0.3364191949367523,1.0,0.09792150557041168
caused,0.22264783084392548,0.2871132493019104,0.21329915523529053,0.22085532546043396,0.2494886964559555,0.24990202486515045,0.10200212150812149,0.28370949625968933,0.20679491758346558
a,0.3320399522781372,0.18057622015476227,0.2589043080806732,0.286296546459198,0.539380669593811,0.5829201340675354,0.2221900075674057,0.22326713800430298,0.23916715383529663
n–s,0.005961238406598568,0.0630250945687294,-0.018802983686327934,-0.07889309525489807,-0.04704299196600914,-0.062248677015304565,0.1300801783800125,0.13372841477394104,0.14834332466125488
rift,0.27999821305274963,1.0000001192092896,0.13986530900001526,0.2191552072763443,0.18964281678199768,0.31054243445396423,0.24110543727874756,0.4581623375415802,0.18145444989204407
system,0.23557309806346893,0.13986530900001526,1.0000001192092896,0.3349688947200775,0.21978288888931274,0.3233085572719574,0.162665456533432,0.1982841044664383,0.15556083619594574
to,0.455847829580307,0.18570798635482788,0.26662686467170715,0.19491806626319885,0.45010748505592346,0.535392165184021,0.19123923778533936,0.2156364768743515,0.29463258385658264
develop,0.20962175726890564,0.20693914592266083,0.2898979187011719,0.6529664397239685,0.22882415354251862,0.26276466250419617,0.06672016531229019,0.2867923378944397,0.15784582495689392
in,0.30808621644973755,0.18964281678199768,0.21978288888931274,0.2498214840888977,1.0,0.6662389636039734,0.26708051562309265,0.2502102553844452,0.20430970191955566
this,0.5489566326141357,0.2548624277114868,0.3294329345226288,0.27340129017829895,0.45205554366111755,0.6274310946464539,0.20262263715267181,0.331108957529068,0.3155723512172699
zone,0.21381187438964844,0.29638388752937317,0.17082491517066956,0.14255115389823914,0.2229810357093811,0.26423242688179016,0.20078374445438385,0.28889766335487366,0.1173049733042717
.,0.3567904531955719,0.18148498237133026,0.2277725487947464,0.2569568455219269,0.5591574311256409,0.5934505462646484,0.22081153094768524,0.26988622546195984,0.4130953550338745
