,what,did,luther,feel,he,made,of,christ,?
he,0.3114890456199646,0.3292143940925598,0.2454872578382492,0.18510694801807404,1.0000001192092896,0.27847591042518616,0.38706058263778687,0.25450852513313293,0.2089974731206894
said,0.3951668441295624,0.5119821429252625,0.1821773499250412,0.383310467004776,0.3578285872936249,0.33655059337615967,0.29014745354652405,0.2342967838048935,0.28991883993148804
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.23670589923858643,0.40251094102859497,0.32507219910621643,0.4946078956127167,0.22404725849628448,0.31091248989105225
``,0.008517155423760414,-0.029888948425650597,-0.013964727520942688,-0.007424930110573769,0.05585138872265816,-0.0342245027422905,0.06780257821083069,0.07835227996110916,0.0685480609536171
i,0.4411132335662842,0.32301032543182373,0.232476145029068,0.4110495448112488,0.2982874810695648,0.2061111330986023,0.25849398970603943,0.19928662478923798,0.4695145785808563
lost,0.198215052485466,0.30779293179512024,0.21155111491680145,0.18223296105861664,0.2674296200275421,0.1875164657831192,0.2878951132297516,0.19151757657527924,0.15261413156986237
touch,0.26336124539375305,0.18895217776298523,0.11389469355344772,0.35630157589912415,0.15935346484184265,0.211649551987648,0.18757231533527374,0.21776965260505676,0.21477574110031128
with,0.2464839518070221,0.25472134351730347,0.14705438911914825,0.287948340177536,0.2845253646373749,0.3459964990615845,0.41827285289764404,0.1424454152584076,0.2433311939239502
christ,0.2615339457988739,0.17013269662857056,0.2758595049381256,0.16168507933616638,0.25450852513313293,0.11443162709474564,0.27289092540740967,0.9999999403953552,0.13772203028202057
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.264497846364975,0.4571082592010498,0.3885267674922943,0.733189046382904,0.25124865770339966,0.22068053483963013
savior,0.30994105339050293,0.23800085484981537,0.19702358543872833,0.20113331079483032,0.2538487911224365,0.16870743036270142,0.3142027258872986,0.5140536427497864,0.17049013078212738
and,0.31309178471565247,0.34479495882987976,0.20796556770801544,0.2860409915447235,0.45427167415618896,0.34954607486724854,0.5116966962814331,0.15450161695480347,0.20544172823429108
comforter,0.23415124416351318,0.1927575170993805,0.20309749245643616,0.4103069007396698,0.33367976546287537,0.14699210226535797,0.20728132128715515,0.20249180495738983,0.18877795338630676
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.23670589923858643,0.40251094102859497,0.32507219910621643,0.4946078956127167,0.22404725849628448,0.31091248989105225
and,0.31309178471565247,0.34479495882987976,0.20796556770801544,0.2860409915447235,0.45427167415618896,0.34954607486724854,0.5116966962814331,0.15450161695480347,0.20544172823429108
made,0.23419176042079926,0.3068731725215912,0.15519264340400696,0.20192494988441467,0.27847591042518616,1.0,0.33167365193367004,0.11443162709474564,0.17218779027462006
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,0.19935615360736847,0.38706058263778687,0.33167365193367004,1.0,0.27289092540740967,0.1826142966747284
him,0.34912991523742676,0.4290095865726471,0.25429821014404297,0.32263538241386414,0.6241704225540161,0.22442960739135742,0.2764812409877777,0.27225443720817566,0.23943768441677094
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.264497846364975,0.4571082592010498,0.3885267674922943,0.733189046382904,0.25124865770339966,0.22068053483963013
jailer,0.16903609037399292,0.20886783301830292,0.2949317395687103,0.16915231943130493,0.30811142921447754,0.08628666400909424,0.12458523362874985,0.21549728512763977,0.18393896520137787
and,0.31309178471565247,0.34479495882987976,0.20796556770801544,0.2860409915447235,0.45427167415618896,0.34954607486724854,0.5116966962814331,0.15450161695480347,0.20544172823429108
hangman,0.2131122201681137,0.11736021190881729,0.20809249579906464,0.16997812688350677,0.2662609815597534,0.14904214441776276,0.2534618675708771,0.15640345215797424,0.20949704945087433
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,0.19935615360736847,0.38706058263778687,0.33167365193367004,1.0,0.27289092540740967,0.1826142966747284
my,0.3588488698005676,0.2537900507450104,0.2192668318748474,0.41940203309059143,0.25311392545700073,0.21813426911830902,0.2089746594429016,0.22278344631195068,0.4195883572101593
poor,0.2570318877696991,0.27971774339675903,0.15004777908325195,0.18431992828845978,0.2573661804199219,0.1478397250175476,0.23458099365234375,0.13567744195461273,0.12937016785144806
soul,0.23502515256404877,0.13049879670143127,0.1514018028974533,0.24150343239307404,0.26410815119743347,0.1645772010087967,0.1792602837085724,0.3046906292438507,0.2029775083065033
.,0.3567904531955719,0.35288307070732117,0.24907569587230682,0.25462567806243896,0.38061028718948364,0.4032190144062042,0.5352458953857422,0.21890506148338318,0.4130953550338745
'',0.08143015950918198,0.01978493109345436,-0.04572787508368492,0.024401066824793816,0.039060186594724655,0.014119047671556473,0.13035868108272552,-0.024666670709848404,0.018684765323996544
