,how,many,people,were,on,the,project,that,followed,project,mercury,?
project,0.24153687059879303,0.19170600175857544,0.16129779815673828,0.13263660669326782,0.25128498673439026,0.2027820199728012,1.0,0.29938963055610657,0.13270756602287292,1.0,0.25413432717323303,0.30569031834602356
mercury,0.14906032383441925,0.1871928572654724,0.1430436670780182,0.12138005346059799,0.186717227101326,0.2059478461742401,0.25413432717323303,0.2205929309129715,0.134832501411438,0.25413432717323303,1.0000001192092896,0.10977116972208023
was,0.16678167879581451,0.260356068611145,0.2518421411514282,0.590133786201477,0.3909217119216919,0.48711544275283813,0.17915812134742737,0.33670201897621155,0.2845839560031891,0.17915812134742737,0.2121867835521698,0.18412111699581146
followed,0.22116149961948395,0.2190432846546173,0.1496179848909378,0.2812596261501312,0.28835389018058777,0.3567860722541809,0.13270756602287292,0.27784204483032227,1.0000001192092896,0.13270756602287292,0.134832501411438,0.20567169785499573
by,0.34370526671409607,0.3409687578678131,0.20350977778434753,0.4406847059726715,0.33887791633605957,0.4408751428127289,0.2110227346420288,0.37496164441108704,0.3815058469772339,0.2110227346420288,0.17105858027935028,0.17966607213020325
the,0.33890387415885925,0.4335206151008606,0.36838498711586,0.3906462490558624,0.5107308030128479,1.0,0.2027820199728012,0.5473989248275757,0.3567860722541809,0.2027820199728012,0.2059478461742401,0.22068053483963013
two-man,0.2570098042488098,0.2255527228116989,0.15402618050575256,0.2019796371459961,0.2634827792644501,0.3079390525817871,0.255190908908844,0.2792677581310272,0.235841304063797,0.255190908908844,0.11221805214881897,0.2768731713294983
project,0.24153687059879303,0.19170600175857544,0.16129779815673828,0.13263660669326782,0.25128498673439026,0.2027820199728012,1.0,0.29938963055610657,0.13270756602287292,1.0,0.25413432717323303,0.30569031834602356
gemini,0.11478795111179352,0.14664489030838013,0.10190241783857346,0.12325634807348251,0.25157874822616577,0.24857638776302338,0.33019912242889404,0.20568500459194183,0.10264077037572861,0.33019912242889404,0.3712843060493469,0.14296509325504303
(,0.1676948219537735,0.1455259770154953,0.17817604541778564,0.14743882417678833,0.28656116127967834,0.33289089798927307,0.1916031688451767,0.2264307141304016,0.2205245941877365,0.1916031688451767,0.19685211777687073,0.40561532974243164
1962–66,-0.17569224536418915,-0.10907228291034698,-0.08890622109174728,-0.0940970927476883,-0.0774480402469635,-0.06426816433668137,-0.11994536966085434,-0.18332459032535553,0.0031509026885032654,-0.11994536966085434,-0.008335712365806103,-0.09151697903871536
),0.17939934134483337,0.16602720320224762,0.18634183704853058,0.1566188633441925,0.29937487840652466,0.3456730246543884,0.19650998711585999,0.23478686809539795,0.2373107522726059,0.19650998711585999,0.1948368102312088,0.42300865054130554
.,0.3287222981452942,0.3974229395389557,0.33118996024131775,0.3378238379955292,0.49257001280784607,0.5934505462646484,0.23938670754432678,0.4460422694683075,0.3200787305831909,0.23938670754432678,0.22198538482189178,0.4130953550338745
,how,many,people,were,on,the,project,that,followed,project,mercury,?
first,0.27731001377105713,0.2931244373321533,0.19699515402317047,0.3285558819770813,0.3120559751987457,0.49448907375335693,0.2069343626499176,0.3482176661491394,0.3457415997982025,0.2069343626499176,0.13525766134262085,0.18701928853988647
conceived,0.21913331747055054,0.2208833545446396,0.11566314846277237,0.2323911041021347,0.19368453323841095,0.23506250977516174,0.2699055075645447,0.33006125688552856,0.22318410873413086,0.2699055075645447,0.16612501442432404,0.14654332399368286
during,0.26830652356147766,0.3661181330680847,0.28753596544265747,0.4064035415649414,0.3347817361354828,0.4838213622570038,0.13406381011009216,0.31487685441970825,0.3638138175010681,0.13406381011009216,0.13595061004161835,0.1325719803571701
dwight,0.22420980036258698,0.19120538234710693,0.10093817114830017,0.1583726704120636,0.16588521003723145,0.23080125451087952,0.13471975922584534,0.22469188272953033,0.18555539846420288,0.13471975922584534,0.23527181148529053,0.16946303844451904
d.,0.04354756325483322,0.1150176078081131,0.15560142695903778,0.0999591127038002,-0.012049629352986813,0.03410084545612335,-0.016894765198230743,0.13084565103054047,-0.03211897611618042,-0.016894765198230743,-0.06835290044546127,-0.049560099840164185
eisenhower,0.21165136992931366,0.23227721452713013,0.17386876046657562,0.22751286625862122,0.16746509075164795,0.2813449501991272,0.16109392046928406,0.245406836271286,0.18650341033935547,0.16109392046928406,0.1302822083234787,0.18130066990852356
's,-0.026164190843701363,0.01698932610452175,0.023582622408866882,0.007088581565767527,0.0026888418942689896,-0.01540423184633255,0.07063660025596619,0.04397977516055107,-0.0014459885424003005,0.07063660025596619,-0.06901101022958755,-0.023395681753754616
administration,0.202886164188385,0.2098930925130844,0.1972116231918335,0.19474460184574127,0.18321560323238373,0.3083578944206238,0.27354222536087036,0.2354782223701477,0.16725388169288635,0.27354222536087036,0.21978719532489777,0.14283715188503265
as,0.33782753348350525,0.4070141911506653,0.15704652667045593,0.3025437891483307,0.36047765612602234,0.48381632566452026,0.22332392632961273,0.4735107421875,0.24736478924751282,0.22332392632961273,0.21450486779212952,0.27043893933296204
a,0.29312583804130554,0.2872205972671509,0.3483705520629883,0.17203083634376526,0.3848365545272827,0.5829201340675354,0.2328382134437561,0.47537946701049805,0.2840714454650879,0.2328382134437561,0.25249192118644714,0.23916715383529663
