,the,cast,courts,display,plaster,casts,of,what,objects,?
one,0.5514441132545471,0.22054436802864075,0.15161454677581787,0.23968224227428436,0.2498984932899475,0.27517780661582947,0.4999135136604309,0.376489520072937,0.28688210248947144,0.2673267424106598
of,0.733189046382904,0.2314109057188034,0.24972429871559143,0.23211264610290527,0.24593962728977203,0.2829023003578186,1.0,0.33290785551071167,0.23814009130001068,0.1826142966747284
the,1.0,0.2840540409088135,0.2453746348619461,0.2758708596229553,0.26503533124923706,0.32095256447792053,0.733189046382904,0.42745697498321533,0.24716724455356598,0.22068053483963013
most,0.47635307908058167,0.21107535064220428,0.21180403232574463,0.16520272195339203,0.24704498052597046,0.2790036201477051,0.4178851246833801,0.3219912350177765,0.2199428677558899,0.2107497900724411
dramatic,0.23786477744579315,0.2841610908508301,0.1206592321395874,0.16046138107776642,0.17327849566936493,0.18937300145626068,0.2346239984035492,0.21034127473831177,0.17111165821552277,0.12461373209953308
parts,0.4042440354824066,0.16243228316307068,0.277414470911026,0.11769288778305054,0.19899995625019073,0.26962628960609436,0.3379773199558258,0.3415631353855133,0.2715035378932953,0.12310896813869476
of,0.733189046382904,0.2314109057188034,0.24972429871559143,0.23211264610290527,0.24593962728977203,0.2829023003578186,1.0,0.33290785551071167,0.23814009130001068,0.1826142966747284
the,1.0,0.2840540409088135,0.2453746348619461,0.2758708596229553,0.26503533124923706,0.32095256447792053,0.733189046382904,0.42745697498321533,0.24716724455356598,0.22068053483963013
museum,0.24861779808998108,0.1442452371120453,0.1413554698228836,0.36980852484703064,0.2668601870536804,0.1411520540714264,0.23314370214939117,0.1771627515554428,0.15663208067417145,0.14128351211547852
is,0.5823672413825989,0.21460455656051636,0.19366668164730072,0.210763618350029,0.23408691585063934,0.289104700088501,0.4854315221309662,0.28837618231773376,0.23756065964698792,0.22961433231830597
the,1.0,0.2840540409088135,0.2453746348619461,0.2758708596229553,0.26503533124923706,0.32095256447792053,0.733189046382904,0.42745697498321533,0.24716724455356598,0.22068053483963013
cast,0.2840540409088135,1.0000001192092896,0.11377569288015366,0.166934534907341,0.3568388819694519,0.5857190489768982,0.2314109057188034,0.13211694359779358,0.2397974282503128,0.16641536355018616
courts,0.2453746348619461,0.11377569288015366,1.0,0.10168176889419556,0.16202181577682495,0.21288363635540009,0.24972429871559143,0.22651629149913788,0.23789279162883759,0.17759139835834503
in,0.6662389636039734,0.2079460471868515,0.2495848685503006,0.2005489468574524,0.22626017034053802,0.24201662838459015,0.5696388483047485,0.30808621644973755,0.23406893014907837,0.20430970191955566
the,1.0,0.2840540409088135,0.2453746348619461,0.2758708596229553,0.26503533124923706,0.32095256447792053,0.733189046382904,0.42745697498321533,0.24716724455356598,0.22068053483963013
sculpture,0.23690329492092133,0.2901458740234375,0.16710346937179565,0.20079991221427917,0.49406111240386963,0.3137892782688141,0.2746802270412445,0.16644549369812012,0.3080253601074219,0.1571214497089386
wing,0.28874075412750244,0.21616730093955994,0.12987004220485687,0.17358841001987457,0.15064364671707153,0.21065670251846313,0.19099068641662598,0.14464668929576874,0.09964703023433685,0.10201311856508255
",",0.4933079481124878,0.19477514922618866,0.21853886544704437,0.18201033771038055,0.23505495488643646,0.18910802900791168,0.4946078956127167,0.3087472915649414,0.21213118731975555,0.31091248989105225
comprising,0.3166780471801758,0.17699937522411346,0.2304084748029709,0.2052256017923355,0.1314719021320343,0.16324447095394135,0.4173128008842468,0.13995948433876038,0.19079317152500153,0.043617378920316696
