,what,is,the,name,of,the,bronco,'s,head,coach,",",who,was,hired,after,john,fox,?
following,0.2506418824195862,0.21705439686775208,0.39779382944107056,0.15635080635547638,0.3576679527759552,0.39779382944107056,0.09047350287437439,-0.005975736305117607,0.14337530732154846,0.15365993976593018,0.27101513743400574,0.1758657693862915,0.16493390500545502,0.22102467715740204,0.39623188972473145,0.13248677551746368,0.15215574204921722,0.1555173695087433
their,0.35142919421195984,0.2101074606180191,0.516537070274353,0.18092210590839386,0.4329940676689148,0.516537070274353,0.16613757610321045,-0.005530759692192078,0.19489040970802307,0.14400330185890198,0.3045167922973633,0.3767721951007843,0.2396296262741089,0.2980480492115021,0.30973172187805176,0.17629720270633698,0.1407262086868286,0.1898253709077835
loss,0.21803489327430725,0.1968395859003067,0.27898719906806946,0.038108233362436295,0.26357072591781616,0.27898719906806946,0.14554539322853088,-0.008489351719617844,0.15944170951843262,0.1634645313024521,0.23328691720962524,0.10800512880086899,0.13580112159252167,0.07833622395992279,0.2418358027935028,0.12970340251922607,0.13408693671226501,0.1312553584575653
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.14553722739219666,-0.037580832839012146,0.21927717328071594,0.1651318073272705,0.5201468467712402,0.2792111933231354,0.45514053106307983,0.18746300041675568,0.44050168991088867,0.22177861630916595,0.22528515756130219,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.17987582087516785,-0.01540423184633255,0.3079071640968323,0.14297698438167572,0.4933079481124878,0.3733934462070465,0.48711544275283813,0.20523042976856232,0.4565047025680542,0.2230520099401474,0.24760441482067108,0.22068053483963013
divisional,0.19920207560062408,0.18589705228805542,0.29866886138916016,0.14318077266216278,0.3047286868095398,0.29866886138916016,0.2407684177160263,-0.006944811437278986,0.14744974672794342,0.16330519318580627,0.26088419556617737,0.12287947535514832,0.22680401802062988,0.11148393899202347,0.21778538823127747,0.18666589260101318,0.17315903306007385,0.08093056827783585
round,0.19122174382209778,0.13961920142173767,0.19933617115020752,0.14377662539482117,0.15754494071006775,0.19933617115020752,0.15438252687454224,-0.0012226880062371492,0.19881977140903473,0.14596354961395264,0.2113574892282486,0.14290806651115417,0.11483433097600937,0.09073500335216522,0.16833895444869995,0.09860158711671829,0.11372670531272888,0.17003268003463745
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.11377161741256714,-0.03817026689648628,0.2945564389228821,0.144924595952034,0.4946078956127167,0.2827862501144409,0.4069072902202606,0.10122424364089966,0.3867455720901489,0.2407056987285614,0.13095848262310028,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.17987582087516785,-0.01540423184633255,0.3079071640968323,0.14297698438167572,0.4933079481124878,0.3733934462070465,0.48711544275283813,0.20523042976856232,0.4565047025680542,0.2230520099401474,0.24760441482067108,0.22068053483963013
previous,0.2743692696094513,0.18159280717372894,0.34706559777259827,0.18501880764961243,0.2892087996006012,0.34706559777259827,0.11651309579610825,0.046779852360486984,0.13634024560451508,0.12951135635375977,0.26843470335006714,0.1923418641090393,0.2747909128665924,0.17448383569717407,0.32797157764434814,0.13451769948005676,0.0871259793639183,0.16724538803100586
