,what,does,abc,on,demand,disallow,for,online,viewers,?
in,0.30808621644973755,0.214483380317688,0.1697147786617279,0.46853652596473694,0.22946900129318237,0.1697559952735901,0.4322226941585541,0.23201559484004974,0.15653292834758759,0.20430970191955566
addition,0.20643717050552368,0.29091760516166687,0.15853777527809143,0.2673063576221466,0.34648603200912476,0.3019023537635803,0.39286839962005615,0.22660882771015167,0.15702854096889496,0.19187232851982117
",",0.3087472915649414,0.28617382049560547,0.2097204476594925,0.49057599902153015,0.25499746203422546,0.28461953997612,0.4464869201183319,0.1955561488866806,0.18595917522907257,0.31091248989105225
abc,0.1317344456911087,0.1641341596841812,1.0000001192092896,0.2862928807735443,0.12548789381980896,0.1589200496673584,0.22510288655757904,0.2452138066291809,0.31936946511268616,0.19065172970294952
on,0.34226128458976746,0.2568802833557129,0.2862928807735443,0.9999999403953552,0.2564358413219452,0.2101597785949707,0.36199691891670227,0.19148977100849152,0.25155362486839294,0.2714994251728058
demand,0.2007312774658203,0.27838435769081116,0.12548789381980896,0.2564358413219452,1.0,0.180252805352211,0.3395264446735382,0.27763497829437256,0.2516813576221466,0.13359291851520538
(,0.2411840260028839,0.2728188931941986,0.183883935213089,0.28656116127967834,0.09122268855571747,0.27181053161621094,0.3357032239437103,0.15354497730731964,0.09349163621664047,0.40561532974243164
like,0.4320242702960968,0.3720950186252594,0.1845504194498062,0.3318610191345215,0.1737046241760254,0.34327396750450134,0.35140180587768555,0.14480677247047424,0.1509944498538971,0.3268813192844391
the,0.42745697498321533,0.35928019881248474,0.2068762183189392,0.5107308030128479,0.27194610238075256,0.22961951792240143,0.4739971458911896,0.22717516124248505,0.24207380414009094,0.22068053483963013
video-on-demand,0.24207492172718048,0.25372692942619324,0.25634023547172546,0.32783278822898865,0.7311415672302246,0.18479371070861816,0.3591063320636749,0.3862677812576294,0.382864385843277,0.20416077971458435
television,0.19838058948516846,0.1469985842704773,0.46871840953826904,0.2825660705566406,0.2164037823677063,0.14029712975025177,0.27045196294784546,0.19939690828323364,0.43163415789604187,0.16825827956199646
services,0.16048473119735718,0.21305601298809052,0.20619745552539825,0.22515536844730377,0.3192580044269562,0.12673909962177277,0.36779820919036865,0.29354730248451233,0.1245313212275505,0.1328447163105011
provided,0.2206064909696579,0.2749255895614624,0.1231839656829834,0.24629086256027222,0.3437708020210266,0.18351449072360992,0.38938868045806885,0.2829965651035309,0.1906810849905014,0.16893617808818817
by,0.2455483376979828,0.143477201461792,0.17600902915000916,0.33887791633605957,0.15896984934806824,0.15028373897075653,0.3248702883720398,0.18373072147369385,0.1945452094078064,0.17966607213020325
the,0.42745697498321533,0.35928019881248474,0.2068762183189392,0.5107308030128479,0.27194610238075256,0.22961951792240143,0.4739971458911896,0.22717516124248505,0.24207380414009094,0.22068053483963013
other,0.341873437166214,0.2947014272212982,0.10159935057163239,0.3410046398639679,0.2399977594614029,0.36730921268463135,0.3273986279964447,0.2065419703722,0.23971174657344818,0.24682199954986572
u.s.,0.11178889125585556,0.04108200594782829,0.042879559099674225,0.0330372117459774,-0.02949708327651024,0.140069842338562,0.11615988612174988,0.05111309513449669,0.0864507332444191,0.07886100560426712
broadcast,0.17857211828231812,0.1793109029531479,0.4876510202884674,0.2845228910446167,0.25175952911376953,0.09866885095834732,0.2546502649784088,0.23355291783809662,0.43205955624580383,0.15760008990764618
networks,0.18279550969600677,0.17467273771762848,0.350273072719574,0.26789405941963196,0.2315041720867157,0.20582215487957,0.2421427071094513,0.2922154366970062,0.35988640785217285,0.17815114557743073
),0.26259949803352356,0.2575884759426117,0.18381085991859436,0.29937487840652466,0.1121797263622284,0.27476072311401367,0.3639558255672455,0.19420026242733002,0.12322468310594559,0.42300865054130554
disallows,0.3262382745742798,0.38947317004203796,0.18311761319637299,0.21067184209823608,0.19533079862594604,0.9154065847396851,0.3054964542388916,0.31300321221351624,0.22796578705310822,0.4243027865886688
fast,0.27890437841415405,0.2713123857975006,0.10814325511455536,0.17124547064304352,0.26688694953918457,0.18385224044322968,0.27282997965812683,0.1534382402896881,0.16997018456459045,0.20540070533752441
forwarding,0.260867178440094,0.2660132646560669,0.1767175942659378,0.2249927818775177,0.3046881854534149,0.37618887424468994,0.4005598723888397,0.22506511211395264,0.17915238440036774,0.28873303532600403
of,0.33290785551071167,0.3119818866252899,0.14607268571853638,0.3966929316520691,0.2345065176486969,0.2156635969877243,0.4185989499092102,0.19929544627666473,0.1391541063785553,0.1826142966747284
accessed,0.1871647983789444,0.1520448625087738,0.19572269916534424,0.26398390531539917,0.19973453879356384,0.27103182673454285,0.18205204606056213,0.4358765780925751,0.2355869859457016,0.31323516368865967
content,0.3614070415496826,0.33242130279541016,0.18555805087089539,0.20971469581127167,0.258215993642807,0.45130833983421326,0.2708386182785034,0.30148887634277344,0.30519136786460876,0.37093979120254517
.,0.3567904531955719,0.3022993505001068,0.2567209303379059,0.49257001280784607,0.2543337345123291,0.2601456046104431,0.4726039469242096,0.23714536428451538,0.28379327058792114,0.4130953550338745
