,what,profession,were,ronald,robinson,and,john,gallagher,?
during,0.24137552082538605,0.21273617446422577,0.4064035415649414,0.22945357859134674,0.22066254913806915,0.36462149024009705,0.18742454051971436,0.2541794180870056,0.1325719803571701
the,0.42745697498321533,0.17655403912067413,0.3906462490558624,0.262578547000885,0.21904587745666504,0.5171257257461548,0.2230520099401474,0.2696032226085663,0.22068053483963013
20th,0.1850772649049759,0.16213366389274597,0.10248053073883057,0.1897098422050476,0.12449684739112854,0.29001447558403015,0.2579287886619568,0.2242273986339569,0.14985637366771698
century,0.20422613620758057,0.17320971190929413,0.34997639060020447,0.1613749861717224,0.15568143129348755,0.2726690471172333,0.2019389271736145,0.1046004593372345,0.1026201918721199
",",0.3087472915649414,0.28053703904151917,0.36755475401878357,0.22367742657661438,0.2586880624294281,0.6633074283599854,0.23961079120635986,0.31891271471977234,0.31091248989105225
historians,0.3240909278392792,0.2452816665172577,0.3309153616428375,0.22380641102790833,0.18966159224510193,0.272049218416214,0.17479631304740906,0.1715622842311859,0.15053395926952362
john,0.18237407505512238,0.15847203135490417,0.19632886350154877,0.352937787771225,0.29398757219314575,0.21634717285633087,1.0000001192092896,0.33641165494918823,0.13162356615066528
gallagher,0.26620692014694214,0.13792675733566284,0.24553652107715607,0.28451189398765564,0.3184276223182678,0.3154565095901489,0.33641165494918823,1.0,0.1757124811410904
(,0.2411840260028839,0.19689936935901642,0.14743882417678833,0.1700151413679123,0.18223325908184052,0.4862271547317505,0.21336311101913452,0.1970507800579071,0.40561532974243164
1919–1980,-0.002434832276776433,-0.11023260653018951,0.0704445093870163,0.006447124760597944,0.017708608880639076,-0.04542429372668266,-0.07292274385690689,0.05207584425806999,0.052785806357860565
),0.26259949803352356,0.22439134120941162,0.1566188633441925,0.17145706713199615,0.15921202301979065,0.4961937665939331,0.22096103429794312,0.20586860179901123,0.42300865054130554
and,0.31309178471565247,0.2738117277622223,0.42175528407096863,0.21027889847755432,0.24702224135398865,1.0,0.21634717285633087,0.3154565095901489,0.20544172823429108
ronald,0.1276789754629135,0.15133273601531982,0.16410431265830994,1.0,0.2898680567741394,0.21027889847755432,0.352937787771225,0.28451189398765564,0.08087296038866043
robinson,0.15115730464458466,0.16102246940135956,0.16441349685192108,0.2898680567741394,1.0000001192092896,0.24702224135398865,0.29398757219314575,0.3184276223182678,0.18648536503314972
(,0.2411840260028839,0.19689936935901642,0.14743882417678833,0.1700151413679123,0.18223325908184052,0.4862271547317505,0.21336311101913452,0.1970507800579071,0.40561532974243164
1920–1999,0.2678236663341522,0.06295979768037796,0.24188487231731415,0.047407981008291245,0.07689140737056732,0.12351017445325851,0.0855020135641098,0.07775223255157471,0.2685149908065796
),0.26259949803352356,0.22439134120941162,0.1566188633441925,0.17145706713199615,0.15921202301979065,0.4961937665939331,0.22096103429794312,0.20586860179901123,0.42300865054130554
constructed,0.18810124695301056,0.14875397086143494,0.24972617626190186,0.19452469050884247,0.20998549461364746,0.22972804307937622,0.12191977351903915,0.07282616943120956,0.12459525465965271
a,0.3320399522781372,0.3185056746006012,0.17203083634376526,0.20943979918956757,0.20470014214515686,0.3739250600337982,0.20638683438301086,0.20006519556045532,0.23916715383529663
framework,0.3308824896812439,0.2099090963602066,0.0834275335073471,0.16982269287109375,0.10764303803443909,0.215408056974411,0.10174200683832169,0.13914532959461212,0.21574316918849945
for,0.3017193675041199,0.2831021547317505,0.33592689037323,0.26789137721061707,0.13993589580059052,0.5064792633056641,0.22649751603603363,0.2820890247821808,0.264628142118454
understanding,0.4748767614364624,0.33161115646362305,0.18024730682373047,0.19557879865169525,0.1253359466791153,0.34223711490631104,0.15891911089420319,0.2046581506729126,0.3107462525367737
european,0.15324164927005768,0.1802322119474411,0.21272888779640198,0.2073906660079956,0.14663903415203094,0.24143946170806885,0.15537840127944946,0.1228615790605545,0.14560863375663757
imperialism,0.24614648520946503,0.26904600858688354,0.2340797334909439,0.19922538101673126,0.13872618973255157,0.19073538482189178,0.22152653336524963,0.10992389172315598,0.14998586475849152
.,0.3567904531955719,0.23688457906246185,0.3378238379955292,0.25890296697616577,0.2355053871870041,0.588965117931366,0.26428887248039246,0.26167556643486023,0.4130953550338745
