,what,concept,was,developed,by,baran,while,researching,at,rand
baran,0.11883194744586945,0.07234027236700058,0.1646592766046524,0.137728750705719,0.1486193984746933,1.0,0.14082908630371094,0.13856416940689087,0.14187674224376678,0.26310282945632935
developed,0.15555569529533386,0.36560875177383423,0.3253139555454254,1.0000001192092896,0.2796236276626587,0.137728750705719,0.17440497875213623,0.26716431975364685,0.1761963814496994,0.1760486364364624
the,0.42745697498321533,0.2355310022830963,0.48711544275283813,0.24490751326084137,0.4408751428127289,0.20225991308689117,0.39804592728614807,0.27866730093955994,0.457212895154953,0.16493244469165802
concept,0.28724339604377747,0.9999998807907104,0.2765439450740814,0.36560875177383423,0.28219208121299744,0.07234027236700058,0.18050093948841095,0.1664232760667801,0.12958785891532898,0.22674758732318878
of,0.33290785551071167,0.24082158505916595,0.4069072902202606,0.21960023045539856,0.3646814823150635,0.19897006452083588,0.3366928696632385,0.2797350585460663,0.42558613419532776,0.18197889626026154
distributed,0.12753748893737793,0.2862297296524048,0.1954849809408188,0.3228086531162262,0.3274691104888916,0.16691161692142487,0.20410841703414917,0.12744860351085663,0.1142214685678482,0.2282518893480301
adaptive,0.22806508839130402,0.311764121055603,0.18288499116897583,0.3314688801765442,0.2714908719062805,0.22060956060886383,0.157068133354187,0.23690061271190643,0.15969303250312805,0.139037624001503
message,0.35757336020469666,0.19043220579624176,0.16742418706417084,0.06032557040452957,0.19516953825950623,0.21445982158184052,0.21578286588191986,0.14892545342445374,0.16653941571712494,0.2093663513660431
block,0.33229514956474304,0.1781618744134903,0.1182115375995636,0.043709177523851395,0.13997070491313934,0.11995917558670044,0.20878055691719055,0.14553126692771912,0.14899460971355438,0.26322194933891296
switching,0.24737738072872162,0.22729705274105072,0.18965338170528412,0.24278002977371216,0.18029257655143738,0.1476963311433792,0.33166271448135376,0.2849876284599304,0.2566874027252197,0.11601178348064423
during,0.24137552082538605,0.15643540024757385,0.4470829963684082,0.21984022855758667,0.3220438063144684,0.17252042889595032,0.3849048316478729,0.20153111219406128,0.372769296169281,0.08054034411907196
his,0.26976513862609863,0.18100163340568542,0.4405253231525421,0.17389048635959625,0.3107621967792511,0.13499024510383606,0.39785656332969666,0.2937007248401642,0.27659502625465393,0.22898636758327484
research,0.237140491604805,0.20544573664665222,0.21417704224586487,0.29304683208465576,0.1734425127506256,0.1839037984609604,0.19175468385219574,0.8245788812637329,0.21588429808616638,0.27823901176452637
at,0.2838611304759979,0.12958785891532898,0.36707764863967896,0.1761963814496994,0.2368064820766449,0.14187674224376678,0.37809836864471436,0.2733789384365082,1.0,0.10682752728462219
the,0.42745697498321533,0.2355310022830963,0.48711544275283813,0.24490751326084137,0.4408751428127289,0.20225991308689117,0.39804592728614807,0.27866730093955994,0.457212895154953,0.16493244469165802
rand,0.23037707805633545,0.22674758732318878,0.22434252500534058,0.1760486364364624,0.1499790996313095,0.26310282945632935,0.10278332978487015,0.2492467761039734,0.10682752728462219,1.0000001192092896
corporation,0.1715448498725891,0.22058315575122833,0.2535845935344696,0.24605746567249298,0.2533348798751831,0.18043258786201477,0.11383132636547089,0.20222125947475433,0.11262912303209305,0.2839350700378418
