,how,many,people,could,apollo,be,projected,to,hold,?
while,0.2918691337108612,0.3748262822628021,0.25970518589019775,0.30216607451438904,0.2109583169221878,0.3466706871986389,0.2942577004432678,0.43899232149124146,0.3087144196033478,0.21076419949531555
the,0.33890387415885925,0.4335206151008606,0.36838498711586,0.35393214225769043,0.2169172167778015,0.4248143136501312,0.2842520475387573,0.535392165184021,0.3067915439605713,0.22068053483963013
mercury,0.14906032383441925,0.1871928572654724,0.1430436670780182,0.2039705365896225,0.41751042008399963,0.21361874043941498,0.23971785604953766,0.282574325799942,0.15657100081443787,0.10977116972208023
capsule,0.1659417301416397,0.15031419694423676,0.165215864777565,0.20564542710781097,0.32134392857551575,0.2900531589984894,0.2850651741027832,0.22127163410186768,0.22007183730602264,0.1896391361951828
could,0.47830453515052795,0.38749223947525024,0.28952425718307495,0.9999998807907104,0.21801240742206573,0.4791525900363922,0.20894986391067505,0.5461788773536682,0.33418145775794983,0.3411986827850342
only,0.36590442061424255,0.4670507609844208,0.32472479343414307,0.4374507963657379,0.2093796581029892,0.46042704582214355,0.24483652412891388,0.5096819996833801,0.3252332806587219,0.2767370045185089
support,0.28316521644592285,0.25043240189552307,0.2108479142189026,0.3197888731956482,0.12172175198793411,0.3082740604877472,0.2191113978624344,0.2742273211479187,0.3174533545970917,0.22626608610153198
one,0.3213292360305786,0.4223630726337433,0.2841606140136719,0.35166996717453003,0.1690824031829834,0.4154875874519348,0.2332286238670349,0.4025384783744812,0.344856858253479,0.2673267424106598
astronaut,0.1200546994805336,0.06991896778345108,0.1685170978307724,0.13094736635684967,0.5247572660446167,0.14391200244426727,0.16537106037139893,0.13996706902980804,0.12044548243284225,0.13949722051620483
on,0.32655060291290283,0.32520127296447754,0.2559742033481598,0.2953716814517975,0.16069947183132172,0.37900757789611816,0.3131375312805176,0.41031414270401,0.2548828125,0.2714994251728058
a,0.29312583804130554,0.2872205972671509,0.3483705520629883,0.3736826181411743,0.19996169209480286,0.39883795380592346,0.2720677852630615,0.45503583550453186,0.2822398841381073,0.23916715383529663
limited,0.2116495817899704,0.2817049026489258,0.20838074386119843,0.30144447088241577,0.021710215136408806,0.27087798714637756,0.3401860296726227,0.2564510405063629,0.22220012545585632,0.09444807469844818
earth,0.2756480276584625,0.22623728215694427,0.1306694597005844,0.21314898133277893,0.3316074311733246,0.2473841905593872,0.24749846756458282,0.2486501932144165,0.15873588621616364,0.17717236280441284
orbital,0.23096127808094025,0.11440374702215195,0.04987258464097977,0.19387857615947723,0.26148512959480286,0.1698933243751526,0.28029295802116394,0.20699875056743622,0.07203944772481918,0.22483505308628082
mission,0.17383652925491333,0.160925030708313,0.18269939720630646,0.22155261039733887,0.4094500243663788,0.13588100671768188,0.2865976095199585,0.26700642704963684,0.08477664738893509,0.19506393373012543
",",0.22659391164779663,0.40610817074775696,0.36644625663757324,0.27399855852127075,0.19808128476142883,0.39254459738731384,0.2249598652124405,0.44245919585227966,0.2803111970424652,0.31091248989105225
apollo,0.13699254393577576,0.13721908628940582,0.117107093334198,0.21801240742206573,0.9999999403953552,0.1851431280374527,0.21598030626773834,0.23190522193908691,0.11711753904819489,0.191528782248497
would,0.43239715695381165,0.33440667390823364,0.3082716464996338,0.8068214654922485,0.20719991624355316,0.5202695727348328,0.27224355936050415,0.5965728163719177,0.31979474425315857,0.37178951501846313
carry,0.29718565940856934,0.28331053256988525,0.2720527648925781,0.3312416672706604,0.2052871137857437,0.3520331084728241,0.18926525115966797,0.32521840929985046,0.4659670889377594,0.17171701788902283
three,0.23807744681835175,0.4501400589942932,0.1666570007801056,0.22537529468536377,0.10625588893890381,0.25663426518440247,0.21286822855472565,0.3043823838233948,0.22291527688503265,0.20928427577018738
astronauts,0.18454807996749878,0.17227493226528168,0.26739493012428284,0.21147726476192474,0.5551470518112183,0.20837996900081635,0.23604492843151093,0.22723354399204254,0.1844475120306015,0.15138289332389832
.,0.3287222981452942,0.3974229395389557,0.33118996024131775,0.3200591504573822,0.22384987771511078,0.4383580684661865,0.25348109006881714,0.4645031690597534,0.30296799540519714,0.4130953550338745
