,what,was,the,occupation,of,doctor,who,'s,other,(,non-related,),companions,?
the,0.42745697498321533,0.48711544275283813,1.0,0.23079249262809753,0.733189046382904,0.2820442318916321,0.3733934462070465,-0.01540423184633255,0.44152235984802246,0.33289089798927307,0.29961469769477844,0.3456730246543884,0.25117260217666626,0.22068053483963013
doctor,0.20870667695999146,0.19672659039497375,0.2820442318916321,0.17270885407924652,0.16895952820777893,0.9999999403953552,0.3504868149757385,0.031664930284023285,0.21788395941257477,0.1570640504360199,0.14433947205543518,0.1509941965341568,0.4105963706970215,0.1462511420249939
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,0.03484249487519264,-0.03817026689648628,0.031664930284023285,0.05599616840481758,0.9999999403953552,0.04445967823266983,0.0012731997994706035,-0.020146358758211136,0.021107977256178856,-0.03501149266958237,-0.023395681753754616
first,0.28086137771606445,0.5022147297859192,0.49448907375335693,0.22563783824443817,0.3536086082458496,0.27244147658348083,0.39065709710121155,-0.014458609744906425,0.23885147273540497,0.2450505793094635,0.19781693816184998,0.27228695154190063,0.21917366981506348,0.18701928853988647
companions,0.18120864033699036,0.17933380603790283,0.25117260217666626,0.14223231375217438,0.23670142889022827,0.4105963706970215,0.35028961300849915,-0.03501149266958237,0.28587204217910767,0.1070626750588417,0.1584145724773407,0.11513619869947433,1.0,0.14333169162273407
seen,0.3087027072906494,0.2286430299282074,0.3442007005214691,0.1253901720046997,0.28639769554138184,0.15965870022773743,0.2593136131763458,-0.00155794492457062,0.31666553020477295,0.1725161224603653,0.2934217154979706,0.17057566344738007,0.27688005566596985,0.2567344307899475
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.11494617164134979,0.3966929316520691,0.1636410653591156,0.2340552806854248,0.0026888418942689896,0.3410046398639679,0.28656116127967834,0.2492891550064087,0.29937487840652466,0.1740266978740692,0.2714994251728058
screen,0.2579151391983032,0.1767638623714447,0.2616176903247833,0.16985942423343658,0.1909627914428711,0.21385470032691956,0.19978530704975128,0.06398431211709976,0.2515202462673187,0.1686137467622757,0.13862888514995575,0.18520666658878326,0.20947958528995514,0.1954205334186554
were,0.22298263013362885,0.590133786201477,0.3906462490558624,0.15308642387390137,0.34038281440734863,0.11412792652845383,0.3188014328479767,0.007088581565767527,0.4041554927825928,0.14743882417678833,0.2803463935852051,0.1566188633441925,0.23379309475421906,0.17890112102031708
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.21372483670711517,0.38364991545677185,0.2365143597126007,0.44966956973075867,0.047556519508361816,0.23453344404697418,0.16098198294639587,0.15047575533390045,0.18606403470039368,0.30718955397605896,0.18075084686279297
